start_ns,end_ns
8206651,8241943
58364238,61844226
78934472,78959186
82190012,82204453
183141589,188596478
207329504,207355318
218372855,218390173
245409472,245431620
309189513,313393871
475477434,475492918
482122841,485011831
496580710,502967122
503478014,508965802
511079606,516938362
536915602,536926897
616251473,619781946
637150118,641695761
654701049,660663406
660097015,660121097
662657089,662672136
666438361,666455128
669304526,674640536
670958121,674669755
787505424,787530471
860360479,865273755
881605537,881631638
894710743,894768971
895391706,895408444
910910281,917163601
950728912,950752672
971769655,971788070
1011496819,1011521778
1041883093,1044907533
1050309293,1054934115
1100418027,1100475265
1184273968,1188623101
1253728963,1253760493
1354517336,1354554880
1399193061,1399209498
1437690968,1437714231
1449323078,1449342553
1463185005,1520002982
1569377256,1569404088
1591141626,1595805610
1652075116,1652088769
1847586909,1847599100
1876559914,1885044861
1877265899,1877290254
1930722240,1930736102
1980383859,1986052870
2014706514,2019989295
2034237411,2034262400
2125631363,2128766262
2173137738,2173150456
2253459607,2257503437
2255841594,2255843744
2256545725,2260497621
2263750376,2263769990
2267857413,2267869391
2291242267,2339396933
2342146738,2342150709
2444377478,2444379442
2540287867,2540308370
2549400199,2549423696
2568884717,2573902854
2639878283,2665781359
2767158012,2767185958
2797432185,2800422178
2804411321,2834178366
2848557044,2848578022
2868647382,2868658758
2877200626,2882263461
2881297012,2881298965
2883384844,2883391825
2903295739,2941333226
2906306792,2941375955
2952947052,2958110876
2965961782,2971097354
3059396296,3059420676
3095647491,3095681931
3115225662,3120810521
3161006637,3182745198
3200881922,3200911708
3257168847,3257186778
3348086355,3351351722
3348333706,3351377056
3362551141,3362580681
3410624304,3414220558
3428240829,3428251710
3541581619,3541593105
3580701372,3585873124
3616923794,3659817618
3664592752,3669721338
3679725874,3686670596
3703669817,3708672509
3736600555,3743989508
3757649712,3757662883
3758227052,3758230349
3779345639,3779368316
3827582928,3837244836
3946345316,3949165043
3965318888,3965338303
3992260507,3992279180
4018227178,4049025806
4065475775,4069003954
4069005501,4074921543
4082729788,4082733511
4082756756,4082794247
4086062242,4086077257
4112433946,4116884500
4258182976,4258185933
4274916585,4274944927
4282401665,4325515108
4288031599,4325518439
4338878440,4338881971
4384614629,4384629949
4499228771,4499263550
4510386196,4514061526
4589359835,4593931553
4608001838,4608020018
4615761715,4615763977
4616035758,4616051144
4619570620,4624827363
4649557054,4649573012
4726866615,4752584850
4766425591,4769554635
4804584733,4809462801
4819826639,4819845826
4829447701,4832431521
4867333903,4905344936
4908484385,4908500908
4939949082,4939976067
4963301495,4963324872
4981032141,4981033433
4995628489,4995638419
5101027974,5111864365
5118961067,5123893592
5273044287,5280508489
5303062796,5303077314
5318548131,5324455719
5329144940,5329160911
5357003698,5360376659
5377341507,5377343570
5382962974,5382988034
5419916914,5429255857
5435020160,5446013360
5472095490,5472110414
5497242450,5501134161
5499651702,5504086709
5508555845,5513110316
5523056700,5523082704
5531361979,5531378363
5621123973,5631634866
5712762049,5715673662
5849758736,5853385593
5913967637,5917275928
5953118213,5953128088
5962149879,5972016411
5991457686,5991460925
6014521218,6014550121
6086877303,6090870980
6093791248,6096863607
6148557138,6148579449
6180064925,6186723791
6220442338,6224618254
6221728381,6227627441
6235964435,6235982595
6243854249,6249588971
6505911251,6505915051
6511811734,6515047178
6512269168,6518057992
6709702231,6714631278
6713955345,6713983706
6763141526,6763155982
6832982707,6833008744
6882537364,6882548468
6922403530,6927277516
7021921006,7025039787
7035728275,7040006027
7067404661,7077902990
7167098835,7169761695
7210812480,7252627064
7282127401,7286519742
7292119255,7297546552
7311531546,7314485782
7385062689,7385080576
7412338165,7412347212
7474373511,7474385604
7493640331,7493665664
7696292582,7696318328
7736396016,7736397173
7796917623,7800539363
7819338163,7833284814
7823508325,7823537345
7872561788,7872582221
7878180975,7881387686
7881234797,7881248453
7883387830,7883404218
7906571614,7913383466
7922004857,7922031377
7948390830,7953239374
7961260442,7961281982
7981800257,8008943232
8042870801,8042893638
8049437935,8055038368
8073458435,8076963503
8174078268,8174097587
8175119550,8178771687
8200960197,8242707858
8294595103,8294628289
8329335428,8329347031
8400442272,8404372081
8422129970,8426287955
8434988966,8439260617
8464546114,8467220452
8486622932,8486636052
8584961029,8590006706
8588805082,8592987035
8636551140,8641867044
8674547494,8732743581
8743296266,8753682454
8752627423,8752643740
8756079092,8764624564
8778209484,8781620192
8791192527,8809582855
8822228242,8828500272
8846102207,8846112359
8858157352,8858173042
8933086168,8933087673
8951115214,8954245800
9015769079,9015780404
9025752251,9030082627
9046454109,9052057439
9053294741,9058052051
9086694697,9086708319
9157156869,9162842264
9203109925,9246701326
9204837338,9253697702
9315429378,9315445795
9319823365,9319826536
9413164920,9413188027
9416623795,9416637834
9417346921,9421351035
9423781140,9427318812
9452653243,9452678295
9465461078,9468226319
9583142966,9583160490
9586050838,9591975498
9614016151,9618914003
9766074823,9766086847
9777191123,9808385186
9779846813,9779853663
9787197037,9812606072
9838915148,9841643705
9930550971,9930573279
9957266480,9962247060
9967178074,9967188231
9984467927,9984478507
10116155177,10118949322
10141830525,10185878063
10289378831,10334585173
10346998456,10347010589
10378194557,10381439509
10395721652,10395731666
10402659396,10402671106
10411972219,10418343894
10514706694,10514727847
10631865207,10631881807
10676392590,10681848011
10692105894,10697858582
10698705259,10698719155
10757768759,10757781603
10763439669,10767465085
10879009939,10879027143
10884202319,10884213263
10924433645,10924442446
10932992253,10937377189
11165741868,11165757084
11174095229,11174104007
11244007219,11300632973
11248471570,11300652911
11308587123,11319395610
11324739765,11324741871
11354728212,11357506264
11565413697,11565415166
11588866272,11588869842
11597247914,11597281487
11658916433,11661909786
11697735471,11702827789
11700217934,11705823733
11703904407,11703914008
11724184889,11724186583
11765252405,11773667593
11777955652,11777972140
11784035048,11784069975
11809833057,11812571377
11821055756,11821065041
11822580806,11822583217
11824346818,11829595510
11929037268,11929054879
12013933081,12013952881
12121039372,12121040950
12145451984,12150936815
12180117639,12182877088
12207684753,12244802282
12256519971,12256531627
12260238047,12273183797
12275401784,12280468198
12293973985,12298643494
12356757862,12417340032
12394816788,12394818088
12469848565,12469861731
12484220335,12484256046
12524292951,12527181844
12525981256,12530213304
12542276811,12542291349
12554771866,12554788229
12626198382,12628989837
12745824913,12750816281
12747386833,12750849559
12791921489,12797723436
12815064711,12815083009
12861471548,12861474539
12920648300,12929407506
12989239299,12989295873
13062020803,13080147587
13103319099,13106040067
13157258229,13161924797
13210401636,13210413062
13277841786,13277853682
13323416935,13326601722
13332274462,13332296985
13494010864,13506576912
13517341881,13517350586
13518160659,13518169878
13596877479,13602844644
13606184695,13606199273
13616458117,13616477012
13622588774,13626015874
13638927425,13644982528
13692537663,13692539828
13697272656,13703832928
13736106791,13736110382
13760939999,13760953952
13868408808,13868421601
13936513924,13940212375
13937099388,13943380673
14017148946,14017160549
14103752757,14103766171
14151903919,14156927686
14272981208,14281713384
14283687153,14283720154
14341911106,14358585289
14479744411,14517328873
14521528833,14526281405
14576625515,14580113679
14578845382,14583087582
14591675289,14595108362
14595742676,14595763806
14718526642,14718543605
14749023528,14811686446
14790518937,14790527648
14822530626,14822541509
14853714666,14853736359
14859626100,14862523609
14891746406,14891773100
14911446154,14911460265
15101982591,15107047583
15108668272,15108670271
15119258550,15119278446
15140047571,15145045201
15174273780,15176904496
15278370733,15278391659
15379363377,15382532616
15401549772,15401564628
15465634807,15512363116
15522997871,15523046673
15529463277,15529467075
15560260251,15566133223
15630123760,15630140763
15641881445,15641883797
15642258014,15642260251
15670410354,15696723077
15698719584,15698739284
15783116218,15786730959
15857687786,15863535023
15882022402,15885551723
15894575776,15894585736
15902848692,15907529512
15955355315,15955374751
15968680599,15974327165
16041938872,16041956293
16095671057,16095692230
16153630277,16153657046
16153840581,16153849486
16183536299,16186929763
16183992522,16189935125
16280410570,16280430507
16339184513,16342644814
16346885901,16346912693
16362922452,16362933091
16402779693,16408510706
16425160580,16430418146
16438957114,16438968956
16455350082,16455372763
16457650332,16461399559
16498016091,16498024437
16589676635,16593105161
16593314682,16593330183
16603934917,16607076267
16611680418,16616057737
16620864716,16625064838
16628678002,16634028384
16678221121,16680931535
16691297484,16693903341
16695158546,16695178717
16703650536,16706877973
16708544336,16708560111
16757123981,16757139989
16817848720,16820655456
16836723641,16839617221
16839533109,16839551785
16843276800,16846602016
16921876732,16921893610
17012428361,17012440074
17038112701,17041228104
17053156449,17058219506
17094833353,17094852263
17159975316,17163978013
17170840003,17173963956
17185675344,17189563173
17214087531,17214117636
17218277049,17222897978
17311598291,17311608507
17321422365,17321434243
17460302756,17460305258
17485019486,17485041563
17514764146,17514766748
17533899629,17533908001
17539705721,17600950535
17605402701,17611119551
17608625773,17608637956
17625822468,17635608397
17663468314,17668065003
17672617355,17672649621
17890333591,17894599036
17914682368,17914686861
17939724796,17939739388
17944054322,17944069861
20260503971,20260540489
20315559450,21424255123
21474802169,21474827725
21909243447,21934975664
21941477516,22014188052
22007416443,22040003424
23200852873,23200891098
23228878086,24339473203
24372993886,24412353685
24442109080,24442122270
25556136787,25556145832
25572716904,25572719796
26780258928,26802644236
26822648428,26822668211
27936689227,27974389101
27990864614,27990867786
28020376600,28020380800
29108807113,29108839632
29203516959,29203547389
