elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.374.892,163.071,x,x
100,6.604,1.391.292,118.827,x,x
201,13.436,1.404.704,122.345,x,x
301,20.110,1.417.380,126.775,x,x
402,26.967,1.424.484,133.154,x,x
502,33.323,1.330.812,71.599,x,x
602,40.072,1.334.428,76.104,x,x
703,46.857,1.337.892,81.568,x,x
803,53.631,1.341.412,87.077,x,x
904,60.502,1.345.060,92.664,x,x
1.004,67.358,1.348.664,97.219,x,x
1.104,74.170,1.353.264,102.839,x,x
1.205,81.154,1.357.076,108.467,x,x
1.305,87.913,1.360.700,113.998,x,x
1.405,94.712,1.362.280,119.511,x,x
1.506,101.652,1.364.304,124.028,x,x
1.606,108.359,1.368.040,129.597,x,x
1.706,115.126,1.373.632,135.074,x,x
1.807,122.029,1.377.384,140.679,x,x
1.907,128.890,1.380.420,146.218,x,x
2.007,135.766,1.383.872,151.833,x,x
2.108,142.596,1.387.516,156.307,x,x
2.208,149.454,1.391.768,164.688,x,x
2.309,155.938,1.395.196,105.737,x,x
2.409,162.771,1.397.536,111.289,x,x
2.509,169.406,1.400.740,116.714,x,x
2.610,176.240,1.404.552,121.196,x,x
2.710,183.043,1.405.624,126.706,x,x
2.811,189.877,1.405.920,132.264,x,x
2.911,196.720,1.410.048,137.880,x,x
3.012,203.512,1.410.616,142.391,x,x
3.112,210.283,1.413.756,147.891,x,x
3.212,217.089,1.416.052,153.396,x,x
3.313,223.704,1.418.468,158.853,x,x
3.413,230.424,1.420.412,164.268,x,x
3.513,237.202,1.421.108,169.749,x,x
3.614,243.959,1.421.528,175.288,x,x
3.714,250.784,1.422.004,179.804,x,x
3.815,257.628,1.435.340,187.340,x,x
3.915,264.260,1.437.776,190.742,x,x
4.015,271.088,1.438.972,194.192,x,x
4.116,277.807,1.438.972,200.417,x,x
4.216,284.598,1.441.464,203.917,x,x
4.317,291.429,1.444.952,207.444,x,x
4.417,298.239,1.445.460,210.857,x,x
4.517,304.965,1.447.908,214.339,x,x
4.618,311.666,1.450.440,217.742,x,x
4.718,318.385,1.451.240,221.170,x,x
4.818,325.142,1.452.060,224.603,x,x
4.919,331.910,1.453.648,228.087,x,x
5.019,338.679,1.454.312,231.506,x,x
5.119,345.584,1.455.988,235.091,x,x
5.220,352.355,1.458.812,238.576,x,x
5.320,359.028,1.462.012,242.020,x,x
5.421,361.470,1.463.300,243.279,x,x
5.521,367.696,1.443.944,119.227,x,x
5.621,374.579,1.443.944,122.830,x,x
5.722,381.436,1.443.944,126.371,x,x
5.822,388.338,1.443.944,129.945,x,x
5.922,395.008,1.444.196,133.370,x,x
6.023,401.792,1.444.196,139.628,x,x
6.123,408.273,1.412.764,78.676,x,x
6.224,414.854,1.413.116,82.058,x,x
6.324,421.344,1.413.116,85.440,x,x
6.424,428.011,1.413.116,88.966,x,x
6.525,434.690,1.413.116,92.371,x,x
6.625,441.385,1.413.116,95.878,x,x
6.725,448.063,1.413.116,99.356,x,x
6.826,454.689,1.413.116,102.715,x,x
6.926,461.344,1.413.116,106.174,x,x
7.026,467.991,1.413.116,109.624,x,x
7.127,474.613,1.413.116,113.008,x,x
7.227,481.275,1.413.220,116.447,x,x
7.327,487.927,1.416.144,119.891,x,x
7.428,494.526,1.418.224,123.196,x,x
7.528,501.155,1.421.172,126.561,x,x
7.628,507.833,1.422.772,130.007,x,x
7.729,514.350,1.425.904,133.373,x,x
7.829,521.126,1.428.380,137.833,x,x
7.929,527.748,1.431.848,143.040,x,x
8.030,534.335,1.433.868,82.098,x,x
8.130,541.037,1.433.868,87.580,x,x
8.231,547.664,1.433.868,92.026,x,x
8.331,554.137,1.435.196,97.442,x,x
8.431,560.540,1.435.756,101.718,x,x
8.532,567.084,1.435.756,107.143,x,x
8.632,573.574,1.437.096,112.525,x,x
8.732,579.946,1.440.416,116.835,x,x
8.833,586.464,1.443.764,122.214,x,x
8.933,592.836,1.447.148,127.594,x,x
9.034,599.228,1.449.056,131.847,x,x
9.134,605.731,1.450.720,137.230,x,x
9.234,612.139,1.453.168,142.535,x,x
9.335,618.621,1.455.152,146.936,x,x
9.435,625.252,1.455.300,152.364,x,x
9.535,631.732,1.455.452,156.721,x,x
9.636,638.259,1.455.600,162.120,x,x
9.736,644.824,1.456.572,167.548,x,x
9.836,651.307,1.459.944,174.688,x,x
9.937,657.683,1.460.144,115.693,x,x
10.037,664.146,1.460.292,120.978,x,x
10.138,670.513,1.462.452,125.284,x,x
10.238,676.958,1.462.700,130.678,x,x
10.338,683.367,1.462.944,134.991,x,x
10.439,689.798,1.463.184,140.253,x,x
10.539,696.173,1.463.428,145.550,x,x
10.640,702.653,1.467.504,149.917,x,x
10.740,709.080,1.467.744,155.206,x,x
10.840,715.514,1.467.988,159.580,x,x
10.941,721.942,1.468.228,164.944,x,x
11.041,728.344,1.468.476,170.281,x,x
11.141,734.649,1.468.720,174.558,x,x
11.242,741.104,1.468.960,179.951,x,x
11.342,747.506,1.469.204,184.285,x,x
11.443,753.872,1.469.580,189.622,x,x
11.543,760.412,1.472.212,195.130,x,x
11.643,766.887,1.480.456,202.370,x,x
11.744,773.295,1.481.308,206.728,x,x
11.844,779.677,1.482.540,211.808,x,x
11.945,786.180,1.482.732,215.164,x,x
12.045,792.640,1.482.732,218.513,x,x
12.145,799.156,1.483.524,221.921,x,x
12.246,805.539,1.486.712,225.225,x,x
12.346,812.122,1.486.828,228.606,x,x
12.446,818.659,1.488.876,231.958,x,x
12.547,825.033,1.490.888,235.255,x,x
12.647,831.515,1.491.948,238.565,x,x
12.748,837.958,1.492.468,241.894,x,x
12.848,844.424,1.494.808,245.202,x,x
12.948,850.875,1.498.152,248.512,x,x
13.049,857.249,1.500.080,251.756,x,x
13.149,863.673,1.502.156,255.055,x,x
13.250,870.194,1.502.156,258.449,x,x
13.350,876.722,1.502.156,261.902,x,x
13.450,883.248,1.502.156,265.223,x,x
13.551,889.707,1.502.156,268.565,x,x
13.651,892.989,1.502.156,270.194,x,x
