elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.536.996,152.981,x,x
103,4.742,1.607.624,144.106,x,x
205,10.971,1.628.580,136.284,x,x
307,17.339,1.643.344,132.867,x,x
411,23.579,1.656.492,137.303,x,x
515,30.092,1.670.128,142.444,x,x
619,36.482,1.687.848,147.237,x,x
723,42.969,1.699.636,149.956,x,x
826,49.216,1.713.696,146.816,x,x
930,55.653,1.725.704,141.162,x,x
1.034,62.274,1.739.156,146.390,x,x
1.137,68.837,1.751.556,145.136,x,x
1.241,75.343,1.763.428,147.702,x,x
1.345,81.998,1.777.260,148.891,x,x
1.449,88.507,1.789.216,152.284,x,x
1.552,94.858,1.801.284,146.355,x,x
1.656,101.418,1.814.068,143.164,x,x
1.759,107.825,1.825.512,145.969,x,x
1.863,113.997,1.837.460,148.643,x,x
1.967,120.505,1.848.432,141.067,x,x
2.071,127.084,1.858.996,143.994,x,x
2.174,133.729,1.873.016,149.007,x,x
2.278,140.248,1.884.540,152.333,x,x
2.385,146.836,1.896.720,155.690,x,x
2.488,153.316,1.908.452,159.042,x,x
2.592,159.846,1.920.272,162.360,x,x
2.695,166.145,1.930.236,160.569,x,x
2.798,172.786,1.937.132,163.556,x,x
2.902,179.061,1.949.424,168.518,x,x
3.005,185.735,1.960.144,171.892,x,x
3.107,191.938,1.970.736,175.043,x,x
3.210,198.216,1.980.560,178.236,x,x
3.313,204.712,1.989.724,181.555,x,x
3.417,211.335,1.998.372,184.872,x,x
3.520,217.851,2.005.732,187.810,x,x
3.623,224.348,2.012.092,190.327,x,x
3.726,230.860,2.019.680,195.148,x,x
3.829,237.243,2.022.112,189.585,x,x
3.932,243.907,2.023.828,192.206,x,x
4.035,250.391,2.024.156,193.877,x,x
4.138,256.813,2.024.888,187.524,x,x
4.241,263.494,2.026.012,193.115,x,x
4.344,269.842,2.026.136,186.931,x,x
4.447,276.556,2.027.060,192.311,x,x
4.550,282.674,2.026.932,190.261,x,x
4.653,289.487,2.027.656,194.936,x,x
4.757,296.216,2.027.800,189.336,x,x
4.860,302.600,2.028.660,194.003,x,x
4.963,309.320,2.030.456,195.352,x,x
5.066,315.878,2.030.100,193.350,x,o
5.169,321.457,2.034.536,195.265,x,o
5.273,327.352,2.034.740,189.199,x,x
5.376,334.130,2.035.716,190.453,x,x
5.479,340.604,2.035.164,193.003,x,x
5.582,347.111,2.034.616,191.140,x,x
5.685,353.908,2.035.748,196.428,x,x
5.788,360.393,2.035.016,199.510,x,x
5.891,366.553,2.035.040,193.304,x,x
5.995,373.303,2.036.484,185.585,x,x
6.098,380.045,2.036.900,186.901,x,x
6.201,386.166,2.036.920,180.644,x,x
6.307,392.799,2.037.924,181.909,x,x
6.411,399.125,2.037.244,175.553,x,x
6.514,405.965,2.038.040,180.880,x,x
6.617,412.097,2.037.712,174.682,x,x
6.720,418.504,2.039.124,166.840,x,x
6.823,424.887,2.039.384,171.523,x,x
6.926,431.527,2.039.564,174.941,x,x
7.029,438.056,2.038.688,177.810,x,x
7.132,444.744,2.038.672,180.358,x,x
7.235,451.498,2.038.184,183.085,x,x
7.338,457.908,2.037.280,185.789,x,x
7.441,464.330,2.038.828,190.571,x,x
7.544,471.090,2.038.356,193.788,x,x
7.649,477.666,2.038.160,197.189,x,x
7.752,484.468,2.038.020,200.114,x,x
7.855,490.949,2.037.976,197.717,x,x
7.958,497.525,2.037.524,196.923,x,x
8.061,504.267,2.037.152,199.734,x,x
8.163,510.594,2.037.128,197.907,x,x
8.266,517.079,2.036.220,200.712,x,x
8.369,523.844,2.040.304,206.183,x,x
8.472,530.452,2.043.752,209.047,x,x
8.575,537.228,2.046.236,207.778,x,x
8.678,544.011,2.046.104,210.322,x,x
8.781,550.457,2.051.908,212.973,x,x
8.883,556.954,2.053.144,214.424,x,x
8.986,563.256,2.054.372,217.194,x,x
9.089,569.699,2.057.800,215.064,x,x
9.192,576.327,2.059.184,220.157,x,x
9.295,582.639,2.062.020,223.418,x,x
9.398,588.863,2.064.336,216.758,x,x
9.500,595.289,2.066.228,208.934,x,x
9.602,601.932,2.066.256,213.930,x,x
9.705,608.603,2.065.532,216.854,x,x
9.808,614.601,2.065.480,210.536,x,x
9.911,620.925,2.067.108,198.692,x,x
10.014,627.655,2.067.384,199.928,x,x
10.116,634.018,2.067.136,193.706,x,x
10.219,640.622,2.068.308,190.393,x,x
10.322,647.037,2.066.660,192.463,x,x
10.425,653.631,2.068.848,180.618,x,x
10.527,659.997,2.069.764,172.693,x,x
10.630,666.318,2.070.024,168.612,x,x
10.733,672.934,2.070.212,171.463,x,x
10.836,679.573,2.069.456,176.483,x,x
10.942,686.273,2.069.088,179.620,x,x
11.045,692.599,2.069.288,173.405,x,x
11.147,699.238,2.069.844,178.446,x,x
11.250,705.969,2.069.188,181.670,x,x
11.353,712.582,2.069.236,175.795,x,x
11.456,719.334,2.069.776,180.962,x,x
11.558,725.996,2.069.140,183.921,x,x
11.661,732.559,2.068.988,187.155,x,x
11.764,739.206,2.069.036,190.140,x,x
11.867,745.618,2.067.788,191.656,x,x
11.969,752.031,2.069.124,188.975,x,x
12.072,758.493,2.068.100,191.148,x,x
12.175,765.048,2.067.412,193.818,x,x
12.277,771.415,2.066.648,196.445,x,x
12.380,778.105,2.068.344,201.734,x,x
12.483,784.868,2.068.168,205.018,x,x
12.586,791.492,2.067.736,208.251,x,x
12.688,797.919,2.067.508,206.290,x,x
12.791,804.402,2.068.204,208.779,x,x
12.894,811.147,2.067.808,214.144,x,x
12.997,817.374,2.067.568,213.129,x,x
13.099,824.137,2.066.500,215.570,x,x
13.202,830.804,2.065.380,217.875,x,x
13.305,837.275,2.067.524,223.074,x,x
13.408,843.906,2.068.216,213.293,x,x
13.510,850.618,2.068.528,218.412,x,x
13.613,857.358,2.068.160,221.665,x,x
13.716,863.283,2.067.964,215.494,x,x
13.819,869.730,2.066.520,218.185,x,x
13.921,876.485,2.068.768,214.272,x,x
14.024,883.190,2.068.980,217.770,x,x
14.127,889.931,2.069.256,218.022,x,x
14.230,896.555,2.069.260,222.720,x,x
14.332,903.324,2.069.284,226.236,x,x
14.435,910.025,2.069.836,229.671,x,x
14.538,916.596,2.072.752,232.994,x,x
14.641,923.061,2.077.064,236.340,x,x
14.744,929.587,2.081.176,239.709,x,x
14.846,936.251,2.085.540,243.205,x,x
14.949,942.927,2.089.632,246.539,x,x
15.052,949.610,2.093.892,249.935,x,x
15.155,956.092,2.098.032,253.300,x,x
15.258,962.528,2.100.376,254.742,x,o
15.360,968.099,2.103.664,258.893,x,o
15.463,974.533,2.109.136,262.335,x,x
15.566,981.251,2.110.332,262.022,x,x
15.669,987.783,2.113.008,265.389,x,x
15.772,994.362,2.114.476,265.022,x,x
15.875,1.001.023,2.116.612,268.489,x,x
15.978,1.007.749,2.118.140,268.303,x,x
16.080,1.010.253,2.118.368,269.540,x,x
16.183,1.010.253,2.118.368,265.765,x,x
16.286,1.010.253,2.118.440,261.726,x,x
16.389,1.010.253,2.118.440,261.987,x,x
16.492,1.011.071,2.119.048,258.669,x,x
16.595,1.015.558,2.119.176,260.974,x,x
16.697,1.020.851,2.119.588,259.893,x,x
16.800,1.027.315,2.119.844,263.265,x,x
16.903,1.033.865,2.120.244,262.857,x,x
17.006,1.040.544,2.120.332,266.298,x,x
17.109,1.047.071,2.120.732,265.861,x,x
17.212,1.053.864,2.121.008,269.402,x,x
17.315,1.060.505,2.121.728,268.999,x,x
17.418,1.067.274,2.122.008,272.491,x,x
17.521,1.070.949,2.122.880,270.586,x,x
17.623,1.070.949,2.122.880,270.586,x,x
17.726,1.070.949,2.122.904,266.813,x,x
17.829,1.070.949,2.122.904,266.813,x,x
17.932,1.070.949,2.122.980,263.036,x,x
18.035,1.070.949,2.122.980,263.036,x,x
18.138,1.070.949,2.123.044,259.453,x,x
18.241,1.070.949,2.123.044,259.453,x,x
18.343,1.070.949,2.123.044,259.453,x,x
18.446,1.070.949,2.122.496,259.123,x,x
18.549,1.070.949,2.122.516,259.123,x,x
18.652,1.070.949,2.122.516,255.355,x,x
18.755,1.070.949,2.122.572,251.572,x,x
18.858,1.070.949,2.122.572,251.572,x,x
18.961,1.072.782,2.124.332,248.778,x,x
19.063,1.077.446,2.124.516,251.118,x,x
19.166,1.083.112,2.124.804,250.340,x,x
19.269,1.089.835,2.124.876,253.730,x,x
19.371,1.096.435,2.125.168,253.341,x,x
19.474,1.103.038,2.125.184,256.703,x,x
19.577,1.109.719,2.125.484,256.434,x,x
19.680,1.116.410,2.125.532,259.869,x,x
19.783,1.123.069,2.125.824,259.514,x,x
19.886,1.129.785,2.125.836,262.954,x,x
19.989,1.133.495,2.125.880,260.994,x,x
20.092,1.133.495,2.125.880,260.994,x,x
