elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.529.768,186.644,x,x
102,18,1.530.804,182.876,x,x
205,19,1.530.876,182.877,x,x
308,43,1.531.836,182.884,x,x
411,49,1.531.968,179.111,x,x
514,58,1.532.024,179.116,x,x
618,79,1.532.600,175.352,x,x
721,84,1.532.876,175.355,x,x
824,97,1.533.144,175.362,x,x
928,109,1.533.416,171.593,x,x
1.031,115,1.533.556,171.598,x,x
1.134,130,1.533.800,171.603,x,x
1.238,155,1.534.592,167.576,x,x
1.341,181,1.535.072,167.590,x,x
1.445,206,1.535.740,167.867,x,x
1.548,206,1.535.740,167.867,x,x
1.651,227,1.536.124,167.877,x,x
1.755,246,1.536.700,163.847,x,x
1.858,275,1.537.336,163.860,x,x
1.962,304,1.537.908,163.875,x,x
2.065,322,1.538.192,163.890,x,x
2.168,345,1.538.892,163.903,x,x
2.272,368,1.539.332,163.917,x,x
2.375,395,1.539.836,163.932,x,x
2.478,417,1.540.200,163.943,x,x
2.582,439,1.540.900,163.955,x,x
2.685,465,1.541.340,163.970,x,x
2.788,498,1.542.052,163.983,x,x
2.892,519,1.542.300,163.996,x,x
2.995,540,1.542.788,164.006,x,x
3.098,564,1.543.084,164.021,x,x
3.202,596,1.544.076,164.033,x,x
3.305,621,1.544.376,164.048,x,x
3.408,644,1.544.752,164.065,x,x
3.512,667,1.545.108,164.079,x,x
3.615,690,1.545.664,164.091,x,x
3.717,711,1.545.972,164.104,x,x
3.821,733,1.546.276,164.113,x,x
3.924,735,1.546.280,164.116,x,x
4.027,753,1.546.368,164.126,x,x
4.131,778,1.546.876,164.137,x,x
4.234,805,1.547.232,164.150,x,x
4.337,836,1.548.080,164.162,x,x
4.441,858,1.548.348,164.176,x,x
4.544,888,1.548.848,164.191,x,x
4.647,912,1.549.232,164.201,x,x
4.750,942,1.549.800,164.213,x,x
4.854,967,1.549.948,164.229,x,x
4.957,988,1.550.320,164.239,x,x
5.060,1.012,1.550.680,164.253,x,x
5.164,1.053,1.551.772,164.264,x,x
5.267,1.077,1.552.228,164.281,x,x
5.370,1.102,1.552.456,164.293,x,x
5.474,1.144,1.553.412,164.307,x,x
5.577,1.167,1.553.572,164.319,x,x
5.680,1.189,1.553.660,164.336,x,x
5.784,1.214,1.553.888,164.346,x,x
5.887,1.239,1.554.324,164.359,x,x
5.990,1.268,1.554.532,164.373,x,x
6.093,1.291,1.554.832,164.388,x,x
6.197,1.320,1.555.172,164.401,x,x
6.300,1.352,1.555.616,164.414,x,x
6.403,1.373,1.555.816,164.426,x,x
6.507,1.391,1.555.920,164.439,x,x
6.610,1.421,1.556.308,164.453,x,x
6.713,1.443,1.556.400,164.467,x,x
6.817,1.473,1.556.972,164.479,x,x
6.920,1.499,1.557.348,164.494,x,x
7.024,1.517,1.557.516,164.505,x,x
7.127,1.548,1.558.112,164.518,x,x
7.230,1.571,1.558.292,164.532,x,x
7.334,1.601,1.558.416,164.548,x,x
7.437,1.624,1.558.876,164.562,x,x
7.540,1.655,1.559.448,164.574,x,x
7.644,1.675,1.559.476,164.592,x,x
7.747,1.702,1.559.652,164.604,x,x
7.850,1.720,1.559.744,164.616,x,x
7.954,1.749,1.559.784,164.635,x,x
8.057,1.768,1.559.844,164.648,x,x
8.160,1.798,1.560.228,164.661,x,x
8.264,1.822,1.560.588,164.677,x,x
8.367,1.848,1.560.936,164.691,x,x
8.471,1.883,1.561.704,164.701,x,x
8.574,1.888,1.561.912,164.971,x,x
8.677,1.903,1.562.076,164.977,x,x
8.781,1.927,1.562.248,160.949,x,x
8.884,1.949,1.562.348,160.963,x,x
8.988,1.957,1.562.620,160.967,x,x
9.091,1.987,1.562.940,160.979,x,x
9.194,2.017,1.563.240,160.992,x,x
9.298,2.047,1.563.612,161.006,x,x
9.401,2.077,1.563.960,161.021,x,x
9.504,2.106,1.564.144,161.035,x,x
9.608,2.136,1.564.304,161.051,x,x
9.711,2.157,1.564.688,161.328,x,x
9.815,2.157,1.564.688,161.328,x,x
9.918,2.172,1.564.896,161.334,x,x
10.021,2.196,1.565.156,157.305,x,x
10.125,2.228,1.565.688,157.318,x,x
10.227,2.250,1.566.048,157.329,x,x
10.331,2.279,1.566.288,157.344,x,x
10.434,2.310,1.566.488,157.358,x,x
10.537,2.336,1.566.724,157.373,x,x
10.641,2.365,1.566.912,157.389,x,x
10.744,2.387,1.567.016,157.401,x,x
10.847,2.416,1.567.132,157.415,x,x
10.951,2.439,1.567.456,157.426,x,x
11.054,2.451,1.567.476,157.439,x,x
11.158,2.476,1.567.716,157.453,x,x
11.261,2.502,1.568.032,157.466,x,x
11.364,2.523,1.568.132,157.480,x,x
11.468,2.549,1.568.516,157.491,x,x
11.571,2.574,1.568.844,157.501,x,x
11.674,2.599,1.569.100,157.514,x,x
11.778,2.614,1.569.396,157.525,x,x
11.881,2.640,1.569.640,157.538,x,x
11.984,2.662,1.569.756,157.551,x,x
12.088,2.686,1.570.008,157.563,x,x
12.191,2.698,1.570.216,157.834,x,x
12.294,2.702,1.570.220,157.834,x,x
12.398,2.728,1.570.472,153.810,x,x
12.501,2.750,1.570.684,153.820,x,x
12.605,2.778,1.570.796,153.837,x,x
12.708,2.800,1.570.912,153.851,x,x
12.811,2.832,1.571.132,153.869,x,x
12.915,2.892,1.571.536,153.891,x,x
13.018,2.953,1.572.440,154.173,x,x
13.121,3.008,1.572.792,150.180,x,x
13.225,3.072,1.573.384,146.435,x,x
13.328,3.135,1.573.848,146.467,x,x
13.431,3.199,1.574.336,146.497,x,x
13.535,3.264,1.574.760,146.535,x,x
13.638,3.340,1.575.244,146.574,x,x
13.741,3.404,1.575.684,146.608,x,x
13.845,3.474,1.576.084,146.633,x,x
13.948,3.535,1.576.284,146.667,x,x
14.051,3.596,1.576.760,146.693,x,x
14.154,3.666,1.577.208,146.729,x,x
14.258,3.726,1.577.624,142.979,x,x
14.361,3.792,1.577.932,143.014,x,x
14.464,3.850,1.578.292,143.047,x,x
14.568,3.916,1.578.628,143.207,x,x
14.671,3.977,1.579.088,139.339,x,x
14.774,4.043,1.579.596,139.372,x,x
14.877,4.109,1.580.004,139.407,x,x
14.981,4.176,1.580.424,139.441,x,x
15.084,4.231,1.580.548,139.470,x,x
15.187,4.287,1.580.912,139.493,x,x
15.291,4.338,1.581.172,139.520,x,x
15.394,4.410,1.581.524,139.557,x,x
15.497,4.476,1.581.788,139.591,x,x
15.601,4.537,1.582.200,139.891,x,x
15.704,4.605,1.582.540,135.889,x,x
15.807,4.662,1.582.956,135.920,x,x
15.911,4.719,1.583.352,135.952,x,x
16.014,4.797,1.584.124,135.991,x,x
16.117,4.858,1.584.336,132.250,x,x
16.220,4.932,1.584.840,132.290,x,x
16.324,5.003,1.585.116,132.326,x,x
16.427,5.064,1.585.492,132.358,x,x
16.530,5.124,1.585.724,132.387,x,x
16.634,5.198,1.586.032,132.409,x,x
16.736,5.252,1.586.348,132.442,x,x
16.839,5.317,1.586.556,132.477,x,x
16.942,5.367,1.586.656,132.506,x,x
17.046,5.427,1.586.824,132.539,x,x
17.149,5.481,1.587.076,132.574,x,x
17.252,5.543,1.587.184,132.608,x,x
17.356,5.618,1.587.484,132.643,x,x
17.459,5.687,1.587.860,132.678,x,x
17.562,5.743,1.588.084,132.708,x,x
17.666,5.814,1.588.572,132.739,x,x
17.769,5.874,1.588.708,132.770,x,x
17.872,5.935,1.588.960,132.806,x,x
17.976,5.999,1.589.324,132.842,x,x
18.080,6.065,1.589.676,132.870,x,x
18.183,6.128,1.589.920,132.902,x,x
18.287,6.192,1.590.172,132.936,x,x
18.390,6.251,1.590.376,132.973,x,x
18.493,6.319,1.590.580,133.008,x,x
18.597,6.385,1.590.860,133.038,x,x
18.700,6.452,1.591.140,133.077,x,x
18.804,6.518,1.591.268,133.114,x,x
18.907,6.583,1.591.476,133.145,x,x
19.011,6.646,1.591.708,133.179,x,x
19.114,6.718,1.591.880,133.206,x,x
19.218,6.770,1.591.964,133.240,x,x
19.321,6.831,1.592.104,133.275,x,x
19.425,6.889,1.592.316,133.308,x,x
19.528,6.942,1.592.464,133.341,x,x
19.631,7.028,1.592.796,133.386,x,x
19.735,7.094,1.593.096,133.426,x,x
19.838,7.154,1.593.200,133.463,x,x
19.942,7.221,1.593.472,133.494,x,x
20.045,7.290,1.593.624,133.528,x,x
20.149,7.355,1.593.908,133.563,x,x
20.252,7.417,1.594.100,133.600,x,x
20.356,7.498,1.594.384,133.635,x,x
20.459,7.563,1.594.532,133.668,x,x
20.563,7.634,1.594.800,133.705,x,x
20.666,7.707,1.594.988,133.737,x,x
20.770,7.786,1.595.292,133.775,x,x
20.873,7.843,1.595.468,133.812,x,x
20.977,7.908,1.595.664,133.843,x,x
21.080,7.973,1.595.772,133.877,x,x
21.184,8.041,1.595.988,133.909,x,x
21.285,8.099,1.596.216,133.936,x,x
21.389,8.164,1.596.392,134.243,x,x
21.492,8.229,1.596.648,130.234,x,x
21.596,8.285,1.596.788,130.264,x,x
21.699,8.343,1.596.960,130.298,x,x
21.803,8.413,1.597.152,130.332,x,x
21.906,8.465,1.597.228,130.363,x,x
22.009,8.527,1.597.340,130.397,x,x
22.113,8.589,1.597.624,130.424,x,x
22.216,8.658,1.597.972,126.682,x,x
22.319,8.729,1.598.092,126.719,x,x
22.423,8.785,1.598.240,126.753,x,x
22.526,8.859,1.598.368,126.788,x,x
22.630,8.924,1.598.492,126.822,x,x
22.733,8.988,1.598.676,126.854,x,x
22.837,9.060,1.598.820,126.888,x,x
22.940,9.123,1.599.108,126.912,x,x
23.044,9.191,1.599.276,126.947,x,x
23.147,9.258,1.599.476,126.981,x,x
23.251,9.319,1.599.672,127.019,x,x
23.354,9.385,1.599.792,127.053,x,x
23.457,9.456,1.599.968,127.086,x,x
23.561,9.515,1.600.108,127.117,x,x
23.664,9.575,1.600.244,127.145,x,x
23.767,9.638,1.600.432,127.183,x,x
23.871,9.700,1.600.556,127.214,x,x
23.974,9.762,1.600.652,127.258,x,x
24.077,9.833,1.600.808,127.292,x,x
24.181,9.888,1.600.972,127.318,x,x
24.284,9.963,1.601.392,127.611,x,x
24.387,10.031,1.601.548,123.606,x,x
24.491,10.097,1.601.744,123.638,x,x
24.594,10.165,1.601.988,123.673,x,x
24.697,10.240,1.602.196,123.704,x,x
24.801,10.305,1.602.324,123.739,x,x
24.904,10.368,1.602.508,123.774,x,x
25.007,10.439,1.602.800,123.807,x,x
25.111,10.507,1.602.972,123.844,x,x
25.214,10.569,1.603.140,123.877,x,x
25.317,10.646,1.603.416,123.912,x,x
25.421,10.708,1.603.708,123.947,x,x
25.524,10.770,1.603.824,123.981,x,x
25.628,10.840,1.604.196,124.015,x,x
25.731,10.899,1.604.304,124.046,x,x
25.834,10.969,1.604.476,124.081,x,x
25.938,11.036,1.604.644,124.118,x,x
26.041,11.100,1.604.800,124.145,x,x
26.144,11.167,1.604.936,124.185,x,x
26.248,11.240,1.605.076,124.225,x,x
26.351,11.309,1.605.220,124.262,x,x
26.453,11.368,1.605.340,124.295,x,x
26.557,11.420,1.605.472,124.321,x,x
26.660,11.492,1.605.660,124.355,x,x
26.763,11.564,1.605.780,124.399,x,x
26.867,11.628,1.605.932,124.432,x,x
26.970,11.691,1.606.072,124.466,x,x
27.073,11.750,1.606.184,124.498,x,x
27.177,11.813,1.606.336,124.529,x,x
27.280,11.871,1.606.476,124.560,x,x
27.383,11.938,1.606.612,124.589,x,x
27.487,11.996,1.606.716,124.624,x,x
27.590,12.058,1.606.856,124.652,x,x
27.693,12.122,1.607.020,124.685,x,x
27.797,12.192,1.607.180,124.716,x,x
27.900,12.221,1.607.248,124.735,x,x
28.003,12.249,1.607.444,125.630,x,x
28.107,12.261,1.607.480,126.600,x,x
28.210,12.261,1.607.480,126.600,x,x
28.314,12.261,1.607.480,126.600,x,x
28.417,12.261,1.607.480,126.600,x,x
28.520,12.261,1.607.480,126.601,x,x
28.624,12.288,1.605.904,124.761,x,x
28.727,12.310,1.605.964,124.772,x,x
28.831,12.339,1.606.012,124.787,x,x
28.934,12.385,1.606.140,124.802,x,x
29.037,12.416,1.606.196,124.819,x,x
29.141,12.449,1.606.392,124.834,x,x
29.244,12.466,1.606.564,125.778,x,x
29.347,12.482,1.606.648,126.698,x,x
29.451,12.482,1.606.648,126.699,x,x
29.554,12.482,1.606.648,126.699,x,x
29.658,12.482,1.606.648,126.699,x,x
29.761,12.482,1.606.648,126.699,x,x
29.864,12.500,1.605.240,125.072,x,x
29.968,12.512,1.605.412,126.719,x,x
30.071,12.512,1.605.412,126.719,x,x
30.175,12.512,1.605.412,126.719,x,x
30.278,12.512,1.605.412,126.719,x,x
30.381,12.512,1.605.412,126.719,x,x
30.485,12.519,1.605.572,126.721,x,x
