elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.476.712,186.591,x,x
102,7.215,1.537.468,179.003,x,x
205,14.158,1.554.284,167.444,x,x
309,20.570,1.568.012,159.405,x,x
413,27.225,1.581.880,147.694,x,x
518,34.540,1.596.660,136.119,x,x
621,41.611,1.610.704,128.698,x,x
725,48.786,1.624.552,117.262,x,x
829,55.693,1.638.172,114.184,x,x
932,63.037,1.651.668,113.000,x,x
1.036,70.331,1.665.848,110.133,x,x
1.140,77.981,1.678.584,113.406,x,x
1.243,85.133,1.691.472,117.087,x,x
1.347,92.443,1.705.920,122.450,x,x
1.450,99.774,1.719.420,122.263,x,x
1.553,107.189,1.732.224,125.573,x,x
1.657,114.474,1.745.216,128.683,x,x
1.760,121.769,1.757.036,131.914,x,x
1.864,129.389,1.771.924,137.589,x,x
1.967,136.692,1.784.336,141.318,x,x
2.070,143.914,1.795.776,135.891,x,x
2.174,151.537,1.808.744,141.475,x,x
2.277,159.008,1.821.404,145.298,x,x
2.380,166.083,1.831.408,144.400,x,x
2.483,173.655,1.840.524,147.977,x,x
2.586,181.277,1.852.916,151.356,x,x
2.689,188.617,1.865.380,156.789,x,x
2.793,196.216,1.876.304,160.654,x,x
2.895,203.675,1.886.488,164.512,x,x
2.998,211.279,1.895.912,168.456,x,x
3.101,218.823,1.904.072,172.211,x,x
3.204,226.248,1.911.248,176.035,x,x
3.307,233.784,1.917.892,179.283,x,x
3.410,240.971,1.923.264,182.575,x,x
3.513,248.389,1.928.392,185.981,x,x
3.616,255.777,1.933.200,189.321,x,x
3.719,263.313,1.939.748,194.946,x,x
3.821,270.963,1.945.036,198.855,x,x
3.928,278.457,1.949.888,202.648,x,x
4.031,285.962,1.954.620,206.498,x,x
4.134,285.962,1.952.884,206.467,x,x
4.236,287.492,1.953.172,201.899,x,x
4.339,295.219,1.955.144,203.960,x,x
4.442,302.768,1.955.652,207.515,x,x
4.544,310.288,1.959.272,205.895,x,x
4.647,317.818,1.961.596,198.579,x,x
4.750,325.352,1.962.816,187.201,x,x
4.853,332.995,1.963.672,179.969,x,x
4.956,340.405,1.964.648,168.610,x,x
5.058,348.136,1.961.792,161.308,x,x
5.161,355.641,1.962.576,154.245,x,x
5.264,363.104,1.960.960,157.355,x,x
5.367,370.722,1.963.220,150.097,x,x
5.470,378.346,1.964.284,138.927,x,x
5.573,386.211,1.964.300,144.699,x,x
5.675,393.487,1.964.204,143.966,x,x
5.778,400.819,1.963.436,142.409,x,x
5.881,408.567,1.964.292,148.159,x,x
5.984,415.435,1.964.060,142.921,x,x
6.087,422.660,1.963.236,145.993,x,x
6.189,429.881,1.962.768,148.989,x,x
6.292,437.554,1.964.128,154.753,x,x
6.395,444.841,1.963.892,158.347,x,x
6.497,452.544,1.963.660,162.088,x,x
6.600,459.880,1.963.420,156.141,x,x
6.703,467.549,1.964.012,161.968,x,x
6.806,474.864,1.963.508,165.506,x,x
6.908,481.992,1.963.292,163.772,x,x
7.011,489.718,1.963.792,169.115,x,x
7.114,497.278,1.963.492,172.744,x,x
7.216,504.928,1.963.328,176.402,x,x
7.319,512.214,1.962.976,179.416,x,x
7.422,519.959,1.962.172,182.593,x,x
7.524,527.388,1.961.156,185.602,x,x
7.627,534.757,1.962.452,190.865,x,x
7.730,542.634,1.962.348,194.727,x,x
7.832,547.571,1.961.580,196.922,x,x
7.935,549.977,1.960.876,192.930,x,x
8.037,557.430,1.959.932,195.929,x,x
8.140,560.895,1.961.152,199.446,x,x
8.243,560.895,1.959.208,199.199,x,x
8.345,560.895,1.957.256,198.981,x,x
8.448,560.895,1.955.008,197.898,x,x
8.550,560.895,1.953.076,197.255,x,x
8.653,560.895,1.951.156,196.665,x,x
8.755,560.895,1.951.156,198.519,x,x
8.857,560.895,1.948.908,198.015,x,x
8.960,560.895,1.946.928,197.433,x,x
9.062,560.895,1.945.016,196.708,x,x
9.165,560.895,1.943.044,196.064,x,x
9.267,560.895,1.941.120,195.276,x,x
9.370,566.012,1.956.732,186.865,x,x
9.473,573.618,1.959.464,192.327,x,x
9.575,581.151,1.959.304,195.804,x,x
9.678,588.207,1.958.628,189.741,x,x
9.780,595.560,1.959.856,182.357,x,x
9.883,602.830,1.960.844,171.022,x,x
9.986,610.329,1.961.436,168.152,x,x
10.088,617.602,1.959.952,170.903,x,x
10.191,625.244,1.961.760,168.409,x,x
10.294,632.537,1.961.312,166.865,x,x
10.396,640.124,1.962.732,159.750,x,x
10.499,647.749,1.963.336,161.584,x,x
10.602,655.326,1.963.336,165.439,x,x
10.704,662.929,1.963.336,169.301,x,x
10.807,670.577,1.963.336,173.307,x,x
10.909,678.208,1.963.340,177.215,x,x
11.012,685.788,1.963.520,181.090,x,x
11.115,693.434,1.962.840,183.174,x,x
11.217,701.044,1.963.368,183.268,x,x
11.320,708.711,1.963.400,187.170,x,x
11.423,711.397,1.963.636,186.303,x,x
11.525,713.732,1.963.636,187.630,x,x
11.628,715.866,1.963.636,188.719,x,x
11.731,717.898,1.963.636,189.757,x,x
11.833,720.194,1.963.636,190.947,x,x
11.936,721.994,1.963.636,191.874,x,x
12.038,723.451,1.963.636,192.627,x,x
12.141,725.351,1.961.992,191.694,x,x
12.244,727.323,1.962.924,188.826,x,x
12.346,729.412,1.963.224,191.681,x,x
12.449,731.334,1.963.480,192.646,x,x
12.552,733.107,1.963.544,193.596,x,x
12.653,735.343,1.963.544,194.723,x,x
12.756,737.466,1.963.544,195.837,x,x
12.859,738.502,1.963.544,196.323,x,x
12.961,739.931,1.963.728,197.077,x,x
13.064,741.940,1.962.416,197.519,x,x
13.167,743.884,1.963.156,198.885,x,x
13.269,745.440,1.963.424,199.719,x,x
13.372,747.674,1.963.488,200.895,x,x
13.475,750.032,1.963.552,202.071,x,x
13.577,751.863,1.963.616,202.988,x,x
13.680,752.857,1.963.676,203.491,x,x
13.783,754.889,1.962.036,202.695,x,x
13.885,756.645,1.962.684,203.620,x,x
13.988,758.543,1.963.384,200.818,x,x
14.091,760.478,1.963.812,198.630,x,x
14.194,762.594,1.964.004,200.781,x,x
14.296,764.381,1.964.132,201.682,x,x
14.399,766.479,1.964.132,202.741,x,x
14.502,768.965,1.964.172,204.020,x,x
14.604,771.299,1.964.176,205.230,x,x
14.707,772.233,1.964.176,205.718,x,x
14.810,774.015,1.962.440,204.735,x,x
14.912,776.057,1.962.940,205.816,x,x
15.015,778.372,1.963.964,203.178,x,x
15.118,780.509,1.964.340,200.824,x,x
15.220,782.484,1.964.636,203.123,x,x
15.323,784.586,1.964.748,204.167,x,x
15.426,786.708,1.964.852,205.237,x,x
15.528,788.321,1.964.988,206.069,x,x
15.631,790.455,1.965.116,207.147,x,x
15.734,792.275,1.965.116,208.107,x,x
15.836,794.388,1.963.460,207.280,x,x
15.939,796.328,1.964.916,208.348,x,x
16.042,798.279,1.965.596,206.398,x,x
16.144,800.200,1.965.812,208.192,x,x
16.247,802.551,1.966.140,209.427,x,x
16.350,804.627,1.966.284,210.482,x,x
16.452,806.599,1.966.496,211.487,x,x
16.555,808.747,1.966.724,212.577,x,x
