elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.738.076,1.850.180,x,x
100,19.846,3.740.064,1.851.984,x,x
201,36.950,3.741.648,1.853.560,x,x
301,54.215,3.743.236,1.855.144,x,x
401,71.271,3.744.780,1.856.688,x,x
502,88.476,3.746.292,1.858.200,x,x
602,105.770,3.747.872,1.859.780,x,x
702,122.925,3.749.416,1.861.324,x,x
802,140.369,3.751.008,1.862.916,x,x
903,161.456,3.753.024,1.864.932,x,x
1.003,179.575,3.754.712,1.866.620,x,x
1.103,196.622,3.756.164,1.868.068,x,x
1.204,213.862,3.757.640,1.869.548,x,x
1.304,231.342,3.759.224,1.871.132,x,x
1.404,248.503,3.760.800,1.872.704,x,x
1.505,265.755,3.762.384,1.874.292,x,x
1.605,283.046,3.763.888,1.875.796,x,x
1.705,300.461,3.765.492,1.877.400,x,x
1.805,317.745,3.767.092,1.879.000,x,x
1.906,334.947,3.768.628,1.880.540,x,x
2.006,352.095,3.770.260,1.882.164,x,x
2.106,369.504,3.771.816,1.883.724,x,x
2.207,386.810,3.773.396,1.885.304,x,x
2.307,404.391,3.774.992,1.886.900,x,x
2.407,421.628,3.776.508,1.888.420,x,x
2.507,438.753,3.777.964,1.889.876,x,x
2.608,456.127,3.779.492,1.891.400,x,x
2.708,473.284,3.781.020,1.892.932,x,x
2.808,490.655,3.782.604,1.894.512,x,x
2.909,508.099,3.784.216,1.896.128,x,x
3.009,525.491,3.785.784,1.897.692,x,x
3.109,542.683,3.787.416,1.899.320,x,x
3.209,560.127,3.788.872,1.900.780,x,x
3.310,577.303,3.790.452,1.902.360,x,x
3.410,594.642,3.792.068,1.903.972,x,x
3.510,611.831,3.793.588,1.905.492,x,x
3.611,629.032,3.795.032,1.906.940,x,x
3.711,645.946,3.796.592,1.908.500,x,x
3.811,662.948,3.798.172,1.910.084,x,x
3.912,679.989,3.799.740,1.911.644,x,x
4.012,697.169,3.801.360,1.913.272,x,x
4.112,714.672,3.802.992,1.914.896,x,x
4.212,735.689,3.804.888,1.916.796,x,x
4.313,753.898,3.806.568,1.918.476,x,x
4.413,771.450,3.808.156,1.920.060,x,x
4.513,788.697,3.809.616,1.921.524,x,x
4.613,806.255,3.811.212,1.923.120,x,x
4.714,823.773,3.812.820,1.924.728,x,x
4.814,841.090,3.814.352,1.926.260,x,x
4.914,858.264,3.815.996,1.927.904,x,x
5.015,875.264,3.817.672,1.929.580,x,x
5.115,892.551,3.819.196,1.931.108,x,x
5.215,909.720,3.820.716,1.932.620,x,x
5.316,927.069,3.822.240,1.934.144,x,x
5.416,944.366,3.823.820,1.935.728,x,x
5.516,961.827,3.825.440,1.937.348,x,x
5.616,978.904,3.827.012,1.938.924,x,x
5.717,996.105,3.828.552,1.940.456,x,x
5.817,1.013.325,3.830.068,1.941.976,x,x
5.917,1.030.523,3.831.676,1.943.584,x,x
6.018,1.047.557,3.833.196,1.945.100,x,x
6.118,1.064.844,3.834.752,1.946.660,x,x
6.218,1.082.197,3.836.376,1.948.284,x,x
6.319,1.099.802,3.838.028,1.949.932,x,x
6.419,1.117.362,3.839.640,1.951.544,x,x
6.519,1.134.522,3.841.220,1.953.124,x,x
6.620,1.151.881,3.842.820,1.954.724,x,x
6.720,1.169.139,3.844.456,1.956.360,x,x
6.820,1.186.407,3.845.992,1.957.900,x,x
6.920,1.203.866,3.847.560,1.959.464,x,x
7.021,1.221.293,3.849.132,1.961.040,x,x
7.121,1.238.370,3.850.732,1.962.640,x,x
7.221,1.255.689,3.852.300,1.964.204,x,x
7.322,1.272.756,3.853.812,1.965.724,x,x
7.422,1.293.978,3.855.716,1.967.624,x,x
7.522,1.312.312,3.857.336,1.969.240,x,x
7.623,1.329.563,3.858.896,1.970.800,x,x
7.723,1.346.808,3.860.396,1.972.300,x,x
7.823,1.364.063,3.861.936,1.973.848,x,x
7.923,1.381.451,3.863.480,1.975.384,x,x
8.024,1.398.919,3.865.160,1.977.072,x,x
8.124,1.416.154,3.866.668,1.978.572,x,x
8.224,1.433.475,3.868.164,1.980.068,x,x
8.325,1.450.755,3.869.712,1.981.620,x,x
8.425,1.468.058,3.871.272,1.983.176,x,x
8.525,1.485.682,3.872.904,1.984.808,x,x
8.626,1.502.849,3.874.416,1.986.328,x,x
8.726,1.520.076,3.876.004,1.987.916,x,x
8.826,1.537.333,3.877.676,1.989.584,x,x
8.926,1.554.229,3.879.144,1.991.052,x,x
9.027,1.571.603,3.880.732,1.992.640,x,x
9.127,1.588.758,3.882.320,1.994.228,x,x
9.227,1.606.088,3.883.956,1.995.860,x,x
9.328,1.623.368,3.885.504,1.997.408,x,x
9.428,1.640.528,3.887.160,1.999.068,x,x
9.528,1.657.717,3.888.812,2.000.716,x,x
9.628,1.675.132,3.890.448,2.002.352,x,x
9.729,1.692.211,3.892.000,2.003.908,x,x
9.829,1.709.544,3.893.584,2.005.492,x,x
9.929,1.726.802,3.895.184,2.007.088,x,x
10.030,1.743.970,3.896.780,2.008.688,x,x
10.130,1.761.108,3.898.308,2.010.212,x,x
10.230,1.778.192,3.899.844,2.011.752,x,x
10.331,1.795.517,3.901.388,2.013.296,x,x
10.431,1.812.897,3.902.936,2.014.844,x,x
10.531,1.830.220,3.904.560,2.016.468,x,x
10.632,1.849.562,3.906.380,2.018.288,x,x
10.732,1.869.209,3.908.156,2.020.064,x,x
10.832,1.887.256,3.909.836,2.021.740,x,x
10.932,1.904.258,3.911.412,2.023.320,x,x
11.033,1.921.646,3.913.036,2.024.948,x,x
11.133,1.939.010,3.914.588,2.026.496,x,x
11.233,1.956.264,3.916.244,2.028.148,x,x
11.334,1.973.490,3.917.740,2.029.652,x,x
11.434,1.991.021,3.919.324,2.031.232,x,x
11.534,2.008.333,3.920.960,2.032.868,x,x
11.634,2.025.647,3.922.548,2.034.456,x,x
11.735,2.043.000,3.924.112,2.036.020,x,x
11.835,2.060.334,3.925.720,2.037.628,x,x
11.935,2.077.477,3.927.236,2.039.144,x,x
12.036,2.094.872,3.928.772,2.040.680,x,x
12.136,2.112.256,3.930.300,2.042.204,x,x
12.236,2.129.796,3.931.896,2.043.800,x,x
12.336,2.147.124,3.933.452,2.045.360,x,x
12.437,2.164.712,3.935.096,2.047.004,x,x
12.537,2.182.292,3.936.700,2.048.604,x,x
12.637,2.199.591,3.938.232,2.050.140,x,x
12.738,2.217.036,3.939.868,2.051.776,x,x
12.838,2.234.541,3.941.452,2.053.356,x,x
12.938,2.251.758,3.943.040,2.054.948,x,x
13.038,2.268.699,3.944.696,2.056.604,x,x
13.139,2.286.033,3.946.332,2.058.240,x,x
13.239,2.303.274,3.947.956,2.059.860,x,x
13.339,2.320.527,3.949.484,2.061.388,x,x
13.440,2.337.702,3.951.104,2.063.012,x,x
13.540,2.355.124,3.952.736,2.064.644,x,x
13.640,2.372.398,3.954.324,2.066.228,x,x
13.740,2.389.601,3.955.972,2.067.880,x,x
13.841,2.407.072,3.957.592,2.069.500,x,x
13.941,2.427.821,3.959.644,2.071.548,x,x
14.041,2.445.750,3.961.236,2.073.148,x,x
14.142,2.463.044,3.962.848,2.074.756,x,x
14.242,2.480.340,3.964.468,2.076.380,x,x
14.342,2.497.714,3.966.092,2.077.996,x,x
14.442,2.514.755,3.967.716,2.079.620,x,x
14.543,2.531.959,3.969.176,2.081.080,x,x
14.643,2.549.527,3.970.776,2.082.684,x,x
14.743,2.566.870,3.972.340,2.084.248,x,x
14.844,2.584.165,3.973.916,2.085.820,x,x
14.944,2.601.589,3.975.468,2.087.376,x,x
15.044,2.619.022,3.977.012,2.088.920,x,x
15.145,2.636.664,3.978.656,2.090.560,x,x
15.245,2.654.116,3.980.352,2.092.256,x,x
15.345,2.671.262,3.981.928,2.093.832,x,x
15.445,2.688.580,3.983.480,2.095.392,x,x
15.546,2.705.867,3.985.072,2.096.976,x,x
15.646,2.723.502,3.986.604,2.098.512,x,x
15.746,2.740.982,3.988.124,2.100.028,x,x
15.847,2.758.485,3.989.780,2.101.684,x,x
15.947,2.775.834,3.991.360,2.103.268,x,x
16.047,2.793.054,3.992.952,2.104.860,x,x
16.147,2.810.196,3.994.504,2.106.408,x,x
16.248,2.827.533,3.996.024,2.107.932,x,x
16.348,2.844.779,3.997.584,2.109.492,x,x
16.448,2.862.034,3.999.188,2.111.096,x,x
16.549,2.879.202,4.000.820,2.112.728,x,x
16.649,2.896.481,4.002.484,2.114.392,x,x
16.749,2.913.793,4.004.044,2.115.948,x,x
16.850,2.931.124,4.005.736,2.117.640,x,x
16.950,2.948.483,4.007.316,2.119.224,x,x
17.050,2.965.763,4.008.868,2.120.776,x,x
17.151,2.985.557,4.010.636,2.122.544,x,x
17.251,3.003.497,4.012.268,2.124.172,x,x
17.351,3.020.728,4.013.844,2.125.752,x,x
17.451,3.037.891,4.015.316,2.127.220,x,x
17.552,3.055.428,4.017.056,2.128.964,x,x
17.652,3.072.727,4.018.600,2.130.504,x,x
17.752,3.089.874,4.020.236,2.132.144,x,x
17.853,3.107.127,4.021.776,2.133.684,x,x
17.953,3.124.450,4.023.416,2.135.320,x,x
18.053,3.141.404,4.025.040,2.136.944,x,x
18.154,3.158.675,4.026.556,2.138.468,x,x
18.254,3.175.917,4.028.000,2.139.908,x,x
18.354,3.193.044,4.029.588,2.141.496,x,x
18.454,3.210.166,4.031.088,2.142.996,x,x
18.555,3.227.570,4.032.792,2.144.696,x,x
18.655,3.244.764,4.034.356,2.146.268,x,x
18.755,3.261.855,4.035.948,2.147.856,x,x
18.855,3.279.152,4.037.568,2.149.476,x,x
18.956,3.296.178,4.039.144,2.151.048,x,x
19.056,3.313.498,4.040.808,2.152.716,x,x
19.156,3.330.841,4.042.408,2.154.316,x,x
19.257,3.347.864,4.043.976,2.155.880,x,x
19.357,3.365.225,4.045.712,2.157.620,x,x
19.457,3.382.364,4.047.292,2.159.200,x,x
19.557,3.399.539,4.048.832,2.160.740,x,x
19.658,3.416.643,4.050.328,2.162.236,x,x
19.758,3.433.947,4.051.864,2.163.772,x,x
19.858,3.451.305,4.053.444,2.165.348,x,x
19.959,3.468.274,4.054.936,2.166.844,x,x
20.059,3.485.672,4.056.548,2.168.456,x,x
20.159,3.503.149,4.058.192,2.170.100,x,x
20.260,3.520.436,4.059.796,2.171.704,x,x
20.360,3.538.183,4.061.560,2.173.468,x,x
20.460,3.558.846,4.063.472,2.175.380,x,x
20.560,3.576.393,4.065.140,2.177.044,x,x
20.661,3.593.487,4.066.704,2.178.612,x,x
20.761,3.610.954,4.068.228,2.180.136,x,x
20.861,3.628.260,4.069.816,2.181.724,x,x
20.962,3.645.568,4.071.280,2.183.188,x,x
21.062,3.662.680,4.072.964,2.184.872,x,x
21.162,3.680.105,4.074.572,2.186.476,x,x
21.262,3.697.501,4.076.244,2.188.148,x,x
21.363,3.714.807,4.077.792,2.189.700,x,x
21.463,3.731.992,4.079.364,2.191.268,x,x
21.563,3.749.107,4.080.904,2.192.812,x,x
21.664,3.766.357,4.082.536,2.194.444,x,x
21.764,3.783.307,4.083.980,2.195.892,x,x
21.864,3.800.637,4.085.488,2.197.396,x,x
21.965,3.817.864,4.087.096,2.199.004,x,x
22.065,3.835.224,4.088.628,2.200.540,x,x
22.165,3.852.587,4.090.184,2.202.092,x,x
22.266,3.869.984,4.091.724,2.203.628,x,x
22.366,3.887.394,4.093.384,2.205.292,x,x
22.466,3.904.697,4.094.964,2.206.872,x,x
22.566,3.921.942,4.096.352,2.208.260,x,x
22.667,3.939.164,4.098.024,2.209.928,x,x
22.767,3.956.473,4.099.552,2.211.460,x,x
22.867,3.973.857,4.101.116,2.213.024,x,x
22.968,3.991.111,4.102.772,2.214.676,x,x
23.068,4.008.467,4.104.296,2.216.200,x,x
23.168,4.025.895,4.105.964,2.217.872,x,x
23.269,4.043.317,4.107.536,2.219.440,x,x
23.369,4.060.618,4.109.116,2.221.024,x,x
23.469,4.078.028,4.110.764,2.222.672,x,x
23.569,4.095.519,4.112.392,2.224.296,x,x
23.670,4.116.383,4.114.372,2.226.276,x,x
23.770,4.134.507,4.116.096,2.228.008,x,x
23.870,4.151.886,4.117.656,2.229.564,x,x
23.971,4.169.175,4.119.208,2.231.116,x,x
24.071,4.186.468,4.120.880,2.232.784,x,x
24.171,4.203.738,4.122.604,2.234.508,x,x
24.271,4.221.054,4.124.176,2.236.084,x,x
24.372,4.238.322,4.125.764,2.237.676,x,x
24.472,4.255.630,4.127.428,2.239.332,x,x
24.572,4.272.917,4.128.940,2.240.848,x,x
24.673,4.290.258,4.130.504,2.242.416,x,x
24.773,4.307.581,4.132.120,2.244.032,x,x
24.873,4.324.877,4.133.816,2.245.724,x,x
24.974,4.342.343,4.135.476,2.247.380,x,x
25.074,4.359.820,4.137.004,2.248.916,x,x
25.174,4.377.344,4.138.472,2.250.376,x,x
25.275,4.394.634,4.140.068,2.251.972,x,x
25.375,4.411.943,4.141.684,2.253.592,x,x
25.475,4.429.506,4.143.268,2.255.176,x,x
25.575,4.446.650,4.144.812,2.256.716,x,x
25.676,4.463.799,4.146.380,2.258.292,x,x
25.776,4.481.022,4.147.960,2.259.868,x,x
25.876,4.498.557,4.149.536,2.261.444,x,x
25.977,4.515.948,4.151.148,2.263.056,x,x
26.077,4.533.252,4.152.692,2.264.604,x,x
26.177,4.550.598,4.154.296,2.266.204,x,x
26.278,4.568.077,4.155.972,2.267.880,x,x
26.378,4.585.613,4.157.636,2.269.544,x,x
26.478,4.603.098,4.159.208,2.271.116,x,x
26.578,4.620.564,4.160.812,2.272.720,x,x
26.679,4.637.749,4.162.416,2.274.324,x,x
26.779,4.654.870,4.163.936,2.275.840,x,x
26.879,4.674.082,4.165.700,2.277.604,x,x
26.980,4.693.515,4.167.420,2.279.324,x,x
27.080,4.710.764,4.168.992,2.280.900,x,x
27.180,4.727.942,4.170.596,2.282.504,x,x
27.281,4.745.371,4.172.228,2.284.132,x,x
27.381,4.762.598,4.173.820,2.285.728,x,x
27.481,4.779.893,4.175.480,2.287.384,x,x
27.581,4.797.039,4.176.964,2.288.868,x,x
27.682,4.814.402,4.178.600,2.290.508,x,x
27.782,4.831.779,4.180.192,2.292.100,x,x
27.882,4.849.272,4.181.908,2.293.812,x,x
27.983,4.866.617,4.183.560,2.295.468,x,x
28.083,4.884.000,4.185.284,2.297.192,x,x
28.183,4.901.121,4.186.812,2.298.720,x,x
28.284,4.918.432,4.188.480,2.300.384,x,x
28.384,4.935.699,4.190.076,2.301.984,x,x
28.484,4.952.917,4.191.700,2.303.608,x,x
28.585,4.970.350,4.193.280,2.305.184,x,x
28.685,4.987.563,4.194.808,2.306.720,x,x
28.785,5.005.065,4.196.312,2.308.220,x,x
28.885,5.022.340,4.197.852,2.309.756,x,x
28.986,5.039.605,4.199.420,2.311.328,x,x
29.086,5.056.902,4.200.936,2.312.844,x,x
29.186,5.074.298,4.202.552,2.314.464,x,x
29.287,5.091.936,4.204.248,2.316.152,x,x
29.387,5.109.372,4.205.848,2.317.756,x,x
29.487,5.127.034,4.207.560,2.319.468,x,x
29.588,5.144.916,4.209.296,2.321.200,x,x
29.688,5.162.393,4.210.828,2.322.736,x,x
29.788,5.180.034,4.212.444,2.324.348,x,x
29.889,5.197.269,4.214.024,2.325.928,x,x
29.989,5.214.617,4.215.584,2.327.492,x,x
