elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.007.384,163.061,x,x
100,2.465,2.012.992,115.563,x,x
200,5.136,2.015.408,115.695,x,x
301,7.920,2.017.912,115.826,x,x
401,10.397,2.020.192,115.970,x,x
501,13.053,2.022.624,116.106,x,x
602,15.614,2.025.088,116.250,x,x
702,18.146,2.027.540,116.391,x,x
802,20.651,2.030.000,116.539,x,x
903,23.377,2.032.800,116.672,x,x
1.003,26.169,2.035.428,116.798,x,x
1.104,28.751,2.037.772,116.928,x,x
1.204,31.544,2.040.224,117.064,x,x
1.304,34.265,2.042.416,117.197,x,x
1.404,36.719,2.043.916,117.320,x,x
1.505,39.451,2.044.812,117.453,x,x
1.605,42.131,2.045.384,117.585,x,x
1.706,44.576,2.045.788,117.720,x,x
1.806,47.245,2.046.056,117.858,x,x
1.906,49.961,2.046.240,117.988,x,x
2.007,52.634,2.046.524,118.125,x,x
2.107,55.118,2.046.896,118.266,x,x
2.208,57.856,2.047.164,118.405,x,x
2.308,60.559,2.047.476,118.537,x,x
2.409,63.027,2.047.800,118.681,x,x
2.509,65.483,2.048.100,118.813,x,x
2.609,68.130,2.048.384,118.957,x,x
2.710,70.791,2.048.600,119.096,x,x
2.810,73.480,2.048.828,119.228,x,x
2.911,75.997,2.049.028,119.366,x,x
3.011,78.680,2.049.248,119.504,x,x
3.111,81.227,2.049.436,119.647,x,x
3.212,83.850,2.049.616,119.785,x,x
3.312,86.568,2.049.864,119.923,x,x
3.412,89.385,2.050.028,120.056,x,x
3.513,91.870,2.050.216,120.201,x,x
3.613,94.524,2.050.388,120.339,x,x
3.713,97.481,2.050.656,120.469,x,x
3.814,100.237,2.050.784,120.604,x,x
3.914,102.633,2.050.952,120.751,x,x
4.014,105.306,2.051.108,120.888,x,x
4.115,107.997,2.051.284,121.027,x,x
4.215,110.619,2.051.516,121.163,x,x
4.315,113.391,2.051.700,121.296,x,x
4.416,116.220,2.051.932,121.429,x,x
4.516,118.893,2.052.104,121.566,x,x
4.617,121.525,2.052.320,121.707,x,x
4.717,124.218,2.052.508,121.843,x,x
4.817,126.960,2.052.680,121.971,x,x
4.918,129.626,2.052.876,122.100,x,x
5.018,132.371,2.053.128,122.236,x,x
5.119,135.190,2.053.332,122.365,x,x
5.219,137.762,2.053.476,122.504,x,x
5.319,140.210,2.053.616,122.642,x,x
5.420,142.989,2.053.756,122.779,x,x
5.520,145.740,2.053.916,122.917,x,x
5.620,148.693,2.054.064,123.048,x,x
5.721,151.164,2.054.176,123.174,x,x
5.821,153.910,2.054.296,123.304,x,x
5.922,156.177,2.054.404,123.411,x,x
6.022,156.690,2.054.424,123.443,x,x
6.122,157.507,2.054.468,123.478,x,x
6.223,158.280,2.054.508,123.520,x,x
6.323,158.916,2.054.540,123.550,x,x
6.424,159.763,2.054.580,123.593,x,x
6.524,160.384,2.054.608,123.623,x,x
6.624,161.077,2.054.652,123.660,x,x
6.725,161.911,2.054.688,123.697,x,x
6.825,162.723,2.054.732,123.736,x,x
6.925,163.252,2.054.760,123.768,x,x
7.026,163.946,2.054.796,123.804,x,x
7.126,164.659,2.054.832,123.834,x,x
7.227,165.481,2.054.900,123.870,x,x
7.327,166.194,2.054.988,125.949,x,x
7.427,166.464,2.054.996,127.957,x,x
7.528,166.464,2.054.996,127.957,x,x
7.628,166.464,2.054.996,127.957,x,x
7.728,166.464,2.054.996,127.957,x,x
7.829,166.464,2.054.996,127.957,x,x
7.929,166.464,2.054.996,127.957,x,x
8.029,166.464,2.054.996,127.957,x,x
