elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.005.216,163.098,x,x
101,22.657,2.029.916,164.262,x,x
201,45.980,2.043.444,165.475,x,x
301,64.018,2.045.068,166.395,x,x
402,79.596,2.046.260,167.165,x,x
502,94.542,2.047.372,167.908,x,x
603,109.440,2.048.208,168.681,x,x
703,124.309,2.049.220,169.450,x,x
804,139.234,2.050.092,170.196,x,x
904,154.279,2.051.068,170.968,x,x
1.005,169.420,2.051.908,171.741,x,x
1.105,185.420,2.052.692,176.555,x,x
1.206,201.630,2.053.544,177.387,x,x
1.306,217.818,1.952.088,67.022,x,x
1.406,234.534,1.952.624,68.947,x,x
1.507,251.294,1.952.968,71.859,x,x
1.607,267.981,1.953.420,74.773,x,x
1.708,284.473,1.953.728,77.644,x,x
1.808,301.491,1.954.400,79.520,x,x
1.908,318.132,1.956.404,82.494,x,x
2.009,334.831,1.957.368,85.350,x,x
2.109,351.600,1.958.360,88.215,x,x
2.209,368.187,1.959.456,91.146,x,x
2.310,385.118,1.960.540,93.059,x,x
2.410,402.364,1.961.504,95.968,x,x
2.511,419.788,1.964.000,98.898,x,x
2.611,436.767,1.964.828,101.804,x,x
2.712,453.999,1.965.960,103.679,x,x
2.812,471.475,1.967.052,106.708,x,x
2.913,488.542,1.968.132,109.665,x,x
3.013,505.747,1.969.732,112.608,x,x
3.113,522.772,1.970.804,114.518,x,x
3.214,539.543,1.973.908,117.453,x,x
3.314,556.422,1.974.960,120.390,x,x
3.415,572.941,1.975.572,123.269,x,x
3.515,589.867,1.976.480,125.170,x,x
3.615,606.657,1.977.612,128.079,x,x
3.716,623.946,1.982.668,131.044,x,x
3.816,640.872,1.983.824,133.940,x,x
3.916,657.753,1.984.980,135.849,x,x
4.017,674.629,1.986.152,138.732,x,x
4.117,691.575,1.987.300,141.652,x,x
4.218,708.328,1.988.376,144.527,x,x
4.318,725.520,1.989.644,147.443,x,x
4.418,742.471,1.990.848,150.371,x,x
4.519,763.245,1.992.460,152.505,x,x
4.619,781.765,2.003.512,157.989,x,x
4.720,798.181,2.004.372,158.792,x,x
4.820,812.989,2.005.132,159.549,x,x
4.920,827.724,2.005.880,160.290,x,x
5.021,842.600,2.006.580,160.986,x,x
5.121,857.462,2.007.324,161.715,x,x
5.222,872.262,2.008.076,162.465,x,x
5.322,887.248,2.008.812,163.206,x,x
5.423,901.871,2.009.560,163.972,x,x
5.523,916.922,2.010.356,164.759,x,x
5.623,931.821,2.011.104,165.484,x,x
5.724,946.767,2.011.920,166.299,x,x
5.824,961.494,2.012.284,167.055,x,x
5.925,976.402,2.012.676,167.834,x,x
6.025,991.359,2.013.304,168.574,x,x
6.125,1.006.106,2.014.028,169.324,x,x
6.226,1.020.822,1.990.980,170.111,x,x
6.326,1.035.744,1.994.468,170.841,x,x
6.427,1.050.721,1.995.228,171.571,x,x
6.527,1.065.726,1.996.016,172.355,x,x
6.627,1.080.573,1.996.812,173.133,x,x
6.728,1.095.552,1.997.608,173.932,x,x
6.828,1.110.326,1.998.352,174.657,x,x
6.928,1.125.124,1.999.092,175.414,x,x
7.029,1.140.087,1.999.880,176.203,x,x
7.129,1.154.718,2.000.704,177.003,x,x
7.230,1.169.816,2.001.480,177.775,x,x
7.330,1.184.817,2.002.276,178.554,x,x
7.430,1.199.681,2.003.080,179.363,x,x
7.531,1.214.950,2.003.884,180.142,x,x
7.631,1.229.686,2.004.672,180.881,x,x
7.732,1.246.701,2.005.584,181.795,x,x
7.832,1.265.307,2.006.580,182.795,x,x
7.932,1.281.150,2.007.376,183.573,x,x
8.033,1.296.363,2.008.244,184.413,x,x
8.133,1.311.479,2.009.052,185.216,x,x
8.233,1.326.298,2.009.880,186.032,x,x
8.334,1.341.381,2.010.736,186.878,x,x
8.434,1.356.102,2.011.456,187.594,x,x
8.535,1.371.032,2.012.220,188.355,x,x
8.635,1.385.959,2.012.988,189.106,x,x
8.735,1.400.661,2.013.784,189.884,x,x
8.836,1.415.525,2.014.632,190.666,x,x
8.936,1.430.986,2.015.416,195.460,x,x
9.037,1.446.626,2.016.160,196.209,x,x
9.137,1.461.486,2.016.868,69.397,x,x
9.237,1.476.190,2.017.452,70.170,x,x
9.338,1.491.344,2.017.844,70.963,x,x
9.438,1.506.151,2.017.984,71.720,x,x
9.539,1.521.051,2.018.152,72.516,x,x
9.639,1.535.647,2.018.152,73.269,x,x
9.739,1.550.626,2.018.152,74.027,x,x
9.840,1.565.568,2.018.244,74.786,x,x
9.940,1.580.255,2.018.816,75.565,x,x
10.041,1.595.012,2.019.568,76.329,x,x
10.141,1.610.229,2.020.320,77.079,x,x
10.241,1.625.051,2.021.112,77.862,x,x
10.342,1.639.693,2.021.920,78.651,x,x
10.442,1.654.634,2.022.700,79.440,x,x
10.543,1.669.484,2.023.460,80.174,x,x
