elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.540.220,71.726,x,x
101,2.427,2.568.316,69.828,x,x
202,5.237,2.584.204,72.152,x,x
303,6.834,2.588.572,73.404,x,x
405,8.439,2.592.588,74.752,x,x
507,10.881,2.597.944,76.799,x,x
609,13.519,2.601.508,78.503,x,x
710,15.154,2.603.136,79.663,x,x
812,17.150,2.604.468,80.927,x,x
914,20.250,2.597.524,70.503,x,x
1.015,22.262,2.598.796,69.626,x,x
1.117,24.382,2.601.220,70.975,x,x
1.219,27.323,2.602.776,70.822,x,x
1.320,28.602,2.603.896,71.463,x,x
1.422,31.948,2.604.676,71.444,x,x
1.523,32.989,2.603.108,69.328,x,x
1.625,35.663,2.604.328,69.875,x,x
1.726,38.427,2.605.552,66.236,x,x
1.828,41.055,2.607.512,67.516,x,x
1.930,42.800,2.606.572,66.386,x,x
2.031,44.911,2.607.788,67.732,x,x
2.133,48.292,2.608.016,68.158,x,x
2.234,50.349,2.607.832,67.505,x,x
2.336,52.009,2.606.616,66.581,x,x
2.437,54.596,2.608.700,68.849,x,x
2.538,56.827,2.609.404,69.699,x,x
2.640,58.786,2.607.520,67.754,x,x
2.741,61.480,2.607.956,68.136,x,x
2.843,64.419,2.609.548,69.639,x,x
2.944,67.070,2.608.612,68.923,x,x
3.046,69.105,2.608.548,68.263,x,x
3.147,70.887,2.609.388,69.369,x,x
3.249,74.025,2.611.332,71.691,x,x
3.350,75.737,2.608.892,68.439,x,x
3.452,77.350,2.609.796,70.007,x,x
3.553,80.601,2.610.264,71.860,x,x
3.655,81.841,2.610.760,72.658,x,x
3.756,85.484,2.609.108,70.401,x,x
3.857,86.808,2.607.524,68.433,x,x
3.959,89.805,2.609.952,70.611,x,x
4.060,91.543,2.608.656,69.041,x,x
4.162,93.871,2.610.172,70.832,x,x
4.263,96.164,2.609.408,69.464,x,x
4.365,98.174,2.610.908,71.060,x,x
4.466,100.638,2.610.156,70.099,x,x
4.567,102.484,2.611.184,71.317,x,x
4.669,105.593,2.613.464,73.216,x,x
4.770,106.977,2.614.152,74.260,x,x
4.872,110.143,2.611.740,71.709,x,x
4.973,111.828,2.610.052,69.946,x,x
5.075,114.327,2.610.560,66.513,x,x
5.176,117.028,2.611.208,67.118,x,x
5.278,119.685,2.612.696,68.443,x,x
5.379,122.041,2.611.656,67.297,x,x
5.480,124.034,2.611.144,66.870,x,x
5.582,126.611,2.612.360,68.465,x,x
5.683,129.253,2.611.988,68.218,x,x
