start_ns,end_ns
928187,941947
1758398,1761718
1827994,1831130
2818882,2835531
2873983,2875330
3133746,3155317
4976490,4977551
6957237,19656271
7843414,7860512
8982977,8989801
9023138,9025267
9140845,9142017
9202180,9218945
9210210,9213053
9639771,9654000
10656924,10666314
10986690,11001119
11134639,11135680
12470596,12478538
14363151,14364285
14496990,14944473
15004168,15017341
15440937,15442424
15457960,15459082
15810748,15825991
15855371,15856709
17301509,17303676
18049532,18058887
18482027,18484501
19046276,24490935
20218737,20235268
20988484,20997330
21312537,21327793
23025553,23035973
23058691,23067295
23080661,23093847
24760520,24762160
25441288,25442573
26129684,26130896
26786673,26788265
27030608,27031966
27632543,33074188
29757885,29759228
30215716,30237460
31638070,31646663
31764273,31772787
31790869,31805339
33084054,33092602
33316727,33318335
33884815,39050112
34564291,34577866
34954806,34955923
35431634,35432786
36683423,36685173
36997653,36998711
37137198,42005503
37700061,37701538
39173769,39175159
40110427,40112133
40645598,40646538
40871550,40873587
41731978,41745582
42848143,42849141
43229418,48005152
43354297,43378836
43597462,43599242
44328000,47979595
44457942,44459173
44541998,44543364
45264512,45281307
46357281,46359095
46920323,46921698
47109589,47124291
47520033,47521284
47589938,47591095
50158151,50159880
50800643,50814635
51041874,51051348
51133678,51145392
52515871,52527163
52600891,52602709
54521538,54545145
55180974,55194152
55722582,55741142
55925208,55926187
56542951,56544286
56928663,56941813
57627523,57639554
57748801,57750164
57974151,57976436
60239892,60251169
60505854,60507986
61077395,66030092
61567898,61579517
62606727,66029751
62682795,62695857
63330782,63331845
63383409,63396006
63430738,63432459
63901348,63904347
64136635,64138159
65049244,65062925
65528784,65530234
65942786,65958992
67435648,67437397
67551659,67554196
67664085,67665978
67756915,67767780
68296746,68311903
69018609,69021916
69112060,69115157
69869115,69870655
70416891,70430158
72200319,72219578
72294818,72304264
72446447,72461581
72469084,72483039
72469362,72492993
72509058,72510791
72827745,77966569
73064525,73074512
73270698,73272135
73492755,73493979
73651902,73653853
74179773,74181585
74367001,74382068
74940085,74956191
75904671,75910008
76413087,76425955
76647315,76664091
78317076,78339356
80184540,80185679
81089280,81089986
81789189,81791380
83592265,83594455
84623227,84639123
84790164,84791393
85732701,85737870
86876893,86878763
88080598,88082378
88214745,92964863
88245489,88247319
88415268,88424678
88837419,88852505
89060219,89079794
89063389,89077560
90061803,90077672
91192701,91194622
93706635,93709628
93953929,93970246
94182169,94200424
94222947,94233806
95333888,95335357
96178979,96180620
97470406,97485173
155161915,155179899
155681020,155703725
159745331,159771514
160859451,160878043
160953118,164822969
161112040,161131457
162364045,162383008
163051968,163067056
163259810,168744022
164096090,164120555
164950665,164954223
165318437,165319961
165650723,165653463
165799279,165817501
166144377,166162903
166524134,166541827
167107097,167109032
168627790,168646035
170725419,170727669
171803878,171826549
172722936,172724984
173062952,177958386
173084314,173086101
173217759,173219944
174179921,174184455
175401210,175403993
175512360,175514350
175876138,175925794
176170331,176172306
176659462,176661961
176691398,176693466
176981518,176997428
178440495,178461652
178485707,183752014
178714104,178716279
178719790,178724411
178903970,178906012
179059152,179061217
180292283,180295063
180806512,180809405
181074832,181075982
182466266,182467709
182794302,182824599
183710416,183753972
183746318,183751142
184106654,184124140
184626113,184628301
186497564,186499282
187217096,187236433
187314610,187317133
187552131,187578438
187728745,187730669
187800474,187802903
188251435,188269790
188438465,192764376
188479000,188497218
189530908,189533952
189662112,189663916
189839096,189852169
191206756,191240108
191717155,191718605
191951405,191953901
192298859,195725280
193298188,193335960
193349304,193367298
193522980,193540610
194848421,198753937
195187917,195206863
195819283,195821588
196544846,196571750
197334681,201696570
197427222,197428863
198165565,201697429
198738055,198742371
198747944,198750209
198967003,198969021
199152350,199156055
200055251,200057960
200611129,200613495
200630085,200647705
200954179,200982590
201545956,201556844
201568318,201569921
201861574,202126687
201988564,201992481
202303491,202316380
202440047,202443003
203813102,203824779
203909968,203922373
203916092,203918090
203980655,203983575
204691452,204708015
204817954,204820690
205135902,205159455
205369806,205407158
205525008,205526893
205675446,205677524
205818804,205832869
205876578,205878903
207242881,207244572
207632614,210692181
207696388,207714676
207780438,207796632
207992853,207994780
208118330,208120258
209019220,209039633
209363269,209365587
209660515,209672252
209805732,209822229
209923430,209925609
210112357,210113926
211391541,211402549
211872646,211875280
212717622,212720124
212728092,212745406
213377882,213379944
214191370,214194036
214753647,214756320
215250562,215254498
216118764,216137460
216281346,216300840
216915876,216917760
217452635,217470929
217645451,217648414
217657488,217662740
217887820,217906185
218007070,218010488
218950462,218969749
219090105,219095945
219978450,219980211
221756579,221760455
222695051,222718096
222737884,222740824
223237562,223239557
224512774,224522126
224586523,224588394
224887766,224889600
225333508,228662339
227305159,227327900
228830469,228833549
229224181,229226082
229288641,229290856
229666572,229668567
230302352,230314710
231961121,231980267
232613748,232615576
234788092,234790026
234839231,234843975
236375412,236386547
236507695,236518376
237838822,237856232
238286429,238299806
239170160,239182100
240046262,240048422
240696646,240707785
240775986,240796512
240881739,240895744
240883422,240896472
241484577,241486434
241502149,241503254
241626724,241643241
241626839,241629281
242323008,242348536
242846390,242848401
242920909,242928122
243078910,243080794
246711088,246712132
246825299,246827344
247327817,247345353
247334606,247346128
248668399,248670833
248690507,248705038
248714009,316534389
250107243,250111717
250281381,250283890
250859794,250861615
251070017,251128479
251834457,316570764
251971959,251973422
252207712,252209680
254047344,254049122
254699267,254710893
255206411,316584643
257856105,257878218
262946026,316580563
316650375,316674128
316831471,316838751
317141483,317144924
317165474,317167916
319440302,319454019
319618782,319621689
319808221,319811699
320079201,320091516
320333537,320349163
320353178,320358113
321033743,321035580
321433221,321444867
321775562,321790342
323607841,323609301
325022317,325034003
325340704,325352498
325352765,325364659
325473281,325492047
325998337,326034799
326021837,326036222
328013850,331476290
328430527,328444141
328499647,328501484
329134591,329146829
329545896,329547666
329575038,329586708
329616489,329619319
330259745,330266340
330398095,334490227
330489051,330491016
330769917,330771831
331329387,331348444
332117588,332122837
332348769,332350606
332491909,332493941
333296110,333297988
334621698,334623699
335133033,335134726
336085576,336091229
337484891,337486641
337871857,337874747
337972919,337977449
338392913,338395723
339295507,343442246
339360274,339362462
340390947,340397238
340423257,340426094
340457107,340478115
340509539,340511196
341860789,341872642
342867398,342870224
343188521,343200522
344271450,349423632
344741915,344744598
344978240,344979764
345160647,345177976
346665040,346667328
346802344,346816626
347112797,347125930
347235702,347248935
347327697,347329882
347513464,347519618
347559568,347562157
347859173,347871772
348236117,348238800
348513361,352439357
349834118,349836721
349997228,349998971
350380729,350383930
350651325,350663530
350717442,350718992
350821948,350833595
351205874,351208290
352162403,352173064
352327477,352338509
353703556,353705280
353843867,353846383
354948364,354959974
355554069,355558927
355770085,355774642
356997922,356999963
360056175,360058214
361272777,361275694
361990783,361995026
362131742,362146215
362409778,362412471
364350533,364352454
364387169,364399624
364526645,364535979
364878040,364879447
365942704,365964577
366120159,366131358
366347521,366349689
366588754,366590274
367310347,367312435
367460290,367465398
367596482,367615548
368476925,368478656
369796914,369807254
369808955,369819108
371451500,371454601
372797675,372799041
373224602,373226633
373488636,373513518
374007541,374018613
375237509,375239390
375826924,375839135
376768208,376780426
376799516,376811817
377147313,377149284
377564351,377565888
378354747,378375140
378832379,378843644
381366399,381368705
381869702,381882906
381878115,381880296
383444277,383449673
383748583,383750758
384628111,384630202
385694923,385696553
386852153,386855270
387951624,387953660
388401565,388407632
389521317,389525466
389680263,389685288
390038629,390049797
390722717,390725309
391445649,391450766
391474750,395328849
391538399,391548493
392148502,392160162
392751784,392761112
393726775,393737002
395363060,395366080
395529377,395541738
395688734,395691607
397581747,397584025
397779434,397781202
400841685,400844815
402794145,402795956
403330296,403350839
406572467,406574916
454533325,454552769
454555562,454575788
454986828,454988556
455693959,455705769
456138439,456149727
457721146,457722973
457915439,457917255
458511366,458512972
460076584,460087342
461631363,461636033
462031091,462037830
462892662,467170461
464338706,464340573
464695821,464698350
464940936,464952870
465539588,465542017
467536373,467538411
467715074,473238129
468778605,468792119
469489241,469491225
469976404,469989296
469979173,469991869
470479005,470498463
470960719,470962784
471044292,471071824
471365265,471368015
472304716,472331596
473622459,473634219
473814551,473816378
474292256,479153272
474932312,474945602
475377266,475390051
475387385,475390833
476463565,476478873
476539323,476545902
477263326,477287411
477573331,477575072
477712229,477714190
477962583,477975037
477996483,478010100
478109599,478116097
478380432,478382660
478991024,478992180
480168440,480170555
482239610,482242453
482341193,482343909
483083808,483093600
484520634,484533246
484792333,484794261
485070433,485072517
485171241,485173072
485544783,485557138
486071466,486083039
486111927,486113868
486128141,486130352
486565835,486568545
488433511,488439153
490896253,490898231
493496581,493518006
493633878,493637473
495655309,495657490
496792594,496794488
497252131,497256153
497590199,497592658
498574458,498576787
498728503,498731544
499073090,499085341
499496993,499508419
501631403,501634476
501746934,501759018
501927844,501929057
503083033,503093884
503173157,503189260
503254180,503266969
503368476,503371035
503613040,503627225
503760787,503762906
504042141,504052154
504220351,504239962
504284430,504286732
505041714,505053387
505522540,505533702
505669499,505671784
506333643,506335557
506352823,506356822
507456829,507459245
507544658,507557407
508062999,508065582
508124761,512114402
509949281,509950796
509983259,509985043
510006843,515157039
510600831,510602588
510706252,510708815
510974958,510976191
511899832,511910737
512298047,512310161
512473387,512483427
512490697,512493199
512836339,512841822
513778182,513780099
514053308,514064951
515370480,515373921
515994640,516003453
516364571,516366328
517328540,517340304
517461648,517472493
518109533,518119828
518195660,518198801
518411836,518436522
518858027,518869820
519414941,519417864
519533023,519542662
519786399,519788964
