elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.677.180,177.316,x,x
103,23.940,2.761.368,171.306,x,x
205,50.642,2.789.040,162.295,x,x
306,76.565,2.811.428,162.898,x,x
410,106.574,2.838.452,158.483,x,x
512,130.868,2.858.948,155.016,x,x
614,157.021,2.879.692,155.814,x,x
717,186.076,2.904.824,155.217,x,x
823,214.885,2.927.872,153.056,x,x
926,237.526,2.945.068,144.989,x,x
1.028,262.335,2.962.372,147.954,x,x
1.130,287.129,2.976.016,149.338,x,x
1.233,312.366,2.988.684,146.114,x,x
1.335,337.688,2.999.068,148.610,x,x
1.438,365.738,3.009.232,151.988,x,x
1.540,392.988,3.017.944,155.479,x,x
1.642,417.434,3.024.568,158.042,x,x
1.744,441.313,3.030.752,160.550,x,x
1.846,461.873,3.035.768,145.404,x,x
1.948,486.233,3.040.652,148.459,x,x
2.052,506.975,3.043.988,145.045,x,x
2.154,525.212,3.045.704,145.207,x,x
2.257,540.791,3.049.052,130.900,x,x
2.360,558.080,3.050.484,129.678,x,x
2.464,574.825,3.051.380,125.206,x,x
2.568,592.691,3.053.116,115.775,x,x
2.670,610.352,3.053.732,116.356,x,x
2.773,634.236,3.054.772,117.042,x,x
2.875,655.705,3.057.140,112.041,x,x
2.977,675.105,3.057.336,107.896,x,x
3.079,696.791,3.059.024,110.876,x,x
3.183,717.678,3.060.112,111.695,x,x
3.286,736.488,3.061.688,112.326,x,x
3.390,755.482,3.062.512,112.699,x,x
3.493,774.441,3.064.348,115.074,x,x
3.596,793.924,3.065.880,116.131,x,x
3.699,813.518,3.067.276,116.949,x,x
3.803,831.924,3.068.288,117.608,x,x
3.906,849.818,3.069.428,117.820,x,x
4.008,867.207,3.070.184,118.129,x,x
4.112,884.887,3.072.244,120.749,x,x
4.215,903.058,3.074.012,121.722,x,x
4.318,921.332,3.075.136,122.249,x,x
4.420,939.302,3.076.108,122.515,x,x
4.522,958.447,3.077.936,124.957,x,x
