elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.675.704,177.310,x,x
102,1.251,2.693.076,177.370,x,x
205,2.374,2.703.768,177.700,x,x
308,3.766,2.712.068,173.731,x,x
411,5.124,2.719.328,173.805,x,x
515,6.599,2.726.224,173.870,x,x
619,8.057,2.730.800,173.938,x,x
722,9.365,2.735.448,174.009,x,x
826,10.492,2.738.244,174.082,x,x
929,11.903,2.741.836,174.148,x,x
1.033,13.249,2.744.824,174.220,x,x
1.137,14.730,2.747.604,174.289,x,x
1.240,16.223,2.749.776,174.346,x,x
1.344,17.473,2.751.988,170.638,x,x
1.448,18.920,2.754.252,170.712,x,x
1.551,19.943,2.755.936,170.780,x,x
1.655,21.310,2.757.816,170.851,x,x
1.758,22.469,2.759.592,171.775,x,x
1.862,23.072,2.760.316,172.791,x,x
1.966,24.438,2.760.196,171.016,x,x
2.069,25.539,2.762.268,167.303,x,x
2.173,26.846,2.764.148,163.594,x,x
2.277,28.041,2.765.500,163.923,x,x
2.380,29.225,2.767.304,159.952,x,x
2.484,30.315,2.768.544,160.015,x,x
2.588,31.688,2.770.192,160.082,x,x
2.691,33.046,2.772.124,156.375,x,x
2.795,34.369,2.773.588,156.442,x,x
2.898,35.667,2.775.180,156.773,x,x
3.002,36.635,2.776.264,152.789,x,x
3.106,37.839,2.777.572,153.829,x,x
3.209,38.299,2.778.528,154.472,x,x
3.313,39.594,2.778.452,152.950,x,x
3.417,40.818,2.780.068,153.018,x,x
3.521,41.627,2.781.192,153.058,x,x
3.624,41.797,2.781.328,153.066,x,x
3.728,42.039,2.781.636,153.080,x,x
3.831,42.266,2.781.944,153.092,x,x
3.935,42.496,2.782.156,153.101,x,x
4.038,42.646,2.782.440,154.457,x,x
4.142,42.671,2.782.456,154.961,x,x
4.246,42.671,2.782.456,154.961,x,x
4.349,42.671,2.782.456,154.961,x,x
4.453,42.671,2.782.456,154.961,x,x
4.556,42.671,2.782.456,154.961,x,x
4.660,42.671,2.782.456,154.961,x,x
4.763,42.671,2.782.456,154.961,x,x
4.867,42.671,2.782.456,154.961,x,x
4.970,42.671,2.782.456,154.961,x,x
5.074,42.763,2.780.900,153.119,x,x
5.177,42.871,2.781.012,153.132,x,x
5.281,43.119,2.781.656,153.143,x,x
5.384,43.261,2.781.792,153.155,x,x
5.488,43.475,2.782.024,153.165,x,x
5.591,43.555,2.782.088,153.176,x,x
5.695,43.818,2.782.348,153.188,x,x
5.798,44.052,2.782.628,153.208,x,x
5.902,44.272,2.782.876,153.217,x,x
6.005,44.639,2.783.216,153.225,x,x
6.109,44.960,2.783.652,153.240,x,x
6.212,45.196,2.783.972,153.251,x,x
6.316,45.315,2.784.100,153.255,x,x
6.419,45.429,2.784.268,153.271,x,x
6.523,45.758,2.784.612,153.281,x,x
6.626,45.914,2.784.724,153.290,x,x
6.730,45.984,2.784.792,153.301,x,x
6.833,46.125,2.785.004,153.312,x,x
6.937,46.318,2.785.252,153.324,x,x
7.040,46.489,2.785.504,153.333,x,x
7.144,46.762,2.785.956,153.351,x,x
7.247,47.062,2.786.372,153.582,x,x
7.351,47.374,2.787.016,155.212,x,x
7.454,47.374,2.787.016,155.212,x,x
7.558,47.374,2.787.016,155.212,x,x
7.661,47.374,2.787.016,155.212,x,x
7.765,47.374,2.787.016,155.212,x,x
7.868,47.374,2.787.016,155.212,x,x
7.972,47.374,2.787.016,155.212,x,x
8.075,47.374,2.787.016,155.212,x,x
8.179,47.374,2.787.016,155.212,x,x
8.282,47.374,2.787.016,155.212,x,x
8.386,47.374,2.787.016,155.212,x,x
8.489,47.465,2.787.348,155.220,x,x
8.593,47.563,2.785.736,153.383,x,x
8.696,47.727,2.785.864,153.392,x,x
8.800,47.906,2.786.152,153.404,x,x
8.903,48.007,2.786.228,153.414,x,x
9.007,48.305,2.786.768,153.429,o,x
9.110,48.684,2.787.884,153.436,x,o
9.214,48.831,2.788.076,153.447,x,o
9.317,49.006,2.788.284,153.460,x,o
9.421,49.214,2.788.492,153.470,x,o
9.524,49.351,2.788.820,153.738,x,o
9.628,49.351,2.788.820,153.738,x,o
9.731,49.431,2.788.944,149.708,x,o
9.835,49.527,2.789.144,149.713,x,o
9.938,49.714,2.789.388,149.724,x,o
10.042,49.829,2.789.544,149.734,x,o
10.145,50.123,2.790.068,149.746,x,o
10.249,50.200,2.790.160,149.757,x,o
10.352,50.449,2.790.504,149.767,x,o
10.455,50.669,2.790.836,149.776,x,o
10.559,50.941,2.791.324,149.787,x,o
10.662,51.113,2.791.440,149.796,x,o
10.766,51.288,2.791.592,150.068,x,o
10.869,51.288,2.791.592,150.068,x,o
10.973,51.422,2.791.944,146.037,x,o
11.076,51.735,2.792.344,146.047,x,o
11.180,51.851,2.792.544,146.059,x,o
11.283,51.965,2.792.684,146.070,x,o
11.387,52.109,2.792.964,147.924,x,o
11.490,52.109,2.792.964,147.924,x,o
11.594,52.109,2.792.964,147.924,x,o
11.697,52.109,2.792.964,147.924,x,o
11.801,52.109,2.792.964,147.924,x,o
11.904,52.109,2.792.964,147.924,x,o
12.008,52.109,2.792.964,147.924,x,o
12.111,52.109,2.792.964,147.924,x,o
12.215,52.109,2.792.964,147.924,x,o
12.318,52.145,2.792.988,147.928,x,o
12.422,52.226,2.793.264,147.931,x,o
12.525,52.458,2.791.800,147.938,x,o
12.629,52.458,2.791.800,147.938,x,o
12.732,52.458,2.791.800,147.938,x,o
12.835,52.458,2.791.800,147.938,x,o
12.939,52.458,2.791.800,147.938,x,o
13.042,52.458,2.791.800,147.938,x,o
13.146,52.458,2.791.800,147.938,x,o
13.249,52.458,2.791.800,147.938,x,o
13.353,52.458,2.791.800,147.938,x,o
13.456,52.491,2.791.904,147.938,x,o
13.559,52.568,2.790.496,146.105,x,o
13.663,52.688,2.790.668,146.111,x,o
13.766,53.002,2.791.360,146.121,x,o
13.870,53.125,2.791.608,146.126,x,o
13.973,53.213,2.791.700,146.140,x,o
14.077,53.454,2.791.972,146.156,x,o
14.180,53.733,2.792.596,146.167,x,o
14.284,53.968,2.793.108,146.178,x,o
14.387,54.097,2.793.376,146.188,x,o
14.491,54.255,2.793.492,146.199,x,o
14.594,54.398,2.793.636,146.206,x,o
14.698,54.570,2.794.032,146.212,x,o
14.801,54.775,2.794.400,146.222,x,o
14.904,54.949,2.794.616,146.229,x,o
15.008,55.021,2.794.688,146.239,x,o
15.111,55.223,2.795.128,146.259,x,o
15.215,55.409,2.795.388,146.263,x,o
15.318,55.581,2.795.676,146.277,x,o
15.422,55.800,2.796.000,146.288,x,o
15.525,56.032,2.796.464,146.294,x,o
15.629,56.232,2.796.668,146.307,x,o
15.732,56.560,2.797.192,146.317,x,o
15.836,56.737,2.797.416,146.331,x,o
15.939,56.982,2.797.820,146.341,x,o
16.043,57.254,2.798.108,146.350,x,o
16.146,57.372,2.798.288,146.363,x,o
16.249,57.641,2.798.632,146.376,x,o
16.353,57.892,2.799.032,146.382,x,o
16.456,57.959,2.799.168,146.394,x,o
16.560,58.076,2.799.356,146.401,x,o
16.663,58.196,2.799.444,146.416,x,o
16.767,58.394,2.799.720,146.425,x,o
16.870,58.507,2.799.828,146.433,x,o
16.974,58.706,2.800.016,146.448,x,o
17.077,58.872,2.800.400,146.451,x,o
17.180,59.182,2.800.768,146.463,x,o
17.284,59.333,2.801.060,147.472,x,o
17.387,59.423,2.801.268,148.326,x,o
17.491,59.423,2.801.268,148.326,x,o
17.594,59.423,2.801.268,148.326,x,o
17.698,59.423,2.801.268,148.326,x,o
17.801,59.423,2.801.268,148.326,x,o
17.904,59.423,2.801.268,148.326,x,o
18.008,59.423,2.801.268,148.326,x,o
18.111,59.423,2.801.268,148.326,x,o
18.215,59.423,2.801.268,148.326,x,o
18.318,59.524,2.801.688,148.329,x,o
18.422,59.590,2.799.964,146.486,x,o
18.525,59.737,2.800.172,146.495,x,o
18.629,59.954,2.800.596,146.511,x,o
18.732,60.017,2.800.736,146.511,x,o
18.835,60.139,2.800.924,146.523,x,o
18.939,60.400,2.801.392,146.794,x,o
19.042,60.401,2.801.392,146.794,x,o
19.145,60.469,2.801.596,146.798,x,o
19.249,60.538,2.801.900,142.768,x,o
19.352,60.661,2.802.016,142.774,x,o
19.456,60.833,2.802.416,142.789,x,o
19.559,61.051,2.802.636,142.796,x,o
19.662,61.187,2.802.776,142.814,x,o
19.766,61.363,2.803.000,142.820,x,o
19.869,61.533,2.803.256,142.833,x,o
19.973,61.679,2.803.564,142.845,x,o
20.076,61.840,2.803.748,142.852,x,o
