elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.498.864,1.983.036,x,x
101,385,4.499.092,1.983.052,x,x
202,613,4.499.116,1.983.088,x,x
303,778,4.499.148,1.983.116,x,x
405,1.016,4.499.180,1.983.152,x,x
506,1.244,4.499.208,1.983.168,x,x
608,1.587,4.499.228,1.983.192,x,x
709,1.729,4.499.232,1.983.208,x,x
811,1.878,4.499.272,1.983.260,x,x
912,2.130,4.499.304,1.983.288,x,x
1.014,2.354,4.499.328,1.983.316,x,x
1.115,2.623,4.499.384,1.983.360,x,x
1.217,2.932,4.499.408,1.983.388,x,x
1.318,3.033,4.499.436,1.983.396,x,x
1.420,3.235,4.499.456,1.983.420,x,x
1.521,3.484,4.499.476,1.983.444,x,x
1.623,3.690,4.499.500,1.983.464,x,x
1.724,3.856,4.499.528,1.983.484,x,x
1.826,4.162,4.499.556,1.983.504,x,x
1.927,4.340,4.499.564,1.983.524,x,x
2.028,4.718,4.499.592,1.983.552,x,x
2.130,5.052,4.499.616,1.983.576,x,x
2.231,5.280,4.499.620,1.983.592,x,x
2.333,5.564,4.499.660,1.983.624,x,x
2.434,5.811,4.499.676,1.983.652,x,x
2.536,6.023,4.499.708,1.983.668,x,x
2.637,6.290,4.499.736,1.983.684,x,x
2.738,6.678,4.499.768,1.983.728,x,x
2.840,6.890,4.499.784,1.983.748,x,x
2.941,7.184,4.499.804,1.983.768,x,x
3.043,7.427,4.499.824,1.983.792,x,x
3.144,7.666,4.499.856,1.983.816,x,x
3.246,7.823,4.499.868,1.983.840,x,x
3.347,8.129,4.499.900,1.983.852,x,x
3.449,8.229,4.499.920,1.983.884,x,x
3.550,8.533,4.499.936,1.983.900,x,x
3.652,8.782,4.499.956,1.983.924,x,x
3.753,8.956,4.499.976,1.983.944,x,x
3.855,9.201,4.500.008,1.983.960,x,x
3.956,9.360,4.500.024,1.983.988,x,x
4.058,9.551,4.500.036,1.984.012,x,x
4.159,9.628,4.500.064,1.984.028,x,x
4.260,9.890,4.500.076,1.984.048,x,x
4.362,10.179,4.500.116,1.984.072,x,x
4.463,10.445,4.500.132,1.984.096,x,x
4.565,10.771,4.500.148,1.984.112,x,x
4.666,10.977,4.500.168,1.984.140,x,x
4.768,11.202,4.500.184,1.984.156,x,x
