elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.730.444,167.508,x,x
103,22.291,2.795.440,164.918,x,x
205,42.142,2.814.644,166.135,x,x
308,59.852,2.830.260,159.486,x,x
412,76.233,2.845.288,148.889,x,x
516,92.588,2.859.888,145.955,x,x
620,109.845,2.874.876,148.565,x,x
723,126.998,2.888.936,149.449,x,x
827,143.648,2.901.512,150.292,x,x
931,160.147,2.914.100,149.299,x,x
1.035,176.355,2.928.192,139.034,x,x
1.139,193.322,2.942.536,141.542,x,x
1.242,210.459,2.956.728,142.428,x,x
1.346,228.282,2.970.376,143.304,x,x
1.450,245.955,2.983.376,143.559,x,x
1.553,266.922,2.996.692,144.280,x,x
1.656,285.318,3.006.368,144.662,x,x
1.760,302.598,3.017.204,134.698,x,x
1.863,320.252,3.024.644,135.116,x,x
1.967,336.510,3.034.272,120.766,x,x
2.071,353.117,3.043.036,119.541,x,x
2.175,370.398,3.050.416,119.838,x,x
2.278,387.065,3.055.916,119.943,x,x
2.382,404.533,3.061.916,122.077,x,x
2.485,420.746,3.066.240,109.987,x,x
2.589,436.725,3.071.100,95.594,x,x
2.693,452.501,3.074.884,94.307,x,x
2.795,469.343,3.076.720,94.542,x,x
2.898,486.297,3.078.500,94.781,x,x
3.001,503.456,3.078.564,95.154,x,x
3.105,520.505,3.081.664,94.000,x,x
3.208,537.223,3.082.528,94.206,x,x
3.312,554.596,3.083.408,94.679,x,x
3.415,571.426,3.084.432,95.104,x,x
3.518,588.972,3.086.868,97.590,x,x
3.621,606.346,3.090.052,100.313,x,x
3.725,623.558,3.091.128,96.569,x,x
3.828,640.669,3.091.464,97.004,x,x
3.931,657.221,3.093.664,99.242,x,x
4.034,674.371,3.094.940,100.147,x,x
4.137,690.889,3.096.212,101.030,x,x
4.240,708.090,3.097.284,101.921,x,x
4.343,725.035,3.098.212,102.262,x,x
4.446,742.346,3.098.692,102.768,x,x
4.549,759.806,3.099.996,103.141,x,x
4.652,776.216,3.102.140,105.476,x,x
4.755,794.728,3.103.356,106.367,x,x
4.857,816.036,3.104.972,107.786,x,x
4.960,833.045,3.105.692,108.487,x,x
5.062,850.690,3.106.888,108.314,x,x
5.165,868.351,3.108.540,110.510,x,x
5.268,886.074,3.109.756,111.475,x,x
5.371,903.595,3.110.532,112.166,x,x
5.474,921.163,3.111.052,111.887,x,x
5.576,938.302,3.111.632,112.295,x,x
5.679,955.881,3.114.120,115.073,x,x
5.782,973.134,3.115.224,115.911,x,x
5.885,990.338,3.115.972,115.832,x,x
5.988,1.007.970,3.115.948,115.974,x,x
6.090,1.025.851,3.118.616,118.688,x,x
6.193,1.042.569,3.119.788,119.536,x,x
6.296,1.060.348,3.120.416,119.944,x,x
6.399,1.078.056,3.121.212,119.840,x,x
6.501,1.095.773,3.123.344,122.341,x,x
6.604,1.113.032,3.124.236,123.224,x,x
6.707,1.130.414,3.125.068,123.903,x,x
6.809,1.148.227,3.126.024,124.168,x,x
6.912,1.166.049,3.126.500,124.193,x,x
7.015,1.183.246,3.128.924,126.910,x,x
7.117,1.200.942,3.128.216,125.993,x,x
7.220,1.218.902,3.129.120,126.595,x,x
7.323,1.236.866,3.130.048,126.417,x,x
7.425,1.254.189,3.131.896,128.827,x,x
7.528,1.271.278,3.133.028,129.686,x,x
7.630,1.287.714,3.133.564,129.609,x,x
7.733,1.304.843,3.134.004,129.596,x,x
7.836,1.322.008,3.136.236,132.335,x,x
7.938,1.339.204,3.136.996,133.229,x,x
8.041,1.361.323,3.138.476,134.120,x,x
8.144,1.379.740,3.139.304,133.976,x,x
8.246,1.397.379,3.140.976,136.272,x,x
8.349,1.414.913,3.142.208,137.212,x,x
8.451,1.432.139,3.143.192,137.700,x,x
8.554,1.449.426,3.143.912,137.364,x,x
8.657,1.466.699,3.145.492,139.867,x,x
8.759,1.483.301,3.146.612,138.567,x,x
