elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.450.028,1.935.856,x,x
101,384,4.450.316,1.935.880,x,x
202,603,4.450.336,1.935.916,x,x
304,817,4.450.376,1.935.948,x,x
405,1.001,4.450.408,1.935.980,x,x
506,1.277,4.450.432,1.935.996,x,x
607,1.558,4.450.448,1.936.028,x,x
709,1.799,4.450.492,1.936.080,x,x
810,2.073,4.450.524,1.936.116,x,x
911,2.309,4.450.544,1.936.148,x,x
1.013,2.555,4.450.576,1.936.164,x,x
1.114,2.800,4.450.620,1.936.204,x,x
1.215,3.001,4.450.652,1.936.220,x,x
1.317,3.246,4.450.684,1.936.260,x,x
1.418,3.571,4.450.716,1.936.288,x,x
1.519,3.829,4.450.744,1.936.308,x,x
1.621,4.154,4.450.772,1.936.336,x,x
1.722,4.378,4.450.792,1.936.360,x,x
1.823,4.839,4.450.820,1.936.372,x,x
1.925,5.226,4.450.832,1.936.420,x,x
2.026,5.535,4.450.868,1.936.432,x,x
2.128,5.758,4.450.888,1.936.468,x,x
2.229,6.077,4.450.924,1.936.484,x,x
2.330,6.325,4.450.960,1.936.512,x,x
2.432,6.602,4.450.972,1.936.536,x,x
2.533,6.961,4.450.996,1.936.560,x,x
2.634,7.346,4.451.020,1.936.596,x,x
2.736,7.790,4.451.064,1.936.636,x,x
2.837,8.136,4.451.092,1.936.660,x,x
2.939,8.387,4.451.120,1.936.692,x,x
3.040,8.798,4.451.152,1.936.716,x,x
3.141,9.135,4.451.180,1.936.752,x,x
3.243,9.383,4.451.216,1.936.788,x,x
3.344,9.556,4.451.232,1.936.812,x,x
3.445,9.905,4.451.268,1.936.844,x,x
3.547,10.310,4.451.296,1.936.864,x,x
3.648,10.564,4.451.324,1.936.884,x,x
3.750,10.760,4.451.340,1.936.912,x,x
3.851,11.000,4.451.356,1.936.936,x,x
3.952,11.342,4.451.380,1.936.964,x,x
4.054,11.703,4.451.420,1.936.984,x,x
4.155,11.976,4.451.460,1.937.008,x,x
4.256,12.199,4.451.484,1.937.028,x,x
4.358,12.483,4.451.508,1.937.052,x,x
4.459,12.766,4.451.524,1.937.096,x,x
4.560,13.127,4.451.556,1.937.128,x,x
4.662,13.396,4.451.572,1.937.156,x,x
4.763,13.633,4.451.596,1.937.164,x,x
4.864,13.943,4.451.608,1.937.188,x,x
4.966,14.291,4.451.656,1.937.220,x,x
5.067,14.559,4.451.676,1.937.256,x,x
5.168,14.865,4.451.696,1.937.288,x,x
5.270,15.199,4.451.732,1.937.304,x,x
5.371,15.499,4.451.752,1.937.328,x,x
5.472,15.995,4.451.776,1.937.348,x,x
5.574,16.173,4.451.800,1.937.376,x,x
5.675,16.413,4.451.836,1.937.400,x,x
5.777,16.659,4.451.852,1.937.428,x,x
5.878,16.941,4.451.888,1.937.460,x,x
5.979,17.227,4.451.920,1.937.480,x,x
6.081,17.397,4.451.936,1.937.512,x,x
6.182,17.658,4.451.972,1.937.532,x,x
6.283,17.974,4.452.000,1.937.556,x,x
6.384,18.232,4.452.020,1.937.600,x,x
6.485,18.568,4.452.060,1.937.624,x,x
6.587,18.884,4.452.088,1.937.656,x,x
6.688,19.171,4.452.112,1.937.676,x,x
6.789,19.414,4.452.140,1.937.704,x,x
6.891,19.885,4.452.164,1.937.744,x,x
6.992,20.216,4.452.188,1.937.768,x,x
7.093,20.454,4.452.220,1.937.800,x,x
7.195,20.746,4.452.256,1.937.816,x,x
7.296,20.930,4.452.268,1.937.832,x,x
7.397,21.227,4.452.284,1.937.864,x,x
7.499,21.444,4.452.304,1.937.876,x,x
7.600,21.641,4.452.328,1.937.908,x,x
7.701,21.876,4.452.360,1.937.928,x,x
7.803,22.302,4.452.388,1.937.972,x,x
7.904,22.487,4.452.408,1.937.992,x,x
8.006,22.755,4.452.452,1.938.024,x,x
8.107,23.007,4.452.468,1.938.052,x,x
8.208,23.256,4.452.500,1.938.076,x,x
8.310,23.584,4.452.540,1.938.104,x,x
8.411,23.810,4.452.568,1.938.132,x,x
8.512,23.990,4.452.592,1.938.156,x,x
8.614,24.262,4.452.620,1.938.180,x,x
8.715,24.465,4.452.644,1.938.212,x,x
8.817,24.756,4.452.684,1.938.240,x,x
8.918,24.971,4.452.708,1.938.268,x,x
9.019,25.287,4.452.728,1.938.280,x,x
9.121,25.568,4.452.756,1.938.312,x,x
9.222,26.014,4.452.776,1.938.352,x,x
9.323,26.189,4.452.796,1.938.364,x,x
9.425,26.750,4.452.828,1.938.396,x,x
9.526,27.045,4.452.852,1.938.416,x,x
9.627,27.249,4.452.872,1.938.436,x,x
9.729,27.585,4.452.892,1.938.468,x,x
9.830,27.908,4.452.912,1.938.492,x,x
9.931,28.316,4.452.948,1.938.516,x,x
10.033,28.600,4.452.964,1.938.552,x,x
10.134,28.820,4.452.988,1.938.580,x,x
10.236,29.103,4.453.024,1.938.620,x,x
10.337,29.423,4.453.052,1.938.648,x,x
10.438,29.842,4.453.096,1.938.676,x,x
10.540,30.157,4.453.144,1.938.712,x,x
10.641,30.465,4.453.180,1.938.748,x,x
10.742,30.751,4.453.208,1.938.764,x,x
10.844,31.048,4.453.228,1.938.804,x,x
10.945,31.317,4.453.256,1.938.824,x,x
11.046,31.491,4.453.284,1.938.864,x,x
11.148,31.951,4.453.324,1.938.888,x,x
11.249,32.257,4.453.356,1.938.920,x,x
11.350,32.544,4.453.380,1.938.940,x,x
11.452,32.772,4.453.412,1.938.976,x,x
11.553,33.004,4.453.432,1.938.996,x,x
11.654,33.202,4.453.460,1.939.016,x,x
11.756,33.358,4.453.484,1.939.036,x,x
11.857,33.570,4.453.500,1.939.072,x,x
11.959,33.802,4.453.520,1.939.104,x,x
12.060,34.019,4.453.560,1.939.124,x,x
12.161,34.311,4.453.580,1.939.140,x,x
12.263,34.717,4.453.608,1.939.164,x,x
12.364,34.957,4.453.628,1.939.196,x,x
12.465,35.150,4.453.652,1.939.220,x,x
12.567,35.489,4.453.680,1.939.240,x,x
12.668,35.706,4.453.712,1.939.264,x,x
12.769,35.947,4.453.732,1.939.284,x,x
12.871,36.192,4.453.760,1.939.304,x,x
12.972,36.473,4.453.776,1.939.352,x,x
13.073,36.693,4.453.800,1.939.368,x,x
13.175,37.060,4.453.832,1.939.392,x,x
13.276,37.369,4.453.860,1.939.428,x,x
13.377,37.499,4.453.884,1.939.452,x,x
13.479,37.748,4.453.916,1.939.484,x,x
13.580,38.090,4.453.940,1.939.520,x,x
13.682,38.464,4.453.992,1.939.552,x,x
13.783,38.887,4.454.016,1.939.592,x,x
13.884,39.392,4.454.080,1.939.648,x,x
13.986,40.222,4.454.184,1.939.752,x,x
14.087,41.172,4.454.276,1.939.840,x,x
14.188,42.102,4.454.360,1.939.948,x,x
14.290,42.994,4.454.460,1.940.040,x,x
14.391,43.888,4.454.564,1.940.120,x,x
14.492,44.774,4.454.632,1.940.208,x,x
14.594,45.653,4.454.724,1.940.300,x,x
14.695,46.379,4.454.824,1.940.392,x,x
14.797,47.389,4.454.920,1.940.476,x,x
14.898,48.200,4.454.992,1.940.568,x,x
14.999,49.171,4.455.088,1.940.660,x,x
15.101,49.935,4.455.172,1.940.748,x,x
15.202,50.770,4.455.260,1.940.844,x,x
15.303,51.590,4.455.360,1.940.924,x,x
15.405,52.697,4.455.436,1.941.004,x,x
15.506,53.553,4.455.512,1.941.092,x,x
15.607,54.601,4.455.612,1.941.176,x,x
15.709,55.541,4.455.696,1.941.252,x,x
15.810,56.330,4.455.776,1.941.348,x,x
15.912,57.302,4.455.884,1.941.448,x,x
16.013,58.241,4.455.980,1.941.544,x,x
16.114,59.245,4.456.052,1.941.652,x,x
16.215,60.350,4.456.160,1.941.728,x,x
16.317,61.171,4.456.256,1.941.816,x,x
16.418,62.156,4.456.340,1.941.908,x,x
16.519,63.157,4.456.432,1.942.004,x,x
16.621,64.138,4.456.520,1.942.092,x,x
16.722,65.068,4.456.616,1.942.180,x,x
16.823,66.021,4.456.712,1.942.280,x,x
16.925,66.727,4.456.800,1.942.376,x,x
17.026,67.613,4.456.876,1.942.456,x,x
17.128,68.531,4.456.968,1.942.544,x,x
17.229,69.535,4.457.060,1.942.640,x,x
17.330,70.508,4.457.144,1.942.716,x,x
17.431,71.402,4.457.220,1.942.820,x,x
17.533,72.323,4.457.336,1.942.900,x,x
17.634,73.308,4.457.432,1.942.996,x,x
17.736,74.073,4.457.520,1.943.092,x,x
17.837,74.943,4.457.620,1.943.180,x,x
17.939,75.877,4.457.716,1.943.268,x,x
18.040,76.904,4.457.812,1.943.368,x,x
18.142,77.854,4.457.900,1.943.480,x,x
18.243,78.777,4.457.988,1.943.568,x,x
18.344,79.638,4.458.084,1.943.652,x,x
18.446,80.351,4.458.184,1.943.752,x,x
18.547,81.391,4.458.276,1.943.836,x,x
18.649,82.497,4.458.360,1.943.928,x,x
18.750,83.420,4.458.456,1.944.032,x,x
18.852,84.248,4.458.552,1.944.108,x,x
18.953,85.119,4.458.600,1.944.188,x,x
19.055,86.202,4.458.696,1.944.268,x,x
19.156,87.158,4.458.788,1.944.376,x,x
19.257,88.136,4.458.884,1.944.448,x,x
19.359,88.930,4.458.976,1.944.528,x,x
19.461,89.696,4.459.056,1.944.624,x,x
19.562,90.650,4.459.148,1.944.712,x,x
19.664,91.399,4.459.240,1.944.816,x,x
19.765,92.424,4.459.340,1.944.912,x,x
19.866,93.274,4.459.436,1.945.000,x,x
19.968,94.224,4.459.520,1.945.088,x,x
20.069,95.004,4.459.616,1.945.180,x,x
20.171,96.112,4.459.696,1.945.260,x,x
20.272,96.969,4.459.784,1.945.368,x,x
20.374,98.034,4.459.876,1.945.444,x,x
20.475,98.793,4.459.964,1.945.524,x,x
20.577,99.743,4.460.052,1.945.620,x,x
20.678,100.658,4.460.136,1.945.704,x,x
20.780,101.505,4.460.216,1.945.808,x,x
