elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.449.844,1.935.864,x,x
101,21.416,4.452.228,1.937.996,x,x
203,38.668,4.453.896,1.939.668,x,x
304,55.744,4.455.628,1.941.420,x,x
406,73.057,4.457.284,1.943.048,x,x
507,90.444,4.458.968,1.944.760,x,x
609,107.791,4.460.668,1.946.436,x,x
711,125.052,4.462.260,1.948.044,x,x
812,142.205,4.463.900,1.949.684,x,x
914,162.424,4.465.956,1.951.744,x,x
1.015,179.775,4.467.680,1.953.468,x,x
1.117,196.950,4.469.304,1.955.060,x,x
1.219,214.241,4.471.008,1.956.780,x,x
1.320,231.421,4.472.728,1.958.484,x,x
1.422,248.588,4.474.264,1.960.044,x,x
1.523,265.910,4.476.024,1.961.812,x,x
1.625,282.936,4.477.728,1.963.496,x,x
1.727,300.092,4.479.464,1.965.248,x,x
1.828,317.476,4.481.272,1.967.052,x,x
1.930,334.765,4.482.992,1.968.772,x,x
2.031,352.087,4.484.524,1.970.296,x,x
2.133,369.398,4.486.252,1.972.016,x,x
2.234,386.731,4.487.940,1.973.704,x,x
2.336,404.135,4.489.616,1.975.388,x,x
2.438,421.274,4.491.304,1.977.076,x,x
2.539,438.593,4.492.984,1.978.760,x,x
2.641,455.916,4.494.756,1.980.520,x,x
2.742,472.960,4.496.404,1.982.164,x,x
2.844,490.297,4.498.068,1.983.840,x,x
2.945,507.493,4.499.740,1.985.516,x,x
3.047,524.855,4.501.520,1.987.292,x,x
3.149,541.914,4.503.168,1.988.952,x,x
3.250,559.273,4.504.868,1.990.640,x,x
3.352,576.498,4.506.532,1.992.304,x,x
3.453,593.677,4.508.128,1.993.892,x,x
3.555,611.128,4.509.880,1.995.668,x,x
3.656,628.402,4.511.604,1.997.384,x,x
3.758,645.630,4.513.328,1.999.104,x,x
3.860,663.037,4.514.960,2.000.716,x,x
3.961,680.097,4.516.516,2.002.292,x,x
4.063,697.452,4.518.124,2.003.896,x,x
4.164,718.340,4.520.084,2.005.844,x,x
4.266,736.055,4.521.792,2.007.588,x,x
4.368,753.195,4.523.364,2.009.128,x,x
4.469,770.302,4.525.104,2.010.884,x,x
4.571,787.669,4.526.716,2.012.496,x,x
4.672,804.709,4.528.316,2.014.080,x,x
4.774,821.822,4.530.024,2.015.788,x,x
4.876,839.062,4.531.584,2.017.364,x,x
4.977,856.352,4.533.284,2.019.076,x,x
5.079,873.585,4.534.960,2.020.752,x,x
5.180,890.963,4.536.680,2.022.440,x,x
5.282,908.088,4.538.304,2.024.108,x,x
5.383,925.241,4.539.980,2.025.748,x,x
5.485,942.404,4.541.676,2.027.452,x,x
5.587,959.483,4.543.300,2.029.092,x,x
5.688,976.845,4.544.908,2.030.684,x,x
5.790,993.795,4.546.500,2.032.268,x,x
5.891,1.011.038,4.548.096,2.033.844,x,x
5.993,1.028.224,4.549.680,2.035.448,x,x
6.094,1.045.286,4.551.256,2.037.020,x,x
6.196,1.062.797,4.552.968,2.038.776,x,x
6.298,1.079.923,4.554.644,2.040.404,x,x
6.399,1.097.057,4.556.264,2.042.048,x,x
6.501,1.114.198,4.557.952,2.043.724,x,x
6.602,1.131.516,4.559.652,2.045.432,x,x
6.704,1.148.680,4.561.272,2.047.044,x,x
6.805,1.165.839,4.562.900,2.048.668,x,x
6.907,1.182.977,4.564.532,2.050.292,x,x
7.009,1.200.416,4.566.152,2.051.920,x,x
7.110,1.217.597,4.567.792,2.053.548,x,x
7.212,1.234.752,4.569.456,2.055.220,x,x
7.313,1.251.925,4.571.076,2.056.820,x,x
7.415,1.272.589,4.573.008,2.058.780,x,x
7.516,1.290.383,4.574.812,2.060.600,x,x
7.618,1.307.456,4.576.480,2.062.244,x,x
7.719,1.324.684,4.578.004,2.063.768,x,x
7.821,1.341.769,4.579.612,2.065.404,x,x
7.923,1.359.133,4.581.316,2.067.084,x,x
8.024,1.376.403,4.582.916,2.068.700,x,x
8.126,1.394.059,4.584.736,2.070.516,x,x
8.227,1.411.224,4.586.412,2.072.184,x,x
8.329,1.428.500,4.588.060,2.073.820,x,x
8.430,1.445.836,4.589.644,2.075.420,x,x
8.532,1.462.848,4.591.240,2.077.020,x,x
8.634,1.480.195,4.592.948,2.078.736,x,x
8.735,1.497.206,4.594.536,2.080.296,x,x
8.837,1.514.356,4.596.088,2.081.868,x,x
8.938,1.531.576,4.597.816,2.083.576,x,x
9.040,1.548.860,4.599.512,2.085.284,x,x
9.141,1.566.069,4.601.312,2.087.092,x,x
9.243,1.583.480,4.602.960,2.088.708,x,x
9.344,1.600.584,4.604.720,2.090.500,x,x
9.446,1.617.491,4.606.296,2.092.080,x,x
9.548,1.635.102,4.608.056,2.093.824,x,x
9.649,1.652.466,4.609.748,2.095.508,x,x
9.751,1.669.905,4.611.404,2.097.192,x,x
9.852,1.687.190,4.613.064,2.098.836,x,x
9.954,1.704.173,4.614.692,2.100.464,x,x
10.055,1.721.229,4.616.364,2.102.140,x,x
10.157,1.738.571,4.618.040,2.103.812,x,x
10.259,1.755.493,4.619.500,2.105.276,x,x
10.360,1.772.846,4.621.212,2.106.996,x,x
10.462,1.790.076,4.622.772,2.108.532,x,x
10.563,1.807.347,4.624.428,2.110.200,x,x
10.665,1.828.074,4.626.388,2.112.160,x,x
10.766,1.846.026,4.628.136,2.113.892,x,x
10.868,1.863.357,4.629.752,2.115.500,x,x
10.969,1.880.700,4.631.488,2.117.252,x,x
11.071,1.897.817,4.633.088,2.118.864,x,x
11.173,1.914.980,4.634.780,2.120.544,x,x
11.274,1.932.383,4.636.456,2.122.220,x,x
