elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.071.320,183.884,x,x
1.032,69.181,1.104.604,183.884,x,x
2.065,151.720,1.108.332,183.884,x,x
3.100,234.524,1.110.156,183.885,x,x
4.137,318.811,1.111.560,183.885,x,x
5.174,402.395,1.113.040,183.885,x,x
6.213,486.940,1.114.312,183.885,x,x
7.252,572.037,1.115.532,183.885,x,x
8.291,655.640,1.116.692,183.885,x,x
9.333,740.552,1.117.932,183.885,x,x
10.375,825.200,1.119.104,183.885,x,x
11.417,908.123,1.120.208,183.885,x,x
12.458,992.069,1.121.336,183.885,x,x
13.502,1.075.621,1.122.472,183.885,x,x
14.544,1.158.114,1.123.664,183.885,x,x
15.586,1.228.543,1.124.608,183.885,x,x
16.628,1.311.699,1.125.736,183.885,x,x
17.669,1.393.661,1.126.840,183.885,x,x
18.711,1.477.790,1.128.000,183.885,x,x
19.753,1.562.353,1.129.040,183.885,x,x
20.795,1.646.551,1.130.116,183.885,x,x
21.836,1.731.314,1.131.180,183.885,x,x
22.878,1.816.135,1.132.332,183.885,x,x
23.920,1.899.830,1.133.404,183.885,x,x
24.962,1.984.479,1.134.512,183.885,x,x
26.003,2.069.561,1.135.696,183.885,x,x
27.045,2.153.976,1.136.872,183.885,x,x
28.087,2.238.309,1.137.936,183.885,x,x
29.129,2.322.934,1.138.996,183.885,x,x
30.170,2.407.516,1.140.116,183.885,x,x
31.213,2.491.495,1.141.164,183.886,x,x
32.255,2.576.176,1.142.292,183.886,x,x
33.296,2.660.641,1.143.328,183.886,x,x
34.338,2.744.438,1.144.428,183.886,x,x
35.380,2.829.050,1.145.476,183.886,x,x
36.422,2.913.999,1.146.580,183.886,x,x
37.463,2.997.877,1.147.676,183.886,x,x
38.505,3.083.336,1.148.800,183.886,x,x
39.547,3.167.711,1.149.936,183.886,x,x
40.588,3.251.424,1.151.092,183.886,x,x
41.630,3.336.019,1.152.144,183.886,x,x
42.672,3.420.460,1.153.264,183.886,x,x
43.714,3.504.275,1.154.308,183.886,x,x
44.755,3.588.928,1.155.352,183.886,x,x
45.797,3.673.478,1.156.468,183.886,x,x
46.839,3.757.601,1.157.616,183.886,x,x
47.880,3.841.877,1.158.636,183.886,x,x
48.922,3.926.215,1.159.700,183.886,x,x
49.964,4.009.034,1.160.760,183.886,x,x
51.006,4.093.892,1.161.828,183.886,x,x
52.048,4.178.436,1.162.956,183.886,x,x
53.089,4.261.805,1.164.044,183.886,x,x
54.131,4.346.554,1.165.224,183.886,x,x
55.173,4.430.926,1.166.320,183.886,x,x
56.215,4.515.526,1.167.408,183.886,x,x
57.247,4.598.662,1.168.464,183.886,x,x
58.289,4.683.498,1.169.568,183.886,x,x
59.331,4.768.159,1.170.688,183.887,x,x
60.372,4.851.608,1.171.692,183.887,x,x
61.414,4.936.315,1.172.884,183.887,x,x
62.456,5.021.919,1.173.908,183.887,x,x
63.498,5.106.583,1.174.980,183.887,x,x
64.540,5.191.154,1.176.056,183.887,x,x
65.582,5.274.849,1.177.136,183.887,x,x
66.623,5.358.066,1.178.184,183.887,x,x
67.665,5.442.569,1.179.236,183.887,x,x
68.707,5.527.667,1.180.372,183.887,x,x
