elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,13,2.823.688,183.867,x,x
1.032,577.825,2.851.160,183.867,x,x
2.065,1.160.730,2.878.392,183.867,x,x
3.100,1.734.830,2.905.372,183.867,x,x
4.137,2.290.428,2.932.008,183.867,x,x
5.174,2.869.016,2.959.656,183.867,x,x
6.214,3.450.339,2.986.800,183.867,x,x
7.253,4.026.423,3.014.076,183.867,x,x
8.295,4.606.948,3.041.580,183.867,x,x
9.337,5.191.440,3.069.152,183.867,x,x
10.380,5.777.395,3.096.592,183.867,x,x
11.422,6.357.946,3.124.456,183.867,x,x
12.464,6.938.575,3.151.536,183.867,x,x
13.506,7.504.470,3.178.644,183.867,x,x
14.548,8.081.796,3.206.020,183.867,x,x
15.590,8.658.035,3.233.644,183.867,x,x
16.631,9.224.739,3.260.928,183.867,x,x
17.673,9.804.135,3.288.404,183.867,x,x
