elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,85,2.638.824,183.874,x,x
1.042,526.605,2.651.444,183.874,x,x
2.068,1.009.988,2.662.544,183.874,x,x
3.109,1.493.958,2.673.728,183.874,x,x
4.150,1.979.114,2.684.916,183.874,x,x
5.191,2.457.887,2.696.056,183.874,x,x
6.232,2.941.798,2.707.252,183.874,x,x
7.273,3.424.537,2.718.452,183.874,x,x
8.316,3.914.554,2.729.648,183.874,x,x
9.360,4.394.871,2.740.716,183.874,x,x
10.403,4.874.946,2.751.888,183.874,x,x
11.447,5.361.554,2.763.168,183.874,x,x
12.490,5.850.667,2.774.432,183.874,x,x
13.534,6.340.207,2.785.680,183.874,x,x
14.578,6.826.464,2.796.928,183.874,x,x
15.619,7.226.973,2.806.204,183.874,x,x
16.663,7.705.367,2.817.296,183.874,x,x
17.707,8.183.234,2.828.504,183.874,x,x
18.750,8.660.070,2.839.676,183.874,x,x
19.791,9.146.484,2.850.768,183.875,x,x
20.835,9.636.556,2.861.984,183.875,x,x
