elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.621.868,1.982.328,x,x
101,15.423,2.623.520,1.983.940,x,x
202,31.667,2.625.132,1.985.536,x,x
303,48.034,2.626.772,1.987.196,x,x
404,64.587,2.628.436,1.988.832,x,x
506,81.299,2.629.976,1.990.384,x,x
607,97.891,2.631.644,1.992.060,x,x
708,114.329,2.633.264,1.993.664,x,x
810,130.985,2.634.872,1.995.288,x,x
911,147.581,2.636.600,1.997.008,x,x
1.012,164.018,2.638.216,1.998.632,x,x
1.114,180.768,2.639.884,2.000.276,x,x
1.215,197.348,2.641.556,2.001.944,x,x
1.316,213.703,2.643.216,2.003.608,x,x
1.418,230.306,2.644.796,2.005.212,x,x
1.519,247.090,2.646.424,2.006.840,x,x
1.620,263.705,2.648.140,2.008.540,x,x
1.722,280.366,2.649.696,2.010.104,x,x
1.823,296.688,2.651.332,2.011.728,x,x
1.924,313.202,2.653.004,2.013.396,x,x
2.026,329.762,2.654.712,2.015.108,x,x
2.127,346.140,2.656.436,2.016.820,x,x
2.229,362.677,2.658.040,2.018.432,x,x
2.330,378.945,2.659.716,2.020.116,x,x
2.431,395.434,2.661.304,2.021.716,x,x
2.533,412.111,2.663.008,2.023.404,x,x
2.634,428.813,2.664.636,2.025.036,x,x
2.736,445.720,2.666.216,2.026.624,x,x
2.837,461.967,2.667.928,2.028.336,x,x
2.938,478.601,2.669.600,2.030.012,x,x
3.040,495.150,2.671.392,2.031.784,x,x
3.141,511.757,2.673.044,2.033.440,x,x
3.242,528.116,2.674.708,2.035.112,x,x
3.344,544.714,2.676.252,2.036.648,x,x
3.445,561.153,2.677.944,2.038.332,x,x
3.546,577.796,2.679.600,2.040.012,x,x
3.648,594.375,2.681.272,2.041.668,x,x
3.749,610.858,2.682.940,2.043.348,x,x
3.850,627.505,2.684.664,2.045.068,x,x
3.952,644.118,2.686.352,2.046.752,x,x
4.053,660.457,2.688.020,2.048.448,x,x
4.154,676.872,2.689.708,2.050.084,x,x
4.256,693.555,2.691.292,2.051.680,x,x
4.357,710.081,2.692.952,2.053.352,x,x
4.458,726.638,2.694.596,2.055.004,x,x
4.560,743.330,2.696.184,2.056.572,x,x
4.661,759.770,2.697.816,2.058.216,x,x
4.762,776.287,2.699.356,2.059.756,x,x
4.864,792.979,2.701.004,2.061.416,x,x
4.965,809.550,2.702.576,2.062.980,x,x
5.067,825.841,2.704.160,2.064.556,x,x
5.168,842.542,2.705.736,2.066.140,x,x
5.269,859.127,2.707.352,2.067.752,x,x
5.371,875.721,2.709.056,2.069.452,x,x
5.472,892.050,2.710.720,2.071.112,x,x
5.573,908.200,2.712.296,2.072.700,x,x
5.675,924.862,2.713.932,2.074.348,x,x
5.776,941.262,2.715.636,2.076.028,x,x
5.877,957.802,2.717.224,2.077.648,x,x
5.979,974.104,2.718.952,2.079.344,x,x
6.080,990.885,2.720.568,2.080.980,x,x
6.181,1.007.433,2.722.244,2.082.652,x,x
6.283,1.023.950,2.723.900,2.084.304,x,x
6.384,1.040.464,2.725.548,2.085.964,x,x
6.486,1.057.110,2.727.152,2.087.556,x,x
6.587,1.073.757,2.728.740,2.089.152,x,x
6.688,1.090.457,2.730.384,2.090.784,x,x
6.790,1.107.226,2.732.036,2.092.416,x,x
6.891,1.122.718,2.734.400,2.094.200,x,o
6.992,1.134.930,2.736.596,2.096.352,x,o
7.094,1.150.540,2.738.284,2.098.108,x,x
7.195,1.167.132,2.739.936,2.099.768,x,x
7.296,1.183.533,2.741.676,2.101.476,x,x
7.398,1.199.860,2.743.240,2.103.064,x,x
7.499,1.216.340,2.744.912,2.104.732,x,x
7.601,1.232.742,2.746.660,2.106.468,x,x
7.702,1.249.137,2.748.288,2.108.144,x,x
7.803,1.265.830,2.749.900,2.109.728,x,x
7.905,1.282.404,2.751.512,2.111.320,x,x
8.006,1.299.103,2.753.164,2.113.000,x,x
8.107,1.315.590,2.754.820,2.114.652,x,x
8.209,1.331.994,2.756.392,2.116.232,x,x
8.310,1.348.558,2.758.040,2.117.852,x,x
8.411,1.364.923,2.759.692,2.119.500,x,x
8.513,1.381.513,2.761.280,2.121.108,x,x
8.614,1.398.238,2.762.912,2.122.736,x,x
8.715,1.414.771,2.764.532,2.124.352,x,x
8.817,1.431.174,2.766.096,2.125.936,x,x
8.918,1.447.440,2.767.728,2.127.564,x,x
9.019,1.463.775,2.769.376,2.129.208,x,x
9.121,1.480.288,2.770.960,2.130.792,x,x
9.222,1.496.801,2.772.588,2.132.416,x,x
9.323,1.513.333,2.774.224,2.134.060,x,x
9.425,1.529.910,2.775.788,2.135.608,x,x
9.526,1.546.449,2.777.408,2.137.216,x,x
9.627,1.562.915,2.778.976,2.138.808,x,x
9.729,1.579.215,2.780.628,2.140.464,x,x
9.830,1.595.774,2.782.204,2.142.016,x,x
9.931,1.612.228,2.783.784,2.143.620,x,x
10.033,1.628.904,2.785.364,2.145.180,x,x
10.134,1.645.604,2.787.080,2.146.904,x,x
10.235,1.662.210,2.788.688,2.148.516,x,x
10.337,1.678.670,2.790.304,2.150.116,x,x
10.438,1.695.115,2.791.940,2.151.776,x,x
10.540,1.711.783,2.793.532,2.153.348,x,x
10.641,1.728.220,2.795.196,2.155.028,x,x
10.742,1.744.763,2.796.908,2.156.716,x,x
10.844,1.761.401,2.798.492,2.158.300,x,x
10.945,1.777.834,2.800.096,2.159.932,x,x
11.046,1.794.393,2.801.736,2.161.552,x,x
11.148,1.810.819,2.803.392,2.163.212,x,x
11.249,1.827.441,2.805.064,2.164.892,x,x
11.350,1.843.980,2.806.784,2.166.632,x,x
11.452,1.860.412,2.808.428,2.168.272,x,x
11.553,1.876.850,2.810.148,2.169.976,x,x
11.654,1.893.563,2.811.788,2.171.592,x,x
11.756,1.910.024,2.813.444,2.173.240,x,x
11.857,1.926.486,2.815.060,2.174.868,x,x
11.958,1.943.136,2.816.588,2.176.420,x,x
12.060,1.959.543,2.818.244,2.178.064,x,x
12.161,1.975.795,2.819.884,2.179.720,x,x
12.263,1.992.234,2.821.496,2.181.320,x,x
12.364,2.008.691,2.823.020,2.182.840,x,x
12.465,2.025.167,2.824.652,2.184.472,x,x
12.567,2.041.690,2.826.288,2.186.124,x,x
12.668,2.058.290,2.827.920,2.187.748,x,x
12.769,2.074.753,2.829.584,2.189.388,x,x
12.871,2.091.244,2.831.200,2.191.028,x,x
12.972,2.107.723,2.832.924,2.192.752,x,x
13.073,2.124.282,2.834.488,2.194.336,x,x
13.175,2.140.889,2.836.216,2.196.020,x,x
13.276,2.157.239,2.837.800,2.197.616,x,x
13.378,2.173.956,2.839.456,2.199.264,x,x
13.479,2.190.487,2.841.140,2.200.956,x,x
13.580,2.207.038,2.842.720,2.202.536,x,x
13.682,2.223.434,2.844.328,2.204.156,x,x
13.783,2.240.062,2.845.816,2.205.640,x,x
13.884,2.256.612,2.847.412,2.207.252,x,x
13.986,2.273.129,2.849.052,2.208.896,x,x
14.087,2.289.451,2.850.724,2.210.544,x,x
14.188,2.305.960,2.852.312,2.212.152,x,x
14.290,2.322.370,2.853.972,2.213.788,x,x
14.391,2.338.775,2.855.672,2.215.496,x,x
14.492,2.355.310,2.857.304,2.217.136,x,x
14.594,2.371.783,2.858.960,2.218.800,x,x
14.695,2.388.495,2.860.452,2.220.276,x,x
14.796,2.405.129,2.862.088,2.221.904,x,x
14.898,2.421.577,2.863.808,2.223.624,x,x
14.999,2.438.129,2.865.340,2.225.160,x,x
15.100,2.454.698,2.866.932,2.226.772,x,x
15.202,2.471.193,2.868.564,2.228.388,x,x
15.303,2.487.787,2.870.164,2.230.012,x,x
15.404,2.504.273,2.871.728,2.231.556,x,x
15.506,2.520.747,2.873.312,2.233.128,x,x
15.607,2.537.407,2.874.944,2.234.780,x,x
15.708,2.553.934,2.876.624,2.236.436,x,x
