elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,16,1.755.984,183.941,x,x
1.032,417.875,1.781.332,183.941,x,x
2.065,874.379,1.857.040,183.941,x,x
3.100,1.275.558,1.921.736,183.941,x,x
4.139,1.633.588,1.973.100,183.941,o,x
5.177,2.009.249,2.021.572,183.941,x,o
6.218,2.419.871,2.055.092,183.941,x,x
7.258,2.845.680,2.079.856,183.941,x,x
8.299,3.284.362,2.100.552,183.941,x,x
9.339,3.700.260,2.121.564,183.941,x,x
10.383,4.138.528,2.145.880,183.941,o,x
11.426,4.594.845,2.184.380,183.941,x,o
12.470,5.028.390,2.206.220,183.941,x,x
13.518,5.435.398,2.227.252,183.941,x,x
14.563,5.824.575,2.238.184,183.941,x,x
15.611,6.129.897,2.240.612,183.941,x,x
16.655,6.385.987,2.241.160,183.941,o,x
17.700,6.693.085,2.260.320,183.941,x,o
18.736,7.056.515,2.285.576,183.941,x,x
19.773,7.422.139,2.303.816,183.942,x,x
20.811,7.794.138,2.320.092,183.942,x,x
21.852,8.165.348,2.334.604,183.942,o,x
22.893,8.506.821,2.343.980,183.942,x,o
23.934,8.852.866,2.365.772,183.942,x,x
24.975,9.134.327,1.992.356,183.942,x,x
26.017,9.415.725,2.046.992,183.942,x,x
27.057,9.758.661,1.905.916,183.942,x,x
28.098,9.914.610,1.934.808,183.942,o,x
