elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.289.692,71.803,x,x
101,28.572,1.352.780,71.243,x,x
202,60.179,1.356.340,72.865,x,x
304,92.252,1.358.820,74.558,x,x
406,112.176,1.360.136,75.579,x,x
507,112.176,1.360.136,75.579,x,x
609,112.176,1.360.136,75.579,x,x
711,112.176,1.360.136,75.579,x,x
813,112.176,1.360.136,75.579,x,x
914,112.176,1.360.136,75.579,x,x
1.016,112.176,1.360.136,75.579,x,x
1.118,112.176,1.360.140,75.579,x,x
1.220,112.176,1.360.492,75.837,x,x
1.321,112.176,1.360.492,75.837,x,x
1.423,124.211,1.360.812,72.689,x,x
1.525,144.321,1.361.088,73.746,x,x
1.627,171.474,1.361.380,72.684,x,x
1.728,202.673,1.361.256,74.911,x,x
1.830,233.491,1.361.768,76.510,x,x
1.932,264.388,1.363.412,78.107,x,x
2.034,267.835,1.363.648,78.275,x,x
2.135,267.835,1.363.648,78.275,x,x
2.237,267.835,1.363.648,78.275,x,x
2.339,267.835,1.363.648,78.275,x,x
2.441,267.835,1.363.648,78.275,x,x
2.542,267.835,1.363.648,78.275,x,x
2.644,267.835,1.363.648,78.275,x,x
2.746,267.835,1.363.900,78.533,x,x
2.848,267.835,1.363.900,78.533,x,x
2.949,277.719,1.364.024,75.285,x,x
3.051,302.125,1.364.216,76.502,x,x
3.153,332.079,1.364.392,75.298,x,x
3.255,363.370,1.364.408,77.885,x,x
3.357,394.704,1.364.468,79.509,x,x
3.458,423.339,1.364.824,80.973,x,x
3.560,423.339,1.364.824,80.973,x,x
3.662,423.339,1.364.824,80.973,x,x
3.764,423.339,1.364.824,80.973,x,x
3.866,423.339,1.364.824,80.973,x,x
3.967,423.339,1.364.824,80.973,x,x
4.069,423.339,1.364.824,80.973,x,x
4.171,423.339,1.364.824,80.973,x,x
4.273,423.339,1.364.824,80.973,x,x
4.375,423.339,1.365.172,81.231,x,x
4.476,425.607,1.365.248,77.587,x,x
4.578,436.654,1.365.248,78.124,x,x
4.680,447.445,1.365.280,75.257,x,x
4.782,457.930,1.365.372,77.336,x,x
4.884,468.377,1.365.372,77.900,x,x
4.985,479.230,1.365.372,78.447,x,x
5.087,489.472,1.365.372,79.010,x,x
5.189,499.899,1.365.372,79.572,x,x
5.291,510.444,1.365.436,80.137,x,x
5.392,521.534,1.365.500,80.685,x,x
5.494,531.806,1.365.692,81.236,x,x
5.596,542.610,1.365.808,81.782,x,x
5.698,553.181,1.365.820,82.334,x,x
5.800,563.872,1.365.968,82.869,x,x
5.901,574.357,1.366.884,83.682,x,x
6.003,576.593,1.367.172,83.807,x,x
6.105,586.330,1.367.348,80.610,x,x
6.207,597.099,1.367.440,77.569,x,x
6.309,607.826,1.367.596,79.898,x,x
6.411,618.883,1.367.660,80.452,x,x
6.512,630.130,1.368.068,82.602,x,x
6.614,641.162,1.375.020,84.807,x,x
6.716,652.331,1.367.420,73.941,x,x
6.818,662.878,1.367.256,70.184,x,x
6.919,673.468,1.368.980,72.463,x,x
7.021,684.044,1.367.180,71.709,x,x
7.122,694.790,1.369.368,74.278,x,x
7.224,705.707,1.365.892,70.780,x,x
7.325,716.303,1.366.548,71.214,x,x
7.427,727.192,1.367.208,72.240,x,x
7.529,733.545,1.368.436,74.076,x,x
7.630,733.545,1.366.948,72.782,x,x
7.732,733.545,1.366.308,72.451,x,x
7.833,733.545,1.367.440,73.782,x,x
7.935,733.545,1.367.288,73.898,x,x
8.036,733.545,1.364.980,71.972,x,x
8.138,733.545,1.365.236,72.844,x,x
8.239,733.545,1.365.232,73.104,x,x
8.341,733.545,1.365.232,73.365,x,x
8.442,733.545,1.365.232,73.625,x,x
8.543,733.545,1.364.716,72.928,x,x
8.645,733.545,1.363.564,72.016,x,x
8.746,733.545,1.365.440,73.916,x,x
8.848,733.545,1.365.780,76.100,x,x
8.949,733.545,1.362.012,72.603,x,x
9.051,733.545,1.363.428,74.021,x,x
9.152,733.545,1.363.048,73.923,x,x
9.254,733.545,1.361.456,72.168,x,x
9.355,733.545,1.362.864,73.925,x,x
9.457,733.545,1.362.292,73.492,x,x
9.558,733.545,1.360.760,71.876,x,x
9.660,733.545,1.362.488,73.930,x,x
9.761,733.545,1.361.652,72.957,x,x
9.863,733.545,1.362.620,74.191,x,x
9.964,733.545,1.362.116,73.934,x,x
10.065,733.545,1.360.196,72.272,x,x
10.167,733.545,1.360.128,72.490,x,x
10.268,733.545,1.360.192,73.054,x,x
10.370,733.545,1.360.188,73.315,x,x
10.471,733.545,1.360.188,73.439,x,x
10.573,733.545,1.359.676,72.897,x,x
10.674,733.545,1.360.628,74.095,x,x
10.775,733.545,1.360.280,73.953,x,x
10.877,733.545,1.360.480,74.986,x,x
10.978,733.545,1.357.528,72.442,x,x
11.080,733.545,1.357.204,72.348,x,x
11.181,733.545,1.357.396,72.785,x,x
11.282,733.545,1.357.392,73.008,x,x
11.384,733.545,1.356.496,72.453,x,x
11.485,733.545,1.357.648,73.973,x,x
11.586,733.545,1.357.524,73.975,x,x
11.688,733.545,1.355.604,72.314,x,x
11.789,733.545,1.355.152,72.043,x,x
11.891,733.545,1.355.472,72.534,x,x
11.992,733.545,1.354.636,72.790,x,x
12.093,733.545,1.354.768,74.200,x,x
12.195,733.545,1.354.820,76.552,x,x
12.296,733.545,1.355.172,77.865,x,x
12.397,733.545,1.355.300,79.218,x,x
12.498,733.545,1.355.508,81.277,x,x
12.600,733.545,1.355.848,83.452,x,x
12.701,733.545,1.355.976,84.566,x,x
12.803,733.545,1.356.316,85.909,x,x
12.904,733.545,1.356.528,87.803,x,x
13.005,733.545,1.356.868,89.978,x,x
13.107,733.545,1.356.996,91.579,x,x
13.208,733.545,1.357.336,92.981,x,x
13.309,733.545,1.357.548,94.329,x,x
13.411,733.545,1.357.888,96.505,x,x
13.512,733.545,1.358.228,98.680,x,x
13.613,733.545,1.358.356,99.938,x,x
13.715,733.545,1.358.692,101.346,x,x
13.816,733.545,1.358.904,103.031,x,x
13.918,733.545,1.359.244,105.206,x,x
14.019,742.043,1.361.800,68.822,x,x
14.120,761.810,1.367.916,71.664,x,x
14.220,783.999,1.368.612,74.372,x,x
14.321,811.532,1.371.816,77.424,x,x
14.421,841.827,1.368.768,72.055,x,x
14.522,873.780,1.369.216,75.482,x,x
14.622,905.071,1.369.228,70.741,x,x
14.723,936.594,1.368.976,73.481,x,x
14.824,968.340,1.369.336,76.843,x,x
14.924,999.601,1.369.440,72.226,x,x
15.025,1.031.067,1.369.768,75.210,x,x
15.125,1.062.574,1.370.052,78.137,x,x
15.226,1.093.916,1.374.500,77.554,x,x
15.326,1.125.851,1.374.756,80.139,x,x
15.427,1.157.202,1.370.128,72.201,x,x
15.528,1.189.277,1.370.264,75.090,x,x
15.628,1.220.970,1.370.328,78.380,x,x
