elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.112.636,1.850.180,x,x
100,674,3.112.852,1.850.236,x,x
201,1.270,3.112.908,1.850.288,x,x
301,1.818,3.112.964,1.850.340,x,x
401,2.499,3.113.016,1.850.396,x,x
502,2.887,3.113.056,1.850.432,x,x
602,3.266,3.113.108,1.850.488,x,x
702,3.905,3.113.164,1.850.540,x,x
803,4.613,3.113.216,1.850.592,x,x
903,5.271,3.113.276,1.850.652,x,x
1.003,5.907,3.113.332,1.850.708,x,x
1.103,6.518,3.113.384,1.850.764,x,x
1.204,7.064,3.113.436,1.850.816,x,x
1.304,7.636,3.113.496,1.850.872,x,x
1.404,8.276,3.113.544,1.850.924,x,x
1.505,8.883,3.113.600,1.850.980,x,x
1.605,9.342,3.113.656,1.851.032,x,x
1.705,9.906,3.113.708,1.851.088,x,x
1.805,10.457,3.113.764,1.851.144,x,x
1.906,11.122,3.113.820,1.851.196,x,x
2.006,11.640,3.113.876,1.851.252,x,x
2.106,12.111,3.113.928,1.851.308,x,x
2.207,12.807,3.113.980,1.851.360,x,x
2.307,13.351,3.114.040,1.851.416,x,x
2.407,13.934,3.114.088,1.851.468,x,x
2.507,14.506,3.114.144,1.851.524,x,x
2.608,15.085,3.114.196,1.851.576,x,x
2.708,15.758,3.114.256,1.851.636,x,x
2.808,16.513,3.114.312,1.851.688,x,x
2.909,17.000,3.114.364,1.851.740,x,x
3.009,17.606,3.114.424,1.851.800,x,x
3.109,18.276,3.114.472,1.851.852,x,x
3.209,18.931,3.114.528,1.851.908,x,x
3.310,19.493,3.114.584,1.851.960,x,x
3.410,20.241,3.114.636,1.852.016,x,x
3.510,20.974,3.114.688,1.852.068,x,x
3.611,21.527,3.114.744,1.852.124,x,x
3.711,22.020,3.114.800,1.852.176,x,x
3.811,22.623,3.114.852,1.852.232,x,x
3.911,23.363,3.114.904,1.852.284,x,x
4.012,23.930,3.114.964,1.852.340,x,x
4.112,24.484,3.115.012,1.852.392,x,x
4.212,25.098,3.115.064,1.852.444,x,x
4.313,25.572,3.115.120,1.852.496,x,x
4.413,25.858,3.115.152,1.852.532,x,x
4.513,25.980,3.115.164,1.852.540,x,x
4.613,26.165,3.115.176,1.852.552,x,x
4.714,26.359,3.115.184,1.852.560,x,x
4.814,26.539,3.115.196,1.852.576,x,x
4.914,26.702,3.115.212,1.852.588,x,x
5.015,26.873,3.115.224,1.852.604,x,x
5.115,27.006,3.115.236,1.852.612,x,x
5.215,27.152,3.115.248,1.852.624,x,x
5.316,27.240,3.115.260,1.852.640,x,x
5.416,27.380,3.115.272,1.852.648,x,x
5.516,27.448,3.115.284,1.852.660,x,x
5.616,27.545,3.115.296,1.852.676,x,x
5.717,27.713,3.115.308,1.852.684,x,x
5.817,27.805,3.115.320,1.852.696,x,x
5.917,27.894,3.115.336,1.852.716,x,x
6.018,27.994,3.115.348,1.852.724,x,x
6.118,28.199,3.115.356,1.852.736,x,x
6.218,28.338,3.115.368,1.852.744,x,x
6.319,28.418,3.115.380,1.852.756,x,x
6.419,28.581,3.115.392,1.852.772,x,x
6.519,28.663,3.115.404,1.852.784,x,x
6.620,28.743,3.115.416,1.852.796,x,x
6.720,28.899,3.115.428,1.852.808,x,x
6.820,29.059,3.115.440,1.852.820,x,x
6.920,29.217,3.115.452,1.852.832,x,x
7.021,29.334,3.115.468,1.852.844,x,x
7.121,29.466,3.115.476,1.852.856,x,x
7.221,29.589,3.115.492,1.852.868,x,x
7.322,29.634,3.115.500,1.852.880,x,x
7.422,29.780,3.115.516,1.852.896,x,x
7.522,29.932,3.115.528,1.852.908,x,x
7.623,30.029,3.115.540,1.852.916,x,x
7.723,30.130,3.115.548,1.852.928,x,x
7.823,30.234,3.115.564,1.852.940,x,x
7.924,30.311,3.115.576,1.852.952,x,x
8.024,30.414,3.115.588,1.852.968,x,x
8.124,30.539,3.115.604,1.852.980,x,x
8.224,30.632,3.115.616,1.852.992,x,x
8.325,30.737,3.115.632,1.853.008,x,x
8.425,30.864,3.115.644,1.853.020,x,x
8.525,30.989,3.115.656,1.853.032,x,x
8.626,31.177,3.115.676,1.853.056,x,x
8.726,31.359,3.115.688,1.853.068,x,x
8.826,31.439,3.115.708,1.853.084,x,x
8.927,31.566,3.115.720,1.853.096,x,x
9.027,31.748,3.115.736,1.853.112,x,x
9.127,31.905,3.115.744,1.853.124,x,x
9.227,31.998,3.115.760,1.853.140,x,x
9.328,32.124,3.115.780,1.853.156,x,x
9.428,32.374,3.115.792,1.853.168,x,x
9.528,32.533,3.115.804,1.853.184,x,x
9.629,32.672,3.115.820,1.853.200,x,x
9.729,32.779,3.115.828,1.853.204,x,x
9.829,32.816,3.115.836,1.853.216,x,x
9.930,33.117,3.115.852,1.853.232,x,x
10.030,33.191,3.115.864,1.853.240,x,x
10.130,33.325,3.115.876,1.853.256,x,x
10.230,33.439,3.115.892,1.853.268,x,x
10.331,33.505,3.115.900,1.853.276,x,x
10.431,33.685,3.115.908,1.853.288,x,x
10.531,33.870,3.115.920,1.853.296,x,x
10.632,34.042,3.115.928,1.853.308,x,x
10.732,34.118,3.115.940,1.853.320,x,x
10.832,34.206,3.115.948,1.853.328,x,x
10.933,34.322,3.115.964,1.853.344,x,x
11.033,34.406,3.115.976,1.853.356,x,x
11.133,34.561,3.115.984,1.853.364,x,x
11.233,34.634,3.116.000,1.853.376,x,x
11.334,34.791,3.116.008,1.853.388,x,x
11.434,34.952,3.116.024,1.853.404,x,x
11.534,35.117,3.116.040,1.853.416,x,x
11.635,35.333,3.116.048,1.853.428,x,x
11.735,35.410,3.116.064,1.853.444,x,x
11.835,35.554,3.116.080,1.853.456,x,x
11.936,35.724,3.116.092,1.853.468,x,x
12.036,35.822,3.116.100,1.853.480,x,x
12.136,35.970,3.116.112,1.853.492,x,x
12.236,36.164,3.116.128,1.853.504,x,x
12.337,36.247,3.116.148,1.853.528,x,x
12.437,36.408,3.116.160,1.853.536,x,x
12.537,36.514,3.116.172,1.853.552,x,x
12.638,36.618,3.116.188,1.853.568,x,x
12.738,36.761,3.116.204,1.853.580,x,x
12.838,36.899,3.116.216,1.853.596,x,x
12.938,36.939,3.116.228,1.853.604,x,x
13.039,37.054,3.116.240,1.853.620,x,x
13.139,37.217,3.116.256,1.853.636,x,x
13.239,37.329,3.116.268,1.853.644,x,x
13.340,37.415,3.116.280,1.853.660,x,x
13.440,37.628,3.116.288,1.853.668,x,x
13.540,37.785,3.116.300,1.853.680,x,x
13.641,37.986,3.116.316,1.853.692,x,x
13.741,38.100,3.116.328,1.853.708,x,x
13.841,38.213,3.116.340,1.853.720,x,x
13.941,38.318,3.116.356,1.853.732,x,x
14.042,38.410,3.116.368,1.853.748,x,x
14.142,38.482,3.116.380,1.853.760,x,x
14.242,38.572,3.116.392,1.853.772,x,x
14.343,38.737,3.116.404,1.853.784,x,x
14.443,38.865,3.116.416,1.853.796,x,x
14.543,39.070,3.116.432,1.853.812,x,x
14.643,39.293,3.116.448,1.853.824,x,x
14.744,39.464,3.116.460,1.853.836,x,x
14.844,39.536,3.116.472,1.853.848,x,x
14.944,39.702,3.116.484,1.853.864,x,x
15.045,39.779,3.116.500,1.853.876,x,x
15.145,39.889,3.116.508,1.853.888,x,x
15.245,39.956,3.116.524,1.853.904,x,x
15.346,40.158,3.116.540,1.853.916,x,x
15.446,40.341,3.116.552,1.853.928,x,x
15.546,40.548,3.116.568,1.853.944,x,x
15.646,40.730,3.116.580,1.853.956,x,x
15.747,40.924,3.116.592,1.853.968,x,x
15.847,41.059,3.116.612,1.853.992,x,x
15.947,41.121,3.116.624,1.854.000,x,x
16.048,41.199,3.116.640,1.854.016,x,x
16.148,41.274,3.116.652,1.854.032,x,x
16.248,41.461,3.116.668,1.854.048,x,x
16.348,41.643,3.116.684,1.854.064,x,x
16.449,41.771,3.116.700,1.854.080,x,x
16.549,41.888,3.116.712,1.854.092,x,x
16.649,42.035,3.116.728,1.854.108,x,x
16.750,42.128,3.116.744,1.854.120,x,x
16.850,42.315,3.116.756,1.854.132,x,x
16.950,42.542,3.116.768,1.854.148,x,x
17.051,42.655,3.116.780,1.854.160,x,x
17.151,42.810,3.116.796,1.854.172,x,x
17.251,42.939,3.116.808,1.854.188,x,x
17.352,43.115,3.116.820,1.854.196,x,x
17.452,43.225,3.116.832,1.854.212,x,x
17.552,43.428,3.116.844,1.854.220,x,x
17.652,43.499,3.116.852,1.854.232,x,x
17.753,43.552,3.116.868,1.854.248,x,x
17.853,43.594,3.116.880,1.854.260,x,x
17.953,43.707,3.116.892,1.854.268,x,x
18.054,43.882,3.116.904,1.854.284,x,x
18.154,43.971,3.116.916,1.854.296,x,x
18.254,44.134,3.116.928,1.854.308,x,x
18.354,44.224,3.116.940,1.854.320,x,x
18.455,44.303,3.116.952,1.854.332,x,x
18.555,44.483,3.116.964,1.854.340,x,x
18.655,44.630,3.116.976,1.854.356,x,x
18.756,44.808,3.116.992,1.854.372,x,x
18.856,44.926,3.117.004,1.854.384,x,x
18.956,44.992,3.117.016,1.854.396,x,x
19.057,45.146,3.117.028,1.854.404,x,x
19.157,45.302,3.117.040,1.854.420,x,x
19.257,45.469,3.117.052,1.854.432,x,x
19.357,45.631,3.117.068,1.854.452,x,x
19.458,45.762,3.117.084,1.854.464,x,x
19.558,45.912,3.117.108,1.854.484,x,x
19.658,46.149,3.117.124,1.854.500,x,x
19.759,46.321,3.117.144,1.854.524,x,x
19.859,46.450,3.117.160,1.854.540,x,x
19.959,46.501,3.117.172,1.854.552,x,x
20.060,46.602,3.117.188,1.854.568,x,x
20.160,46.686,3.117.200,1.854.576,x,x
20.260,46.892,3.117.208,1.854.584,x,x
20.360,47.073,3.117.220,1.854.600,x,x
20.461,47.170,3.117.232,1.854.612,x,x
20.561,47.270,3.117.244,1.854.624,x,x
20.661,47.320,3.117.256,1.854.636,x,x
20.762,47.413,3.117.268,1.854.648,x,x
20.862,47.650,3.117.280,1.854.660,x,x
20.962,47.837,3.117.292,1.854.672,x,x
21.063,47.971,3.117.300,1.854.680,x,x
21.163,48.100,3.117.312,1.854.692,x,x
21.263,48.230,3.117.328,1.854.708,x,x
21.363,48.309,3.117.340,1.854.716,x,x
21.464,48.424,3.117.352,1.854.732,x,x
21.564,48.545,3.117.372,1.854.748,x,x
21.664,48.712,3.117.380,1.854.760,x,x
21.765,48.986,3.117.388,1.854.768,x,x
21.865,49.170,3.117.404,1.854.784,x,x
21.965,49.354,3.117.420,1.854.796,x,x
22.065,49.539,3.117.436,1.854.812,x,x
22.166,49.797,3.117.448,1.854.824,x,x
22.266,49.994,3.117.460,1.854.836,x,x
22.366,50.160,3.117.476,1.854.856,x,x
22.467,50.254,3.117.484,1.854.864,x,x
22.567,50.326,3.117.500,1.854.880,x,x
22.667,50.482,3.117.516,1.854.892,x,x
22.767,50.597,3.117.528,1.854.904,x,x
22.868,50.792,3.117.544,1.854.924,x,x
22.968,50.976,3.117.556,1.854.932,x,x
23.068,51.156,3.117.568,1.854.948,x,x
23.169,51.234,3.117.580,1.854.956,x,x
23.269,51.360,3.117.592,1.854.972,x,x
23.369,51.485,3.117.604,1.854.984,x,x
23.470,51.611,3.117.620,1.854.996,x,x
23.570,51.736,3.117.632,1.855.012,x,x
23.670,51.870,3.117.648,1.855.028,x,x
23.770,52.043,3.117.660,1.855.036,x,x
23.871,52.262,3.117.676,1.855.052,x,x
23.971,52.388,3.117.688,1.855.068,x,x
24.071,52.600,3.117.704,1.855.080,x,x
24.172,52.698,3.117.720,1.855.100,x,x
24.272,52.852,3.117.736,1.855.112,x,x
24.372,53.022,3.117.748,1.855.128,x,x
24.472,53.194,3.117.756,1.855.136,x,x
24.573,53.296,3.117.768,1.855.148,x,x
24.673,53.454,3.117.784,1.855.164,x,x
24.773,53.629,3.117.796,1.855.176,x,x
24.874,53.771,3.117.808,1.855.184,x,x
24.974,53.921,3.117.820,1.855.200,x,x
25.074,54.063,3.117.832,1.855.212,x,x
25.175,54.251,3.117.844,1.855.220,x,x
25.275,54.323,3.117.852,1.855.232,x,x
25.375,54.419,3.117.872,1.855.252,x,x
25.475,54.518,3.117.880,1.855.260,x,x
25.576,54.627,3.117.892,1.855.268,x,x
25.676,54.735,3.117.900,1.855.280,x,x
25.776,54.840,3.117.916,1.855.296,x,x
25.877,55.011,3.117.928,1.855.308,x,x
25.977,55.105,3.117.940,1.855.316,x,x
26.077,55.280,3.117.948,1.855.328,x,x
26.177,55.360,3.117.960,1.855.336,x,x
26.278,55.455,3.117.972,1.855.348,x,x
26.378,55.564,3.117.984,1.855.364,x,x
26.478,55.699,3.117.996,1.855.372,x,x
26.579,55.948,3.118.008,1.855.388,x,x
26.679,56.058,3.118.020,1.855.400,x,x
26.779,56.184,3.118.032,1.855.408,x,x
26.880,56.317,3.118.044,1.855.424,x,x
26.980,56.430,3.118.052,1.855.432,x,x
27.080,56.575,3.118.068,1.855.444,x,x
27.181,56.671,3.118.076,1.855.456,x,x
27.281,56.777,3.118.092,1.855.472,x,x
27.381,57.033,3.118.108,1.855.484,x,x
27.481,57.134,3.118.116,1.855.496,x,x
27.582,57.290,3.118.124,1.855.504,x,x
27.682,57.416,3.118.136,1.855.516,x,x
27.782,57.577,3.118.148,1.855.528,x,x
27.883,57.763,3.118.168,1.855.544,x,x
