elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.479.800,190.154,x,x
103,768,1.486.184,182.906,x,x
205,1.695,1.492.624,171.624,x,x
308,2.386,1.498.340,163.864,x,x
411,3.278,1.503.332,163.912,x,x
515,4.208,1.506.828,163.970,x,x
618,5.379,1.512.124,164.018,x,x
722,5.749,1.513.448,164.045,x,x
825,5.891,1.513.988,164.056,x,x
928,6.120,1.514.724,164.069,x,x
1.032,6.312,1.515.392,164.081,x,x
1.135,6.600,1.516.496,164.091,x,x
1.239,6.805,1.517.112,164.100,x,x
1.342,7.186,1.518.332,164.112,x,x
1.445,7.316,1.518.508,164.121,x,x
1.549,7.753,1.520.032,164.133,x,x
1.652,7.970,1.520.532,164.143,x,x
1.756,8.152,1.520.716,164.154,x,x
1.859,8.479,1.521.832,164.165,x,x
1.962,8.649,1.522.548,164.176,x,x
2.066,8.902,1.523.404,164.186,x,x
2.169,9.119,1.524.092,164.197,x,x
2.273,9.403,1.524.920,164.209,x,x
2.376,9.604,1.525.408,164.221,x,x
2.479,9.832,1.525.884,164.234,x,x
2.583,10.045,1.526.352,164.246,x,x
2.686,10.262,1.527.080,164.257,x,x
2.790,10.570,1.527.412,164.269,x,x
2.893,10.885,1.528.116,164.286,x,x
2.996,11.017,1.528.476,164.294,x,x
3.100,11.287,1.529.084,164.306,x,x
3.203,11.509,1.529.516,164.320,x,x
3.306,11.696,1.529.792,164.331,x,x
3.410,11.891,1.530.236,164.343,x,x
3.513,12.126,1.530.484,164.357,x,x
3.617,12.345,1.530.860,164.369,x,x
3.720,12.586,1.531.348,164.381,x,x
3.823,12.761,1.531.796,164.394,x,x
3.927,13.086,1.532.428,164.407,x,x
4.030,13.360,1.533.204,164.419,x,x
4.134,13.539,1.533.588,164.433,x,x
4.237,13.997,1.534.604,164.448,x,x
4.340,14.166,1.534.888,164.458,x,x
4.444,14.362,1.535.352,164.467,x,x
4.547,14.678,1.535.788,164.480,x,x
4.650,14.828,1.536.108,164.489,x,x
4.754,15.012,1.536.292,164.503,x,x
4.857,15.076,1.536.392,164.772,x,x
4.961,15.076,1.536.392,164.773,x,x
5.064,15.267,1.536.596,160.744,x,x
5.167,15.417,1.536.892,160.750,x,x
5.271,15.723,1.537.304,160.765,x,x
5.374,15.881,1.537.628,160.778,x,x
5.478,16.014,1.537.836,160.789,x,x
5.581,16.192,1.538.116,160.800,x,x
5.685,16.379,1.538.424,160.814,x,x
5.788,16.609,1.538.960,160.826,x,x
5.892,16.795,1.539.136,160.841,x,x
5.995,16.957,1.539.244,160.852,x,x
6.099,17.120,1.539.412,160.866,x,x
6.202,17.379,1.539.796,160.875,x,x
6.305,17.728,1.540.160,160.891,x,x
6.409,17.831,1.540.308,160.902,x,x
6.512,18.089,1.540.668,160.920,x,x
6.616,18.239,1.541.020,160.928,x,x
6.719,18.531,1.541.392,160.942,x,x
6.822,18.758,1.541.684,160.954,x,x
6.926,18.960,1.541.840,160.964,x,x
7.029,19.283,1.542.228,160.975,x,x
7.133,19.508,1.542.680,160.987,x,x
7.236,19.890,1.543.056,160.998,x,x
7.340,20.046,1.543.320,161.010,x,x
7.443,20.274,1.543.596,161.022,x,x
7.546,20.399,1.543.680,161.031,x,x
7.650,20.578,1.543.936,161.043,x,x
7.753,20.879,1.544.156,161.055,x,x
7.857,21.052,1.544.376,161.066,x,x
7.960,21.279,1.544.660,161.078,x,x
8.063,21.566,1.544.988,161.087,x,x
8.167,21.825,1.545.600,162.739,x,x
8.269,21.868,1.545.528,162.942,x,x
8.372,21.868,1.545.528,162.942,x,x
8.476,21.868,1.545.528,162.942,x,x
8.579,21.868,1.545.528,162.942,x,x
8.683,21.868,1.545.528,162.942,x,x
8.786,21.868,1.545.528,162.942,x,x
8.890,21.868,1.545.528,162.942,x,x
8.993,21.868,1.545.528,162.942,x,x
9.097,21.878,1.545.560,162.944,x,x
9.200,22.008,1.543.988,161.111,x,x
9.303,22.186,1.544.520,161.124,x,x
9.407,22.440,1.544.992,161.137,x,x
9.510,22.651,1.545.320,161.151,x,x
9.614,22.783,1.545.636,161.162,x,x
9.717,22.862,1.545.776,161.432,x,x
9.820,22.905,1.545.812,161.432,x,x
9.924,23.207,1.546.192,157.402,x,x
10.027,23.405,1.546.560,157.412,x,x
10.130,23.684,1.546.896,157.425,x,x
10.234,23.870,1.547.056,157.433,x,x
10.337,24.084,1.547.196,157.445,x,x
10.441,24.308,1.547.428,157.457,x,x
10.544,24.406,1.547.796,157.728,x,x
10.647,24.406,1.547.796,157.728,x,x
10.751,24.607,1.548.064,153.695,x,x
10.854,24.795,1.548.500,153.703,x,x
10.958,25.138,1.549.052,153.716,x,x
11.061,25.472,1.549.548,153.729,x,x
11.164,25.650,1.549.904,153.739,x,x
11.268,25.878,1.550.280,153.749,x,x
11.371,26.001,1.550.456,153.759,x,x
11.474,26.109,1.550.556,153.769,x,x
11.578,26.397,1.550.840,153.778,x,x
11.681,26.593,1.551.112,154.051,x,x
11.785,26.593,1.551.112,154.051,x,x
11.888,26.764,1.551.384,154.057,x,x
11.992,26.943,1.551.620,150.030,x,x
12.095,27.213,1.552.008,150.042,x,x
12.198,27.468,1.552.360,150.054,x,x
12.302,27.603,1.552.472,150.065,x,x
12.405,27.877,1.552.892,150.078,x,x
12.509,28.196,1.553.296,150.095,x,x
12.612,28.356,1.553.668,150.104,x,x
12.715,28.565,1.553.884,150.117,x,x
12.819,28.741,1.554.108,150.126,x,x
12.922,28.972,1.554.316,150.137,x,x
13.026,29.229,1.554.556,150.150,x,x
13.129,29.410,1.554.852,150.163,x,x
13.232,29.665,1.555.220,150.175,x,x
13.336,29.896,1.555.516,150.184,x,x
13.439,30.179,1.555.760,150.199,x,x
13.543,30.405,1.556.000,150.214,x,x
13.646,30.597,1.556.176,150.223,x,x
13.749,30.864,1.556.508,150.235,x,x
13.853,30.891,1.556.520,150.236,x,x
13.956,30.942,1.556.568,150.239,x,x
14.060,31.067,1.556.776,150.514,x,x
14.163,31.067,1.556.776,150.514,x,x
14.267,31.219,1.556.928,150.524,x,x
14.370,31.355,1.557.120,146.490,x,x
14.473,31.576,1.557.472,146.502,x,x
14.577,31.853,1.557.876,146.515,x,x
14.680,32.030,1.558.064,146.526,x,x
14.782,32.235,1.558.380,146.540,x,x
14.886,32.398,1.558.588,146.553,x,x
