elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.738.224,1.850.200,x,x
100,26.182,3.742.192,1.852.528,x,x
201,53.362,3.744.660,1.854.976,x,x
301,80.557,3.747.144,1.857.468,x,x
401,107.830,3.749.612,1.859.936,x,x
502,135.126,3.752.124,1.862.448,x,x
602,162.323,3.754.580,1.864.904,x,x
702,189.598,3.757.044,1.867.376,x,x
803,216.912,3.759.492,1.869.820,x,x
903,244.073,3.761.972,1.872.312,x,x
1.003,271.368,3.764.568,1.874.908,x,x
1.104,298.808,3.767.040,1.877.392,x,x
1.204,325.933,3.769.476,1.879.832,x,x
1.304,353.083,3.771.960,1.882.304,x,x
1.405,380.360,3.774.492,1.884.856,x,x
1.505,407.634,3.776.920,1.887.292,x,x
1.605,434.804,3.779.344,1.889.708,x,x
1.706,461.986,3.781.800,1.892.156,x,x
1.806,489.097,3.784.264,1.894.616,x,x
1.906,516.420,3.786.660,1.897.020,x,x
2.007,543.617,3.789.252,1.899.612,x,x
2.107,570.882,3.791.732,1.902.092,x,x
2.207,598.162,3.794.288,1.904.652,x,x
2.308,625.410,3.796.812,1.907.192,x,x
2.408,652.508,3.799.364,1.909.724,x,x
2.508,679.822,3.801.916,1.912.276,x,x
2.609,707.167,3.804.432,1.914.796,x,x
2.709,734.548,3.806.924,1.917.288,x,x
2.809,761.746,3.809.296,1.919.648,x,x
2.910,789.086,3.811.716,1.922.072,x,x
3.010,816.477,3.814.376,1.924.724,x,x
3.110,843.772,3.816.756,1.927.128,x,x
3.211,870.977,3.819.248,1.929.628,x,x
3.311,898.072,3.821.764,1.932.120,x,x
3.411,925.435,3.824.256,1.934.608,x,x
3.512,952.715,3.826.708,1.937.060,x,x
3.612,979.897,3.829.212,1.939.560,x,x
3.712,1.007.098,3.831.676,1.942.024,x,x
3.813,1.034.286,3.834.144,1.944.504,x,x
3.913,1.061.511,3.836.620,1.946.984,x,x
4.013,1.088.755,3.839.032,1.949.392,x,x
4.114,1.116.013,3.841.528,1.951.880,x,x
4.214,1.143.286,3.843.980,1.954.328,x,x
4.314,1.170.624,3.846.476,1.956.820,x,x
4.415,1.197.849,3.849.004,1.959.348,x,x
4.515,1.225.103,3.851.508,1.961.844,x,x
4.615,1.252.382,3.853.932,1.964.272,x,x
4.716,1.279.660,3.856.396,1.966.740,x,x
4.816,1.306.863,3.858.836,1.969.188,x,x
4.916,1.334.187,3.861.452,1.971.804,x,x
5.017,1.361.444,3.864.024,1.974.372,x,x
5.117,1.388.612,3.866.568,1.976.928,x,x
5.217,1.415.827,3.869.052,1.979.404,x,x
5.318,1.443.117,3.871.420,1.981.776,x,x
5.418,1.470.338,3.873.972,1.984.320,x,x
5.518,1.497.604,3.876.384,1.986.740,x,x
5.619,1.524.764,3.878.792,1.989.160,x,x
5.719,1.551.895,3.881.260,1.991.624,x,x
5.819,1.579.225,3.883.752,1.994.116,x,x
5.920,1.606.519,3.886.228,1.996.592,x,x
6.020,1.633.640,3.888.728,1.999.096,x,x
6.120,1.660.894,3.891.380,2.001.748,x,x
6.221,1.688.213,3.893.848,2.004.220,x,x
6.321,1.715.642,3.896.392,2.006.756,x,x
6.421,1.743.088,3.898.892,2.009.256,x,x
6.522,1.770.292,3.901.432,2.011.808,x,x
6.622,1.797.738,3.903.904,2.014.284,x,x
6.722,1.824.910,3.906.452,2.016.828,x,x
6.823,1.852.161,3.908.976,2.019.352,x,x
6.923,1.879.322,3.911.428,2.021.812,x,x
7.023,1.906.528,3.913.900,2.024.288,x,x
7.124,1.933.796,3.916.480,2.026.872,x,x
7.224,1.961.095,3.919.048,2.029.432,x,x
7.324,1.988.410,3.921.568,2.031.952,x,x
7.425,2.015.602,3.924.040,2.034.428,x,x
7.525,2.042.828,3.926.484,2.036.876,x,x
7.625,2.070.010,3.929.104,2.039.512,x,x
7.726,2.097.158,3.931.548,2.041.952,x,x
7.826,2.124.376,3.933.936,2.044.340,x,x
7.926,2.151.677,3.936.456,2.046.872,x,x
8.026,2.178.840,3.938.848,2.049.260,x,x
8.127,2.206.105,3.941.360,2.051.780,x,x
8.227,2.233.378,3.943.776,2.054.200,x,x
8.327,2.260.622,3.946.232,2.056.652,x,x
8.428,2.287.687,3.948.732,2.059.152,x,x
8.528,2.314.875,3.951.264,2.061.700,x,x
8.628,2.342.259,3.953.780,2.064.220,x,x
8.729,2.369.524,3.956.240,2.066.668,x,x
8.829,2.396.826,3.958.792,2.069.232,x,x
8.929,2.423.971,3.961.344,2.071.788,x,x
9.030,2.451.288,3.963.748,2.074.220,x,x
9.130,2.478.498,3.966.160,2.076.648,x,x
9.230,2.505.729,3.968.624,2.079.096,x,x
9.331,2.533.082,3.971.048,2.081.500,x,x
9.431,2.560.317,3.973.476,2.083.940,x,x
9.531,2.587.561,3.975.988,2.086.440,x,x
9.632,2.614.807,3.978.476,2.088.912,x,x
9.732,2.642.131,3.980.924,2.091.364,x,x
9.832,2.669.376,3.983.400,2.093.828,x,x
9.933,2.696.489,3.985.820,2.096.260,x,x
10.033,2.723.715,3.988.388,2.098.816,x,x
10.133,2.750.994,3.990.984,2.101.416,x,x
10.234,2.778.126,3.993.532,2.103.976,x,x
10.334,2.805.481,3.995.916,2.106.348,x,x
10.434,2.832.762,3.998.388,2.108.824,x,x
10.535,2.860.064,4.000.904,2.111.324,x,x
10.635,2.887.402,4.003.416,2.113.840,x,x
10.735,2.914.698,4.005.900,2.116.332,x,x
10.836,2.941.945,4.008.380,2.118.804,x,x
10.936,2.969.090,4.010.836,2.121.264,x,x
11.036,2.996.417,4.013.336,2.123.756,x,x
11.137,3.023.576,4.015.724,2.126.156,x,x
11.237,3.050.843,4.018.188,2.128.608,x,x
11.337,3.077.907,4.020.736,2.131.156,x,x
11.438,3.105.173,4.023.244,2.133.660,x,x
11.538,3.132.555,4.025.680,2.136.096,x,x
11.638,3.159.840,4.028.160,2.138.580,x,x
11.739,3.186.996,4.030.668,2.141.072,x,x
11.839,3.214.408,4.033.188,2.143.584,x,x
11.939,3.241.619,4.035.664,2.146.060,x,x
12.040,3.268.864,4.038.240,2.148.640,x,x
12.140,3.296.094,4.040.836,2.151.236,x,x
12.240,3.323.414,4.043.428,2.153.828,x,x
12.341,3.350.759,4.045.944,2.156.328,x,x
12.441,3.378.135,4.048.460,2.158.840,x,x
12.541,3.405.279,4.050.972,2.161.336,x,x
12.642,3.432.509,4.053.476,2.163.844,x,x
12.742,3.459.776,4.056.044,2.166.412,x,x
12.842,3.487.045,4.058.656,2.169.036,x,x
12.943,3.514.192,4.061.132,2.171.516,x,x
13.043,3.541.443,4.063.616,2.174.000,x,x
13.143,3.568.609,4.066.140,2.176.524,x,x
13.244,3.595.899,4.068.624,2.179.008,x,x
13.344,3.623.033,4.071.100,2.181.488,x,x
13.444,3.650.026,4.073.588,2.183.980,x,x
13.545,3.677.287,4.076.196,2.186.596,x,x
13.645,3.704.549,4.078.724,2.189.116,x,x
13.745,3.731.911,4.081.120,2.191.508,x,x
13.846,3.759.006,4.083.608,2.194.004,x,x
13.946,3.786.304,4.086.080,2.196.484,x,x
14.046,3.813.483,4.088.580,2.198.996,x,x
14.147,3.840.764,4.091.056,2.201.460,x,x
14.247,3.868.049,4.093.384,2.203.792,x,x
14.347,3.895.424,4.095.948,2.206.364,x,x
14.448,3.922.825,4.098.472,2.208.904,x,x
14.548,3.950.064,4.100.912,2.211.344,x,x
14.648,3.977.398,4.103.484,2.213.908,x,x
14.748,4.004.538,4.105.992,2.216.416,x,x
14.849,4.031.744,4.108.460,2.218.876,x,x
14.949,4.059.104,4.111.016,2.221.424,x,x
15.049,4.086.464,4.113.592,2.223.996,x,x
15.150,4.113.764,4.116.224,2.226.616,x,x
15.250,4.140.796,4.118.692,2.229.104,x,x
15.350,4.167.930,4.121.156,2.231.576,x,x
15.451,4.195.048,4.123.648,2.234.068,x,x
15.551,4.222.354,4.126.224,2.236.640,x,x
15.651,4.249.669,4.128.600,2.239.012,x,x
15.752,4.276.958,4.131.080,2.241.496,x,x
15.852,4.304.181,4.133.528,2.243.940,x,x
15.952,4.331.336,4.136.024,2.246.448,x,x
16.053,4.358.490,4.138.568,2.248.984,x,x
16.153,4.385.864,4.141.040,2.251.488,x,x
16.253,4.413.240,4.143.500,2.253.916,x,x
16.354,4.440.543,4.146.032,2.256.452,x,x
16.454,4.467.672,4.148.548,2.258.968,x,x
16.554,4.494.860,4.151.004,2.261.416,x,x
16.655,4.522.037,4.153.456,2.263.872,x,x
16.755,4.549.019,4.156.080,2.266.492,x,x
16.855,4.576.113,4.158.568,2.268.980,x,x
16.956,4.603.346,4.161.160,2.271.576,x,x
17.056,4.630.675,4.163.700,2.274.116,x,x
17.156,4.658.023,4.166.252,2.276.688,x,x
17.257,4.685.187,4.168.784,2.279.192,x,x
17.357,4.712.493,4.171.340,2.281.748,x,x
17.457,4.739.625,4.173.912,2.284.316,x,x
17.558,4.766.815,4.176.440,2.286.864,x,x
17.658,4.793.950,4.179.004,2.289.412,x,x
17.758,4.821.191,4.181.416,2.291.828,x,x
17.859,4.848.347,4.183.932,2.294.336,x,x
17.959,4.875.578,4.186.460,2.296.872,x,x
18.059,4.902.709,4.188.976,2.299.380,x,x
18.159,4.929.959,4.191.544,2.301.936,x,x
18.260,4.957.108,4.194.032,2.304.424,x,x
18.360,4.984.305,4.196.404,2.306.788,x,x
18.461,5.011.416,4.198.860,2.309.252,x,x
18.561,5.038.359,4.201.392,2.311.784,x,x
18.663,5.066.237,4.203.888,2.314.276,x,x
18.764,5.093.383,4.206.328,2.316.728,x,x
18.864,5.120.550,4.208.868,2.319.272,x,x
18.964,5.147.719,4.211.476,2.321.868,x,x
19.065,5.174.848,4.213.932,2.324.344,x,x
19.165,5.201.895,4.216.508,2.326.916,x,x
19.265,5.229.038,4.219.100,2.329.504,x,x
19.366,5.256.155,4.221.688,2.332.080,x,x
19.466,5.283.459,4.224.128,2.334.512,x,x
19.566,5.310.580,4.226.544,2.336.932,x,x
19.667,5.337.785,4.228.948,2.339.344,x,x
19.767,5.365.055,4.231.344,2.341.764,x,x
19.867,5.392.336,4.233.868,2.344.292,x,x
19.968,5.419.610,4.236.332,2.346.728,x,x
20.068,5.446.914,4.238.856,2.349.252,x,x
20.168,5.474.091,4.241.456,2.351.840,x,x
20.269,5.501.489,4.243.996,2.354.400,x,x
20.369,5.528.665,4.246.444,2.356.836,x,x
20.469,5.555.870,4.248.852,2.359.248,x,x
20.570,5.583.054,4.251.380,2.361.784,x,x
20.670,5.610.247,4.253.920,2.364.308,x,x
20.770,5.637.483,4.256.300,2.366.720,x,x
20.871,5.664.656,4.258.736,2.369.144,x,x
20.971,5.691.864,4.261.276,2.371.660,x,x
21.071,5.719.059,4.263.844,2.374.256,x,x
21.172,5.746.320,4.266.284,2.376.668,x,x
21.272,5.773.446,4.268.776,2.379.148,x,x
21.372,5.800.749,4.271.192,2.381.556,x,x
21.473,5.827.892,4.273.752,2.384.128,x,x
21.573,5.854.903,4.276.132,2.386.512,x,x
21.673,5.882.027,4.278.544,2.388.920,x,x
21.773,5.909.128,4.281.020,2.391.412,x,x
21.874,5.936.281,4.283.408,2.393.796,x,x
21.974,5.963.433,4.285.996,2.396.380,x,x
22.074,5.990.653,4.288.428,2.398.820,x,x
22.175,6.017.861,4.290.908,2.401.296,x,x
22.275,6.045.149,4.293.416,2.403.800,x,x
22.375,6.072.292,4.295.876,2.406.252,x,x
22.476,6.099.504,4.298.244,2.408.616,x,x
22.576,6.126.910,4.300.592,2.410.976,x,x
22.676,6.154.150,4.303.164,2.413.564,x,x
22.777,6.181.311,4.305.768,2.416.156,x,x
22.877,6.208.533,4.308.188,2.418.584,x,x
22.977,6.235.809,4.310.816,2.421.204,x,x
23.078,6.263.143,4.313.256,2.423.664,x,x
