start_ns,end_ns
1249641,1896839
3634605,3963745
3854936,3951617
4278120,4874119
4512952,4776622
8208894,8365903
8894156,9372956
11025581,11448674
13697723,14373231
14593661,14752697
15582687,15906325
15837428,15994630
19622586,19735041
20781783,21318260
20861360,20944571
21148997,21351147
21341007,21856876
23362287,23476573
25208297,25309867
27403894,27483707
27689130,27899472
28925665,33693845
29152710,29598113
33557885,33628733
33651420,33842366
33809415,34057509
34831658,35417727
35550468,35905638
36990891,37063665
37601610,37749825
37907020,38242231
37908951,38100143
38405971,39091219
38436735,38975456
40518119,40784865
41247662,41342284
41388451,41666102
41462085,41732743
43576299,43896801
44283696,44847889
46742581,46868875
47418713,47520887
47911176,48430682
47920449,48307698
47995825,51649338
49532933,49599430
55114920,55163473
55668401,55721687
56775098,57360395
62557264,62649689
63113266,63228232
63460491,63628495
63649576,63951098
64102908,64442671
64375417,64485025
66185397,66396039
69781278,69885626
72487542,72720909
72989003,73086817
76493476,76685061
77685936,77749328
80273461,80657084
82276530,82378628
84531437,84739739
84813884,90587834
85579217,85884049
87267909,87625942
89252560,89409845
90972220,91244741
92572728,92775507
93273825,93356153
94552491,94687856
94704025,95046477
95459030,95604341
96079261,96411633
96437626,96529992
96685223,97083087
97305922,97378240
97395929,97585376
97540421,97929799
97601622,97945512
99841905,100140963
101437378,101595351
101738837,102027879
103040605,103105722
103298056,103464795
103639889,103910140
103831629,104144089
106499193,106602481
106692163,106844159
108419334,108459642
111045922,111162683
113303825,113338570
115265195,115384401
116072157,116368136
119160298,119408794
119777844,120124367
121480206,121680214
121813267,121955132
122777774,123073762
123287211,123615052
124006396,124081764
126492782,126695294
126941248,127172891
127331555,131471449
127788414,127913491
130612506,130856649
130984272,131229409
131560027,131673602
132500642,132635401
132538417,132646133
133535104,134201858
135983151,136081468
136773474,136959257
137027673,137129469
138090424,138125929
138918896,139279881
139990559,140112324
142373875,142679887
144929554,145375988
144996438,145380127
145055843,145170464
145243451,145604974
146471252,146579907
151881645,152099697
152091790,152155235
152259676,152379112
152525677,152889579
153704394,153829055
154237994,154541947
154348302,154506107
154893821,155431503
156278867,156457315
158132434,158505947
158528493,158614879
160413479,160490670
163880053,164079529
163930681,164207651
165510244,165716165
167068930,167141810
169374360,169533007
169520633,169680462
169906377,170188265
170401880,170460644
171438603,171589968
171708548,171828632
171864660,172024276
173155345,173297707
174136331,174275222
175107729,175362197
176271787,176763507
178507851,178966485
178719681,178957438
179123864,179186303
179575364,179713977
179908950,179989971
179995472,180217841
180916444,181288791
181253633,181354824
183086989,183336423
183504195,183586425
184837459,184872209
185297122,185360942
187828833,187956765
187856701,187978586
188173510,188754579
188355200,188415608
190593353,190896251
191692937,191826424
192679475,193115518
193196477,193311397
193646087,193849844
194355094,194466531
194435711,194664012
195301467,195641977
195365272,195487638
195918863,196052033
197352337,197488770
197991043,198051209
200720979,200810456
200809149,200881784
202103881,202150296
202160021,202214545
204573971,204618461
204917022,205060257
205330331,205411424
206957348,207199802
208079190,208271229
208561992,208718098
209614121,209736513
209769951,209808006
210583391,210692047
210694053,210874820
211355382,211643614
212697895,212897744
212886126,212940959
213535583,213647117
214166210,214556446
215876097,216187544
217460806,217689253
218604320,218666964
218704879,218919105
219151879,219223432
219341208,219559769
219447040,224319134
220995543,221216640
221108293,221253981
221467618,221585749
223313723,223517835
228168005,228200191
228175875,233245496
229906857,230117502
230309367,230724500
230695325,230792833
231077679,231332139
233137032,233507526
233214609,233286143
233697319,233742917
234281590,234543223
236622644,236858738
238330549,238513186
238645807,238752719
240398675,240439998
243418509,243534979
244167026,244355612
245304387,245561568
245912427,246317729
248382724,248633864
249549134,249954271
249950795,250044021
253232929,253348591
253977194,254176303
254015319,254117289
254324823,254496947
254695975,254863394
257212425,257332086
257782888,257949179
258269911,258316809
258363340,258457173
258616802,258900133
259731470,259872627
261169561,261559128
264203983,264554367
264493075,264573390
265629681,265725550
266475035,266732206
266505677,266867917
266883890,266963217
268762284,268914877
269077696,269159158
269517423,269550639
269922207,270057941
270058769,270215056
270395710,270499567
270822718,270924942
272759077,273215803
273507844,273712587
273773730,273855078
274486810,274862211
274632207,274689517
274693454,275014586
275524803,275589229
276384056,276614119
276632687,276726005
277088070,277314927
280272221,280589660
282625672,282808654
284360322,284684046
287367507,293144312
287839927,287883179
287966010,288167075
288794385,288886655
288799012,289071845
289573822,289734287
290261649,290318984
292334258,292656947
292349755,292459751
296811907,296947370
297798653,297947510
299447907,305128056
301574293,301781742
301933758,301988737
303320404,303364713
303852058,304290593
304380677,304557776
305148623,305272186
305593885,305755769
306016736,306281797
306350584,306405166
308410776,308468447
311774198,311966539
312108613,312281265
313576375,313704130
314102919,314287635
314255500,314419033
314620525,314879614
316270431,316404163
317197912,317321016
320121354,320206415
320860688,320982531
321932515,322371758
322162737,322308499
323536717,323658839
324383138,324607866
325444287,325602057
329161867,329592617
334119172,334203805
334458250,334653763
337769643,337838820
339498089,339556502
341465978,341509047
342529725,342733395
343132971,343274057
344778672,349160154
344960616,345130076
345270008,345445747
349408492,349531143
350140918,350193339
351202621,351250547
352501176,352738007
352696147,352821202
353152695,353359717
353712083,353871818
354683889,355130693
355463630,355651058
356775956,356859499
356825061,357107233
357267738,357587669
357508565,357968394
358103423,358433609
359632724,359779550
359700852,359829303
360861109,361143540
