elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.116.372,177.308,x,x
103,409,2.237.320,177.334,x,x
206,760,2.278.428,177.361,x,x
309,1.150,2.319.984,177.388,x,x
413,1.569,2.359.348,177.415,x,x
517,2.052,2.403.352,173.659,x,x
621,2.453,2.429.260,173.687,x,x
725,2.901,2.447.204,173.713,x,x
829,3.437,2.454.068,173.739,x,x
933,3.969,2.456.112,173.762,x,x
1.037,4.593,2.458.608,173.788,x,x
1.141,5.046,2.460.756,173.818,x,x
1.245,5.501,2.462.760,173.846,x,x
1.349,6.013,2.464.796,173.874,x,x
1.453,6.475,2.466.608,173.901,x,x
1.556,6.999,2.468.456,173.925,x,x
1.660,7.523,2.469.196,173.952,x,x
1.764,8.071,2.470.168,173.980,x,x
1.868,8.615,2.470.480,174.006,x,x
1.972,9.123,2.470.480,174.033,x,x
2.076,9.701,2.471.424,174.061,x,x
2.180,10.115,2.472.596,174.088,x,x
2.284,10.743,2.473.172,174.112,x,x
2.388,11.315,2.473.172,174.137,x,x
2.492,11.880,2.473.216,174.163,x,x
2.596,12.348,2.473.224,174.191,x,x
2.700,12.926,2.473.224,174.218,x,x
2.804,13.442,2.473.224,174.243,x,x
2.908,13.895,2.473.352,174.272,x,x
3.012,14.552,2.473.812,174.294,x,x
3.116,15.164,2.475.008,174.317,o,x
3.220,15.660,2.494.012,174.345,x,o
3.324,15.888,2.494.628,170.595,x,o
3.428,16.132,2.494.840,170.619,x,o
3.532,16.352,2.494.840,170.645,x,o
3.636,16.534,2.494.840,170.664,x,o
3.740,16.772,2.495.032,170.685,x,o
3.844,17.010,2.495.040,170.710,x,o
3.948,17.236,2.495.316,170.735,x,o
4.052,17.503,2.495.408,170.758,x,o
4.156,17.765,2.495.940,170.783,x,o
4.260,17.999,2.495.940,170.805,x,o
4.364,18.237,2.495.940,170.829,x,o
4.468,18.493,2.495.940,170.855,x,o
4.572,18.751,2.495.940,170.877,x,o
4.676,19.000,2.495.944,170.899,x,o
4.780,19.260,2.496.796,170.923,x,o
4.884,19.496,2.497.160,170.943,x,o
4.989,19.806,2.498.052,170.968,x,o
5.093,20.060,2.498.536,170.991,x,o
5.197,20.286,2.498.768,171.012,x,o
5.301,20.575,2.499.168,171.036,x,o
5.405,20.833,2.499.216,171.063,x,o
5.509,21.096,2.499.216,171.088,x,o
5.613,21.343,2.499.220,171.112,x,o
5.717,21.592,2.499.220,171.139,x,o
5.821,21.853,2.499.220,171.161,x,o
5.925,22.120,2.499.220,171.188,x,o
6.029,22.397,2.499.220,171.211,x,o
6.133,22.637,2.499.220,171.233,x,o
6.237,22.880,2.499.220,171.253,x,o
6.341,23.151,2.499.224,171.522,x,o
6.445,23.356,2.499.504,167.519,x,o
6.549,23.610,2.499.568,167.545,x,o
6.653,23.871,2.499.672,167.571,x,o
6.757,24.122,2.499.696,167.598,x,o
6.861,24.374,2.499.856,167.625,x,o
6.965,24.629,2.499.984,167.649,x,o
7.069,24.860,2.500.024,167.875,x,o
7.173,25.099,2.501.132,163.923,x,o
7.277,25.387,2.501.392,163.949,x,o
7.381,25.643,2.501.696,164.236,x,o
7.485,25.874,2.502.492,156.445,x,o
7.590,26.090,2.502.556,156.466,x,o
7.694,26.371,2.502.556,156.486,x,o
7.798,26.649,2.502.660,156.509,x,o
7.902,26.875,2.502.908,152.757,x,o
8.006,27.158,2.503.396,152.779,x,o
8.110,27.410,2.503.960,152.806,x,o
8.214,27.671,2.503.996,152.828,x,o
8.316,27.919,2.504.024,152.850,x,o
8.420,28.183,2.504.112,152.875,x,o
8.524,28.454,2.504.356,152.898,x,o
8.628,28.674,2.504.580,152.920,x,o
8.732,28.917,2.504.920,152.941,x,o
8.836,29.143,2.505.048,152.966,x,o
8.940,29.401,2.505.240,152.988,x,o
9.044,29.613,2.505.628,153.009,x,o
9.148,29.819,2.505.632,153.032,x,o
9.252,30.093,2.505.968,153.059,x,o
9.356,30.364,2.505.968,153.082,x,o
9.460,30.621,2.505.976,153.103,x,o
9.564,30.877,2.506.132,153.125,x,o
9.668,31.161,2.506.132,153.150,x,o
9.772,31.463,2.506.148,153.176,x,o
9.876,31.736,2.506.868,153.197,x,o
9.980,31.966,2.507.060,149.441,x,o
10.084,32.222,2.508.120,149.468,x,o
10.188,32.449,2.508.120,149.490,x,o
10.292,32.712,2.508.252,149.512,x,o
10.396,32.985,2.508.544,145.760,x,o
10.500,33.269,2.508.548,145.785,x,o
10.604,33.503,2.508.692,145.804,x,o
10.708,33.720,2.508.808,145.827,x,o
10.812,33.968,2.508.812,145.849,x,o
10.916,34.226,2.508.836,145.871,x,o
11.020,34.460,2.508.908,145.889,x,o
11.124,34.758,2.508.976,145.910,x,o
11.228,34.996,2.509.036,145.931,x,o
11.332,35.293,2.509.956,145.956,x,o
11.436,35.552,2.510.468,145.981,x,o
11.538,35.808,2.510.504,146.002,x,o
11.642,36.054,2.510.616,146.023,x,o
11.746,36.311,2.510.996,146.046,x,o
11.850,36.568,2.511.380,146.069,x,o
11.954,36.814,2.511.728,146.095,x,o
12.058,37.093,2.512.064,146.120,x,o
12.162,37.353,2.512.068,146.144,x,o
12.266,37.596,2.512.096,146.164,x,o
12.370,37.828,2.512.112,146.184,x,o
12.474,38.108,2.512.120,146.206,x,o
12.578,38.410,2.512.120,146.227,x,o
12.682,38.667,2.512.120,146.252,x,o
12.786,38.931,2.512.128,146.275,x,o
12.890,39.167,2.512.128,146.299,x,o
12.994,39.436,2.512.132,146.320,x,o
13.097,39.736,2.512.132,146.342,x,o
13.201,39.982,2.512.132,146.362,x,o
13.305,40.236,2.512.132,146.383,x,o
13.409,40.504,2.512.256,146.407,x,o
13.513,40.773,2.512.256,146.429,x,o
13.617,41.028,2.512.548,142.678,x,o
13.721,41.259,2.512.548,142.695,x,o
13.825,41.529,2.512.548,142.714,x,o
13.929,41.772,2.512.548,142.740,x,o
14.033,42.004,2.512.568,142.760,x,o
14.137,42.289,2.512.592,142.786,x,o
14.241,42.531,2.512.612,142.810,x,o
14.345,42.775,2.512.640,142.834,x,o
14.449,43.014,2.512.668,142.857,x,o
14.553,43.307,2.512.708,142.878,x,o
14.658,43.585,2.512.728,142.899,x,o
14.762,43.835,2.512.748,142.919,x,o
14.866,44.105,2.512.952,142.943,x,o
14.970,44.328,2.513.340,142.964,x,o
15.074,44.620,2.513.720,142.990,x,o
15.178,44.899,2.513.756,143.012,x,o
15.282,45.157,2.513.792,143.036,x,o
15.386,45.432,2.513.824,143.061,x,o
15.490,45.669,2.513.832,143.088,x,o
15.594,45.934,2.513.860,143.114,x,o
15.699,46.145,2.513.880,143.132,x,o
15.802,46.366,2.514.172,139.374,x,o
15.906,46.640,2.514.172,139.400,x,o
16.010,46.906,2.514.172,139.423,x,o
16.115,47.167,2.514.196,139.445,x,o
16.218,47.433,2.514.200,139.467,x,o
16.322,47.706,2.514.448,139.486,x,o
16.427,47.933,2.515.368,139.511,x,o
16.530,48.135,2.515.652,139.531,x,o
16.635,48.405,2.515.864,139.555,x,o
16.739,48.650,2.516.020,139.572,x,o
16.842,48.896,2.516.024,139.593,x,o
16.946,49.174,2.516.036,139.616,x,o
17.050,49.449,2.516.048,139.638,x,o
17.154,49.678,2.516.048,139.660,x,o
17.258,49.957,2.516.156,140.597,x,o
17.363,50.145,2.515.644,139.701,x,o
17.467,50.411,2.516.484,139.725,x,o
17.570,50.658,2.516.636,139.747,x,o
17.674,50.900,2.516.640,139.769,x,o
17.778,51.131,2.516.652,139.792,x,o
17.882,51.370,2.516.660,139.814,x,o
17.986,51.657,2.516.660,139.838,x,o
18.090,51.905,2.516.660,139.857,x,o
18.194,52.145,2.516.680,139.878,x,o
18.298,52.421,2.516.696,139.905,x,o
18.402,52.727,2.516.712,139.926,x,o
18.506,52.989,2.516.732,139.948,x,o
18.610,53.270,2.516.736,139.970,x,o
18.714,53.529,2.516.736,139.996,x,o
18.818,53.771,2.517.024,140.166,x,o
18.922,54.045,2.517.292,141.891,x,o
19.026,54.237,2.517.224,140.066,x,o
19.130,54.496,2.517.288,140.086,x,o
19.234,54.710,2.517.316,140.108,x,o
19.338,54.954,2.517.592,140.129,x,o
19.442,55.220,2.517.604,140.152,x,o
19.546,55.474,2.517.620,140.172,x,o
19.650,55.737,2.517.640,140.197,x,o
19.754,55.999,2.517.664,141.083,x,o
19.858,56.145,2.517.312,140.239,x,o
19.962,56.448,2.517.944,140.262,x,o
20.066,56.644,2.517.960,140.289,x,o
20.170,56.865,2.517.992,140.308,x,o
20.274,57.120,2.518.024,140.328,x,o
20.377,57.353,2.518.064,140.353,x,o
20.481,57.651,2.518.104,141.876,x,o
20.585,57.839,2.518.228,140.391,x,o
20.689,58.106,2.518.360,140.414,x,o
20.793,58.396,2.518.360,140.436,x,o
20.897,58.643,2.518.360,140.870,x,o
21.001,58.898,2.518.584,142.333,x,o
21.104,59.149,2.518.876,140.507,x,o
21.208,59.412,2.518.888,140.527,x,o
21.311,59.652,2.519.420,140.547,x,o
21.414,59.872,2.519.500,141.305,x,o
21.518,60.021,2.519.720,142.425,x,o
21.622,60.253,2.519.792,142.450,x,o
21.726,60.396,2.519.980,136.840,x,o
21.829,60.636,2.520.108,136.860,x,o
21.933,60.906,2.520.108,136.883,x,o
22.037,61.169,2.520.108,136.908,x,o
22.141,61.471,2.520.108,136.934,x,o
22.244,61.694,2.520.108,136.957,x,o
22.348,61.976,2.520.376,133.204,x,o
22.452,62.203,2.520.648,129.450,x,o
22.556,62.439,2.520.648,129.471,x,o
22.659,62.710,2.520.648,129.495,x,o
22.763,62.956,2.520.648,129.517,x,o
22.867,63.216,2.520.648,129.537,x,o
22.971,63.474,2.520.648,129.559,x,o
23.074,63.590,2.520.648,129.578,x,o
23.178,63.747,2.520.648,129.589,x,o
23.282,63.868,2.520.648,129.600,x,o
23.385,64.059,2.520.648,129.613,x,o
23.489,64.244,2.520.648,129.628,x,o
23.593,64.349,2.520.648,129.640,x,o
23.696,64.462,2.520.648,129.651,x,o
23.800,64.610,2.520.648,129.664,x,o
23.903,64.741,2.520.648,129.675,x,o
24.007,64.898,2.520.928,129.688,x,o
24.111,65.089,2.520.928,129.705,x,o
24.214,65.203,2.520.928,129.715,x,o
24.318,65.326,2.520.928,129.726,x,o
24.421,65.479,2.520.928,129.740,x,o
24.524,65.614,2.520.928,129.752,x,o
24.628,65.781,2.521.076,129.767,x,o
24.732,65.914,2.521.076,129.779,x,o
24.835,66.021,2.521.524,131.633,x,o
24.939,66.021,2.521.524,131.633,x,o
25.042,66.021,2.521.524,131.633,x,o
25.146,66.021,2.521.524,131.633,x,o
25.249,66.021,2.521.524,131.633,x,o
25.353,66.021,2.521.524,131.633,x,o
25.456,66.021,2.521.524,131.633,x,o
25.560,66.021,2.521.524,131.633,x,o
25.664,66.021,2.521.524,131.633,x,o
25.767,66.069,2.521.932,131.640,x,o
25.871,66.135,2.520.868,129.804,x,o
25.974,66.273,2.521.908,129.816,x,o
26.078,66.436,2.522.256,129.828,x,o
26.181,66.564,2.522.736,129.842,x,o
26.285,66.684,2.522.844,129.855,x,o
26.388,66.835,2.522.844,129.869,x,o
26.492,66.943,2.523.052,129.881,x,o
26.596,67.091,2.523.264,129.895,x,o
26.699,67.262,2.523.264,129.909,x,o
26.803,67.373,2.523.264,129.917,x,o
26.906,67.493,2.523.284,129.931,x,o
27.010,67.650,2.523.436,129.944,x,o
27.114,67.781,2.523.500,129.956,x,o
27.217,67.875,2.523.688,129.963,x,o
27.321,67.952,2.523.688,129.970,x,o
27.424,68.044,2.523.688,129.982,x,o
27.528,68.183,2.523.688,129.993,x,o
27.631,68.279,2.523.724,130.004,x,o
27.735,68.392,2.523.724,130.015,x,o
27.839,68.509,2.523.724,130.030,x,o
27.942,68.614,2.523.848,130.042,x,o
28.046,68.675,2.523.848,130.048,x,o
28.149,68.737,2.523.892,130.054,x,o
28.253,68.830,2.523.908,130.060,x,o
