elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.045.768,177.308,x,x
103,1.267,2.258.584,177.396,x,x
206,3.721,2.384.092,173.758,x,x
309,6.980,2.390.356,173.937,x,x
413,10.222,2.394.880,174.109,x,x
516,13.546,2.397.644,174.281,x,x
620,16.781,2.399.660,170.672,x,x
724,19.849,2.402.608,170.862,x,x
828,23.016,2.402.944,171.156,x,x
932,26.082,2.404.984,163.684,x,x
1.034,29.096,2.406.072,160.049,x,x
1.137,32.263,2.406.364,156.442,x,x
1.241,35.298,2.407.932,152.823,x,x
1.345,38.452,2.409.592,152.972,x,x
1.449,41.514,2.409.668,153.127,x,x
1.553,44.672,2.410.660,153.286,x,x
1.657,47.838,2.410.712,153.455,x,x
1.761,50.854,2.411.052,150.118,x,x
1.864,54.000,2.411.288,146.229,x,x
1.968,57.174,2.411.500,146.384,x,x
2.072,60.099,2.411.792,142.777,x,x
2.176,63.245,2.412.212,142.921,x,x
2.280,66.346,2.412.524,143.077,x,x
2.384,69.476,2.412.840,143.222,x,x
2.488,72.518,2.412.840,143.386,x,x
2.592,75.595,2.413.388,143.544,x,x
2.696,78.665,2.413.444,143.717,x,x
2.799,81.750,2.413.996,143.866,x,x
2.903,84.860,2.414.588,144.039,x,x
3.007,87.938,2.416.388,144.207,x,x
3.111,90.948,2.416.464,144.369,x,x
3.215,93.947,2.416.996,144.531,x,x
3.319,96.994,2.417.448,144.950,x,x
3.423,100.031,2.418.416,141.087,x,x
3.527,102.975,2.418.752,137.452,x,x
3.631,106.033,2.418.860,137.618,x,x
3.735,108.930,2.419.156,134.009,x,x
3.839,111.967,2.419.652,134.166,x,x
3.942,114.903,2.420.552,134.337,x,x
4.046,117.756,2.420.924,134.524,x,x
4.150,120.784,2.420.924,134.673,x,x
4.254,123.794,2.421.352,134.819,x,x
4.358,126.781,2.421.396,134.990,x,x
4.462,129.779,2.422.792,132.090,x,x
4.566,132.802,2.423.080,133.358,x,x
4.670,135.808,2.425.120,135.367,x,x
4.774,138.805,2.427.252,137.368,x,x
4.877,141.732,2.427.716,135.660,x,x
4.981,144.749,2.427.716,136.073,x,x
5.085,147.769,2.428.592,132.195,x,x
5.188,150.739,2.429.092,133.929,x,x
5.292,153.798,2.429.012,132.510,x,x
5.396,156.764,2.429.520,132.688,x,x
5.500,159.777,2.429.860,134.692,x,x
5.604,162.663,2.430.160,129.240,x,x
5.708,165.710,2.430.224,129.396,x,x
5.812,168.747,2.430.816,131.396,x,x
5.916,171.589,2.431.404,131.131,x,x
6.019,174.722,2.432.204,129.853,x,x
6.123,177.687,2.432.204,130.030,x,x
6.227,180.616,2.432.440,130.200,x,x
6.331,183.701,2.432.516,130.358,x,x
6.434,186.777,2.432.904,126.797,x,x
6.538,189.707,2.433.168,123.135,x,x
6.642,192.633,2.433.168,123.311,x,x
6.746,195.610,2.433.696,116.119,x,x
6.849,198.587,2.434.148,117.909,x,x
6.953,201.617,2.436.508,119.904,x,x
7.057,204.482,2.436.676,118.231,x,x
7.161,207.413,2.436.940,114.602,x,x
7.265,210.401,2.437.068,116.260,x,x
7.368,213.325,2.437.404,114.894,x,x
