elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.871.960,1.982.128,x,x
101,168,3.873.588,1.982.136,x,x
202,294,3.873.684,1.982.148,x,x
304,453,3.873.736,1.982.180,x,x
405,498,3.873.756,1.982.196,x,x
507,587,3.873.780,1.982.212,x,x
608,662,3.873.800,1.982.224,x,x
710,799,3.873.840,1.982.252,x,x
811,823,3.873.844,1.982.252,x,x
913,953,3.873.868,1.982.260,x,x
1.014,1.024,3.873.888,1.982.276,x,x
1.116,1.119,3.873.908,1.982.288,x,x
1.217,1.253,3.873.924,1.982.304,x,x
1.319,1.343,3.873.936,1.982.324,x,x
1.421,1.604,3.873.968,1.982.336,x,x
1.522,1.749,3.873.992,1.982.364,x,x
1.624,1.828,3.874.004,1.982.376,x,x
1.725,1.972,3.874.028,1.982.400,x,x
1.827,2.026,3.874.040,1.982.412,x,x
1.929,2.078,3.874.048,1.982.424,x,x
2.030,2.372,3.874.108,1.982.444,x,x
2.132,2.438,3.874.128,1.982.460,x,x
2.233,2.544,3.874.148,1.982.480,x,x
2.335,2.791,3.874.176,1.982.496,x,x
2.436,2.896,3.874.200,1.982.516,x,x
2.538,3.102,3.874.212,1.982.532,x,x
2.640,3.384,3.874.240,1.982.560,x,x
2.741,3.575,3.874.268,1.982.576,x,x
2.843,3.784,3.874.288,1.982.588,x,x
2.944,3.960,3.874.300,1.982.600,x,x
3.046,4.072,3.874.312,1.982.616,x,x
3.147,4.299,3.874.328,1.982.640,x,x
3.249,4.644,3.874.356,1.982.648,x,x
3.351,4.729,3.874.372,1.982.664,x,x
3.452,4.892,3.874.376,1.982.684,x,x
3.554,4.970,3.874.384,1.982.696,x,x
3.655,5.020,3.874.384,1.982.708,x,x
3.757,5.252,3.874.428,1.982.724,x,x
3.858,5.337,3.874.436,1.982.744,x,x
3.960,5.430,3.874.448,1.982.756,x,x
4.061,5.534,3.874.476,1.982.760,x,x
4.163,5.646,3.874.488,1.982.776,x,x
4.265,6.024,3.874.528,1.982.808,x,x
4.366,6.496,3.874.580,1.982.860,x,x
4.468,6.952,3.874.628,1.982.908,x,x
4.569,7.496,3.874.688,1.982.956,x,x
4.671,7.951,3.874.736,1.983.012,x,x
4.773,8.586,3.874.796,1.983.052,x,x
4.874,9.032,3.874.824,1.983.104,x,x
4.976,9.655,3.874.872,1.983.148,x,x
5.078,10.097,3.874.932,1.983.200,x,x
5.179,10.712,3.874.968,1.983.252,x,x
5.281,11.386,3.875.028,1.983.300,x,x
5.383,11.901,3.875.084,1.983.344,x,x
5.484,12.337,3.875.128,1.983.400,x,x
5.586,12.918,3.875.172,1.983.460,x,x
5.688,13.418,3.875.220,1.983.500,x,x
5.789,13.877,3.875.268,1.983.552,x,x
5.891,14.444,3.875.308,1.983.608,x,x
5.993,15.185,3.875.360,1.983.640,x,x
6.094,15.700,3.875.404,1.983.684,x,x
6.196,16.125,3.875.456,1.983.740,x,x
6.297,16.719,3.875.524,1.983.784,x,x
6.399,17.154,3.875.560,1.983.836,x,x
6.501,17.651,3.875.624,1.983.880,x,x
6.602,18.136,3.875.672,1.983.940,x,x
6.704,18.502,3.875.720,1.983.984,x,x
6.805,19.022,3.875.776,1.984.032,x,x
6.907,19.404,3.875.812,1.984.104,x,x
7.009,19.931,3.875.884,1.984.144,x,x
7.110,20.500,3.875.916,1.984.192,x,x
7.212,21.061,3.875.956,1.984.248,x,x
7.313,21.598,3.876.008,1.984.304,x,x
7.415,22.060,3.876.072,1.984.348,x,x
7.517,22.592,3.876.120,1.984.400,x,x
7.618,23.154,3.876.184,1.984.448,x,x
7.720,23.599,3.876.232,1.984.496,x,x
7.822,24.092,3.876.284,1.984.548,x,x
7.923,24.565,3.876.332,1.984.596,x,x
8.025,25.146,3.876.384,1.984.644,x,x
8.127,25.584,3.876.420,1.984.700,x,x
8.228,25.935,3.876.484,1.984.752,x,x
8.330,26.378,3.876.528,1.984.800,x,x
8.431,26.831,3.876.584,1.984.860,x,x
8.533,27.290,3.876.624,1.984.916,x,x
8.635,27.671,3.876.668,1.984.968,x,x
8.736,28.115,3.876.744,1.985.024,x,x
8.838,28.846,3.876.800,1.985.056,x,x
8.940,29.383,3.876.848,1.985.108,x,x
9.041,30.015,3.876.884,1.985.164,x,x
9.143,30.580,3.876.944,1.985.216,x,x
9.245,31.112,3.877.000,1.985.260,x,x
9.346,31.704,3.877.048,1.985.316,x,x
9.448,32.075,3.877.104,1.985.368,x,x
9.549,32.581,3.877.152,1.985.420,x,x
9.651,33.167,3.877.204,1.985.468,o,x
9.753,33.473,3.879.448,1.985.500,x,o
9.854,33.693,3.879.480,1.985.544,x,o
9.956,33.886,3.879.540,1.985.600,x,o
10.058,34.133,3.879.584,1.985.636,x,o
10.159,34.369,3.879.628,1.985.684,x,o
10.261,34.612,3.879.664,1.985.724,x,o
10.362,34.834,3.879.704,1.985.748,x,o
10.464,35.044,3.879.740,1.985.800,x,o
10.566,35.282,3.879.796,1.985.840,x,o
10.667,35.512,3.879.828,1.985.884,x,o
10.769,35.758,3.879.880,1.985.928,x,o
10.870,35.984,3.879.920,1.985.956,x,o
10.972,36.227,3.879.948,1.986.012,x,o
11.074,36.461,3.880.004,1.986.052,x,o
11.175,36.700,3.880.040,1.986.080,x,o
11.277,36.926,3.880.068,1.986.120,x,o
11.379,37.177,3.880.108,1.986.152,x,o
11.480,37.400,3.880.144,1.986.176,x,o
11.582,37.611,3.880.188,1.986.232,x,o
11.683,37.834,3.880.208,1.986.248,x,o
11.785,38.048,3.880.264,1.986.292,x,o
11.887,38.287,3.880.300,1.986.328,x,o
11.988,38.496,3.880.320,1.986.368,x,o
12.090,38.696,3.880.372,1.986.400,x,o
12.191,38.887,3.880.404,1.986.432,x,o
12.293,39.119,3.880.428,1.986.456,x,o
12.394,39.369,3.880.460,1.986.500,x,o
12.496,39.592,3.880.496,1.986.544,x,o
12.598,39.840,3.880.524,1.986.572,x,o
12.699,40.066,3.880.564,1.986.600,x,o
12.801,40.313,3.880.600,1.986.632,x,o
12.903,40.518,3.880.636,1.986.672,x,o
13.004,40.718,3.880.672,1.986.708,x,o
13.106,41.019,3.880.700,1.986.728,x,x
13.207,41.598,3.880.724,1.986.776,x,x
13.309,42.157,3.880.756,1.986.820,x,x
13.410,42.591,3.880.804,1.986.852,x,x
13.512,43.234,3.880.860,1.986.884,x,x
13.614,43.920,3.880.884,1.986.920,x,x
13.715,44.324,3.880.932,1.986.980,x,x
13.817,44.873,3.880.988,1.987.020,x,x
13.919,45.356,3.881.024,1.987.080,x,x
14.020,45.896,3.881.076,1.987.128,x,x
14.122,46.280,3.881.136,1.987.180,x,x
14.223,46.786,3.881.208,1.987.232,x,x
14.325,47.442,3.881.248,1.987.284,x,x
14.427,48.018,3.881.288,1.987.332,x,x
14.528,48.437,3.881.332,1.987.372,x,x
14.630,48.900,3.881.376,1.987.424,x,x
14.731,49.398,3.881.432,1.987.472,x,x
14.833,49.964,3.881.480,1.987.524,x,x
14.935,50.401,3.881.532,1.987.576,x,x
15.036,50.897,3.881.584,1.987.636,x,x
15.138,51.417,3.881.652,1.987.676,x,x
15.240,51.821,3.881.704,1.987.732,x,x
15.341,52.381,3.881.748,1.987.780,x,x
15.443,53.028,3.881.800,1.987.832,x,x
