elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.158.328,190.155,x,x
103,76,2.368.116,179.089,x,x
205,196,2.503.940,167.506,x,x
307,313,2.570.484,167.506,x,x
411,430,2.618.756,167.517,x,x
514,524,2.634.828,167.528,x,x
618,621,2.672.636,167.528,x,x
720,740,2.697.948,167.539,x,x
824,869,2.715.468,167.547,x,x
927,997,2.717.248,167.556,x,x
1.031,1.116,2.732.364,167.565,x,x
1.134,1.218,2.754.384,167.575,x,x
1.238,1.329,2.763.316,167.586,x,x
1.341,1.461,2.764.608,167.586,x,x
1.445,1.612,2.770.484,167.594,x,x
1.548,1.722,2.778.808,167.594,x,x
1.652,1.845,2.813.560,167.603,x,x
1.755,1.965,2.811.832,167.603,x,x
1.859,2.105,2.816.980,163.840,x,x
1.962,2.247,2.817.040,163.850,x,x
2.066,2.387,2.823.368,163.858,x,x
2.169,2.534,2.825.836,163.870,x,x
2.273,2.684,2.834.404,163.870,x,x
2.377,2.816,2.840.636,163.880,x,x
2.480,2.947,2.839.100,163.890,x,x
2.584,3.065,2.843.792,163.902,x,x
2.687,3.215,2.847.276,163.912,x,x
2.791,3.364,2.854.144,163.912,x,x
2.894,3.492,2.869.288,163.922,x,x
2.998,3.597,2.876.864,163.922,x,x
3.101,3.744,2.894.552,163.931,x,x
3.205,3.851,2.896.536,163.943,x,x
3.308,4.041,2.903.824,163.943,x,x
3.412,4.165,2.919.404,163.953,x,x
3.515,4.299,2.925.400,163.964,x,x
3.619,4.490,2.925.100,163.964,x,x
3.722,4.644,2.924.616,163.976,x,x
3.826,4.804,2.923.728,163.976,x,x
3.929,4.938,2.928.840,163.984,x,x
4.033,5.057,2.928.840,163.994,x,x
4.137,5.164,2.927.928,164.000,x,x
4.240,5.317,2.932.316,164.006,x,x
4.344,5.442,2.926.672,164.017,x,x
4.447,5.549,2.926.692,164.017,x,x
4.551,5.693,2.928.604,164.028,x,x
4.654,5.809,2.939.520,164.039,x,x
4.757,5.939,2.941.396,164.048,x,x
4.861,6.089,2.941.396,164.058,x,x
4.964,6.244,2.941.396,164.058,x,x
5.068,6.367,2.942.900,164.792,x,x
5.171,6.500,2.941.168,164.075,x,x
5.275,6.619,2.942.616,164.085,x,x
5.378,6.767,2.942.680,164.085,x,x
5.482,6.925,2.942.108,164.097,x,x
5.585,7.045,2.941.520,164.106,x,x
5.689,7.159,2.950.528,164.106,x,x
5.792,7.323,2.953.160,164.116,x,x
5.896,7.478,2.953.160,164.116,x,x
5.999,7.609,2.953.160,164.128,x,x
6.103,7.724,2.954.304,164.128,x,x
6.206,7.840,2.962.596,164.136,x,x
6.310,7.978,2.961.448,164.144,x,x
6.413,8.109,2.959.756,164.148,x,x
6.517,8.232,2.959.216,164.155,x,x
6.620,8.357,2.959.216,164.163,x,x
6.724,8.495,2.959.216,164.173,x,x
6.827,8.659,2.959.216,164.183,x,x
6.931,8.842,2.959.216,164.183,x,x
7.034,8.985,2.959.216,164.194,x,x
7.138,9.117,2.958.548,164.205,x,x
7.241,9.242,2.959.712,164.205,x,x
7.345,9.364,2.964.004,164.213,x,x
7.448,9.504,2.963.376,164.223,x,x
7.552,9.655,2.962.740,164.223,x,x
7.655,9.816,2.957.292,164.236,x,x
7.758,9.935,2.958.568,164.246,x,x
7.861,10.114,2.958.596,164.246,x,x
7.965,10.240,2.957.408,164.267,x,x
8.068,10.388,2.956.152,164.267,x,x
8.172,10.533,2.954.180,164.277,x,x
8.275,10.681,2.954.180,164.277,x,x
8.379,10.791,2.962.628,164.285,x,x
8.482,10.923,2.973.764,164.285,x,x
8.586,11.069,2.969.092,164.293,x,x
8.689,11.227,2.964.772,164.303,x,x
8.793,11.359,2.964.928,166.195,x,x
8.896,11.545,2.963.856,164.326,x,x
9.000,11.730,2.960.200,164.334,x,x
9.103,11.872,2.966.312,164.342,x,x
9.207,12.022,2.970.104,164.351,x,x
9.310,12.204,2.970.336,164.351,x,x
9.414,12.374,2.969.688,164.363,x,x
9.517,12.511,2.962.220,164.375,x,x
9.621,12.624,2.962.392,164.385,x,x
9.724,12.788,2.962.504,164.385,x,x
9.828,12.942,2.962.504,164.385,x,x
9.931,13.059,2.972.304,164.395,x,x
10.035,13.156,2.972.304,164.408,x,x
10.138,13.299,2.970.612,164.408,x,x
10.242,13.447,2.970.612,164.418,x,x
10.345,13.596,2.968.660,164.429,x,x
10.449,13.770,2.967.436,164.429,x,x
10.552,13.893,2.965.808,164.441,x,x
10.655,14.003,2.958.472,164.454,x,x
10.759,14.177,2.958.472,164.454,x,x
10.862,14.357,2.957.868,164.464,x,x
10.966,14.524,2.957.868,164.464,x,x
11.069,14.653,2.960.756,164.471,x,x
11.173,14.768,2.960.892,164.484,x,x
11.276,14.967,2.960.332,164.484,x,x
11.380,15.140,2.957.424,164.492,x,x
11.483,15.282,2.955.692,164.501,x,x
11.587,15.484,2.955.204,164.503,x,x
11.691,15.609,2.957.268,164.515,x,x
11.794,15.761,2.963.940,164.515,x,x
11.898,15.887,2.968.260,160.749,x,x
12.001,16.050,2.968.560,160.761,x,x
12.105,16.194,2.968.560,160.771,x,x
12.208,16.348,2.968.200,160.782,x,x
12.312,16.453,2.967.236,160.793,x,x
12.415,16.584,2.967.236,160.793,x,x
12.519,16.758,2.967.236,160.804,x,x
12.622,16.937,2.966.792,160.804,x,x
12.726,17.099,2.966.792,160.815,x,x
12.829,17.232,2.966.792,160.827,x,x
12.933,17.375,2.966.792,160.827,x,x
13.036,17.531,2.966.792,160.838,x,x
13.140,17.634,2.966.792,160.850,x,x
13.243,17.770,2.966.792,160.850,x,x
13.347,17.914,2.966.792,160.860,x,x
13.450,18.040,2.966.792,160.871,x,x
13.554,18.152,2.966.792,160.882,x,x
13.657,18.273,2.966.792,160.892,x,x
13.761,18.425,2.966.792,160.892,x,x
13.864,18.551,2.966.792,160.901,x,x
13.968,18.697,2.968.348,160.912,x,x
14.071,18.846,2.968.348,160.912,x,x
14.174,18.984,2.967.904,160.923,x,x
14.278,19.111,2.971.784,160.932,x,x
14.381,19.271,2.971.784,160.942,x,x
14.484,19.416,2.971.784,160.945,x,x
14.587,19.589,2.970.992,162.626,x,x
14.691,19.707,2.970.564,161.832,x,x
14.794,19.842,2.969.680,161.231,x,x
14.898,19.989,2.971.000,162.838,x,x
15.001,20.089,2.971.100,162.855,x,x
15.105,20.210,2.971.464,162.595,x,x
15.208,20.330,2.971.012,161.931,x,x
15.311,20.462,2.964.568,161.420,x,x
15.415,20.626,2.965.792,162.903,x,x
15.518,20.767,2.965.960,162.922,x,x
15.621,20.898,2.966.064,163.207,x,x
15.724,21.006,2.965.764,161.742,x,x
15.828,21.152,2.968.180,163.062,x,x
15.931,21.315,2.971.316,164.832,x,x
16.032,21.419,2.971.260,164.778,x,x
16.135,21.488,2.971.128,163.488,x,x
16.239,21.558,2.971.640,164.882,x,x
16.342,21.726,2.971.876,164.892,x,x
16.445,21.836,2.970.480,164.294,x,x
16.548,21.952,2.969.632,163.750,x,x
16.651,22.118,2.969.868,163.220,x,x
16.754,22.302,2.971.536,164.953,x,x
16.857,22.485,2.971.708,164.972,x,x
16.959,22.619,2.971.748,163.127,x,x
17.061,22.764,2.971.748,163.127,x,x
17.164,22.889,2.971.748,163.638,x,x
17.267,22.990,2.971.892,164.996,x,x
17.370,23.132,2.971.936,165.018,x,x
17.473,23.247,2.971.656,165.037,x,x
17.576,23.347,2.973.868,166.131,x,x
17.678,23.446,2.973.076,165.117,x,x
17.781,23.571,2.974.528,166.922,x,x
17.884,23.660,2.974.392,166.684,x,x
17.987,23.718,2.974.016,166.079,x,x
18.089,23.835,2.973.572,165.543,x,x
18.192,23.975,2.974.516,167.238,x,x
18.295,24.094,2.974.460,166.994,x,x
18.397,24.206,2.974.436,162.100,x,x
18.500,24.295,2.973.284,161.480,x,x
18.602,24.418,2.974.856,163.256,x,x
18.705,24.551,2.975.632,163.541,x,x
18.807,24.683,2.975.336,161.441,x,x
18.910,24.824,2.975.656,163.423,x,x
19.012,24.958,2.975.096,157.698,x,x
19.114,25.105,2.975.928,157.698,x,x
19.217,25.231,2.975.928,157.707,x,x
19.319,25.382,2.974.764,157.718,x,x
19.422,25.520,2.974.764,157.729,x,x
19.524,25.639,2.974.764,157.740,x,x
19.627,25.775,2.976.240,157.740,x,x
19.729,25.887,2.976.240,157.747,x,x
19.831,25.993,2.976.240,157.759,x,x
19.934,26.083,2.976.240,157.759,x,x
20.036,26.232,2.988.040,157.769,x,x
20.139,26.364,2.988.008,157.778,x,x
20.241,26.502,2.988.008,157.912,x,x
20.343,26.655,2.988.272,154.011,x,x
20.445,26.805,2.987.396,154.021,x,x
20.548,26.948,2.987.396,154.031,x,x
20.650,27.130,2.983.928,154.043,x,x
20.753,27.317,2.983.928,154.055,x,x
20.855,27.452,2.983.928,154.055,x,x
20.957,27.606,2.983.928,154.063,x,x
21.060,27.741,2.983.928,154.074,x,x
21.162,27.884,2.983.316,154.085,x,x
21.265,28.026,2.983.316,154.085,x,x
21.367,28.198,2.983.316,154.094,x,x
21.469,28.340,2.983.316,154.717,x,x
21.572,28.459,2.978.988,155.957,x,x
21.674,28.613,2.978.176,154.115,x,x
21.777,28.742,2.978.176,154.129,x,x
21.879,28.890,2.978.176,154.140,x,x
21.981,29.031,2.978.176,155.575,x,x
22.084,29.215,2.977.664,154.152,x,x
22.186,29.356,2.978.112,154.162,x,x
22.289,29.502,2.978.176,154.162,x,x
22.391,29.637,2.978.176,154.170,x,x
22.493,29.776,2.978.176,154.182,x,x
22.596,29.930,2.978.176,154.193,x,x
22.698,30.107,2.978.176,154.203,x,x
22.800,30.268,2.978.176,154.214,x,x
22.903,30.447,2.978.176,154.214,x,x
23.005,30.606,2.978.176,155.293,x,x
23.107,30.676,2.978.316,156.353,x,x
23.210,30.842,2.978.180,154.234,x,x
23.312,30.990,2.978.180,154.246,x,x
23.415,31.113,2.976.128,150.479,x,x
23.516,31.269,2.976.192,150.489,x,x
23.619,31.418,2.976.192,150.498,x,x
23.721,31.573,2.976.192,150.509,x,x
23.823,31.701,2.976.192,150.518,x,x
23.926,31.849,2.976.192,150.530,x,x
24.028,31.962,2.976.192,150.540,x,x
24.131,32.084,2.976.192,150.540,x,x
24.233,32.221,2.976.192,150.549,x,x
24.335,32.359,2.976.192,150.559,x,x
24.438,32.494,2.976.192,150.559,x,x
24.540,32.651,2.976.192,150.569,x,x
24.642,32.781,2.976.192,150.580,x,x
24.745,32.915,2.976.192,150.592,x,x
24.847,33.073,2.976.192,150.603,x,x
24.949,33.219,2.976.192,150.612,x,x
25.052,33.373,2.976.192,151.639,x,x
25.153,33.425,2.976.192,152.741,x,x
25.256,33.542,2.976.136,150.632,x,x
25.358,33.667,2.983.772,150.641,x,x
25.460,33.799,2.983.772,150.641,x,x
25.563,33.925,2.987.008,150.915,x,x
25.665,34.104,2.987.292,146.875,x,x
25.767,34.262,2.986.112,146.886,x,x
25.870,34.414,2.986.112,146.896,x,x
25.972,34.596,2.986.112,146.896,x,x
26.074,34.756,2.988.408,146.906,x,x
26.177,34.897,2.992.852,146.916,x,x
26.279,35.075,2.992.852,146.916,x,x
26.381,35.235,2.992.132,148.435,x,x
26.484,35.389,2.990.192,146.939,x,x
26.586,35.559,2.991.536,146.939,x,x
26.688,35.698,2.991.240,146.950,x,x
26.791,35.818,2.991.240,146.957,x,x
26.893,35.947,2.999.116,146.957,x,x
26.996,36.080,2.999.144,146.968,x,x
27.098,36.181,2.999.144,146.980,x,x
27.200,36.367,2.999.148,146.980,x,x
27.303,36.487,2.999.148,146.990,x,x
27.405,36.629,2.999.148,146.990,x,x
27.507,36.783,2.999.148,147.004,x,x
27.610,36.920,2.998.712,147.014,x,x
27.712,37.040,3.005.728,147.021,x,x
27.815,37.144,3.005.728,147.032,x,x
27.917,37.273,3.004.596,147.032,x,x
28.019,37.427,3.003.652,147.043,x,x
28.122,37.537,3.000.064,147.043,x,x
28.224,37.683,2.992.432,147.054,x,x
28.326,37.826,2.990.676,147.062,x,x
28.429,37.982,2.990.676,149.183,x,x
28.531,38.079,2.990.144,147.075,x,x
28.633,38.229,2.990.400,147.075,x,x
28.736,38.361,2.990.400,147.084,x,x
28.838,38.500,2.990.400,147.096,x,x
28.940,38.624,2.983.756,147.096,x,x
29.043,38.807,2.983.756,147.108,x,x
29.145,38.948,2.985.704,147.117,x,x
29.248,39.083,2.985.888,147.118,x,x
29.350,39.231,2.985.888,147.130,x,x
29.452,39.401,2.985.888,147.139,x,x
29.555,39.543,2.985.888,147.139,x,x
29.657,39.676,2.985.888,147.151,x,x
29.759,39.800,2.985.888,147.162,x,x
29.862,39.925,2.986.824,147.170,x,x
29.963,40.041,2.986.844,147.182,x,x
