elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.824.732,1.935.856,x,x
101,168,3.830.068,1.935.860,x,x
202,340,3.832.060,1.935.880,x,x
303,462,3.831.704,1.935.912,x,x
405,586,3.832.336,1.935.940,x,x
506,697,3.834.896,1.935.940,x,x
608,800,3.839.160,1.935.960,x,x
710,875,3.840.776,1.935.980,x,x
811,1.003,3.832.364,1.935.992,x,x
913,1.106,3.832.124,1.936.016,x,x
1.014,1.226,3.838.152,1.936.016,x,x
1.116,1.324,3.838.804,1.936.048,x,x
1.217,1.402,3.832.056,1.936.072,x,x
1.319,1.601,3.834.048,1.936.072,x,x
1.421,1.691,3.837.516,1.936.104,x,x
1.522,1.919,3.832.368,1.936.120,x,x
1.624,2.074,3.837.296,1.936.124,x,x
1.725,2.187,3.835.100,1.936.152,x,x
1.827,2.334,3.841.132,1.936.168,x,x
1.928,2.400,3.832.032,1.936.208,x,x
2.030,2.581,3.837.340,1.936.208,x,x
2.131,2.731,3.838.128,1.936.216,x,x
2.233,2.832,3.832.080,1.936.232,x,x
2.335,2.968,3.832.376,1.936.252,x,x
2.436,3.150,3.832.528,1.936.272,x,x
2.537,3.293,3.838.416,1.936.280,x,x
2.638,3.453,3.836.484,1.936.292,x,x
2.740,3.522,3.839.168,1.936.308,x,x
2.842,3.741,3.832.280,1.936.324,x,x
2.943,3.906,3.833.800,1.936.324,x,x
3.045,4.091,3.843.560,1.936.352,x,x
3.146,4.279,3.841.444,1.936.368,x,x
3.248,4.436,3.832.904,1.936.372,x,x
3.349,4.616,3.832.548,1.936.396,x,x
3.451,4.832,3.839.352,1.936.400,x,x
3.552,5.002,3.838.748,1.936.424,x,x
3.654,5.214,3.839.808,1.936.436,x,x
3.755,5.367,3.839.076,1.936.464,x,x
3.857,5.487,3.847.380,1.936.472,x,x
3.958,5.651,3.832.740,1.936.484,x,x
4.060,5.786,3.832.536,1.936.496,x,x
4.162,5.935,3.832.628,1.936.524,x,x
4.263,6.131,3.833.144,1.936.524,x,x
4.365,6.276,3.841.312,1.936.540,x,x
4.466,6.461,3.843.240,1.936.564,x,x
4.568,6.637,3.840.744,1.936.584,x,x
4.670,6.788,3.833.012,1.936.600,x,x
4.771,6.945,3.839.864,1.936.600,x,x
4.873,7.096,3.839.944,1.936.620,x,x
4.974,7.256,3.843.512,1.936.652,x,x
5.076,7.453,3.833.332,1.936.660,x,x
5.177,7.627,3.832.828,1.936.680,x,x
5.279,7.787,3.839.528,1.936.680,x,x
5.381,7.955,3.843.492,1.936.700,x,x
5.482,8.136,3.833.016,1.936.724,x,x
5.584,8.308,3.833.004,1.936.736,x,x
5.685,8.461,3.832.632,1.936.752,x,x
5.786,8.601,3.835.396,1.936.756,x,x
5.887,8.817,3.838.504,1.936.764,x,x
5.989,9.017,3.841.496,1.936.788,x,x
6.091,9.082,3.842.928,1.936.808,x,x
6.192,9.264,3.835.288,1.936.808,x,x
6.294,9.427,3.838.940,1.936.828,x,x
6.396,9.579,3.848.960,1.936.836,x,x
6.497,9.700,3.832.768,1.936.852,x,x
6.599,9.925,3.836.880,1.936.852,x,x
6.700,10.084,3.844.064,1.936.872,x,x
6.802,10.231,3.840.292,1.936.896,x,x
6.904,10.374,3.834.712,1.936.912,x,x
7.005,10.498,3.839.776,1.936.936,x,x
7.107,10.678,3.833.552,1.936.956,x,x
7.208,10.931,3.840.860,1.936.956,x,x
7.310,11.167,3.843.956,1.936.968,x,x
7.412,11.331,3.833.212,1.937.000,x,x
7.513,11.552,3.839.144,1.937.000,x,x
7.615,11.754,3.839.324,1.937.012,x,x
7.716,11.921,3.838.380,1.937.028,x,x
7.818,12.087,3.834.048,1.937.052,x,x
7.919,12.285,3.845.388,1.937.072,x,x
8.021,12.498,3.845.044,1.937.100,x,x
8.122,12.660,3.833.656,1.937.124,x,x
8.224,12.929,3.838.308,1.937.124,x,x
8.326,13.117,3.840.296,1.937.144,x,x
8.427,13.288,3.835.868,1.937.160,x,x
8.529,13.483,3.836.920,1.937.180,x,x
8.630,13.713,3.838.020,1.937.196,x,x
8.732,13.883,3.833.988,1.937.232,x,x
8.833,14.058,3.836.088,1.937.232,x,x
8.935,14.251,3.837.520,1.937.256,x,x
9.036,14.430,3.842.636,1.937.280,x,x
9.138,14.632,3.833.480,1.937.300,x,x
9.240,14.854,3.839.644,1.937.300,x,x
9.341,15.072,3.840.972,1.937.304,x,x
9.443,15.285,3.837.828,1.937.320,x,x
9.544,15.553,3.841.016,1.937.332,x,x
9.646,15.754,3.837.156,1.937.356,x,x
9.748,15.934,3.838.360,1.937.376,x,x
9.849,16.129,3.833.804,1.937.408,x,x
9.951,16.312,3.840.512,1.937.432,x,x
10.052,16.484,3.839.796,1.937.452,x,x
10.154,16.680,3.838.712,1.937.464,x,x
10.255,16.895,3.846.284,1.937.480,x,x
10.357,17.116,3.842.900,1.937.500,x,x
10.459,17.340,3.839.380,1.937.524,x,x
10.560,17.508,3.841.116,1.937.536,x,x
10.662,17.681,3.839.112,1.937.552,x,x
10.763,17.854,3.839.036,1.937.568,x,x
10.865,18.015,3.842.808,1.937.592,x,x
10.967,18.203,3.844.992,1.937.624,x,x
11.068,18.409,3.836.736,1.937.640,x,x
11.170,18.602,3.842.788,1.937.656,x,x
11.271,18.779,3.843.252,1.937.672,x,x
11.373,18.964,3.844.448,1.937.692,x,x
11.474,19.168,3.843.384,1.937.708,x,x
11.576,19.388,3.844.260,1.937.732,x,x
11.678,19.615,3.838.032,1.937.760,x,x
11.779,19.788,3.845.068,1.937.788,x,x
11.881,19.961,3.834.732,1.937.800,x,x
11.982,20.131,3.836.768,1.937.808,x,x
12.084,20.338,3.836.868,1.937.812,x,x
12.186,20.529,3.836.724,1.937.832,x,x
12.287,20.727,3.840.692,1.937.840,x,x
12.389,20.948,3.838.588,1.937.868,x,x
12.490,21.124,3.836.160,1.937.892,x,x
12.592,21.296,3.836.684,1.937.924,x,x
12.693,21.513,3.834.536,1.937.940,x,x
12.795,21.686,3.837.136,1.937.956,x,x
12.897,21.845,3.835.380,1.937.980,x,x
12.998,22.012,3.840.072,1.937.996,x,x
13.100,22.148,3.843.464,1.938.020,x,x
13.201,22.345,3.839.040,1.938.044,x,x
13.302,22.552,3.844.460,1.938.060,x,x
13.404,22.798,3.834.140,1.938.080,x,x
13.505,23.048,3.834.464,1.938.088,x,x
13.607,23.222,3.844.640,1.938.116,x,x
13.709,23.419,3.844.812,1.938.132,x,x
13.810,23.658,3.834.716,1.938.152,x,x
13.912,23.837,3.844.904,1.938.172,x,x
14.013,23.987,3.844.652,1.938.188,x,x
14.115,24.212,3.840.272,1.938.212,x,x
14.216,24.378,3.837.928,1.938.224,x,x
14.318,24.529,3.835.116,1.938.260,x,x
14.419,24.722,3.840.752,1.938.276,x,x
14.521,24.893,3.843.216,1.938.292,x,x
14.623,25.104,3.846.024,1.938.316,x,x
14.724,25.280,3.835.056,1.938.352,x,x
14.826,25.477,3.834.700,1.938.372,x,x
14.927,25.651,3.843.876,1.938.392,x,x
15.029,25.843,3.842.412,1.938.408,x,x
15.130,26.018,3.840.752,1.938.432,x,x
15.232,26.195,3.838.000,1.938.444,x,x
15.334,26.350,3.836.508,1.938.468,x,x
15.435,26.513,3.844.400,1.938.488,x,x
15.537,26.749,3.840.036,1.938.500,x,x
15.638,26.909,3.848.212,1.938.524,x,x
15.740,27.102,3.840.208,1.938.556,x,x
15.842,27.300,3.840.224,1.938.568,x,x
15.943,27.484,3.840.756,1.938.588,x,x
16.045,27.642,3.837.492,1.938.608,x,x
16.146,27.797,3.838.940,1.938.632,x,x
16.248,27.981,3.836.740,1.938.652,x,x
16.350,28.140,3.848.960,1.938.676,x,x
16.451,28.306,3.845.944,1.938.684,x,x
16.552,28.510,3.845.412,1.938.700,x,x
16.654,28.659,3.853.696,1.938.712,x,x
16.755,28.868,3.838.432,1.938.712,x,x
16.857,29.045,3.838.972,1.938.736,x,x
16.959,29.236,3.848.040,1.938.764,x,x
17.060,29.401,3.843.872,1.938.780,x,x
17.162,29.566,3.842.536,1.938.816,x,x
17.263,29.788,3.835.064,1.938.824,x,x
17.365,29.982,3.856.836,1.938.844,x,x
17.467,30.176,3.835.352,1.938.872,x,x
17.568,30.428,3.839.996,1.938.884,x,x
17.670,30.635,3.851.808,1.938.904,x,x
17.771,30.866,3.845.288,1.938.928,x,x
17.873,31.079,3.842.784,1.938.948,x,x
17.974,31.257,3.843.516,1.938.972,x,x
18.076,31.442,3.835.340,1.938.996,x,x
18.178,31.621,3.842.772,1.939.012,x,x
18.279,31.800,3.846.596,1.939.028,x,x
18.381,32.043,3.837.612,1.939.028,x,x
18.482,32.240,3.836.064,1.939.052,x,x
18.584,32.399,3.834.720,1.939.100,x,x
18.685,32.542,3.845.648,1.939.112,x,x
18.787,32.766,3.835.636,1.939.124,x,x
18.889,32.943,3.838.016,1.939.128,x,x
18.990,33.147,3.838.492,1.939.136,x,x
19.092,33.332,3.841.600,1.939.164,x,x
19.193,33.494,3.837.460,1.939.176,x,x
19.295,33.687,3.836.764,1.939.208,x,x
19.396,33.853,3.846.220,1.939.228,x,x
19.498,34.016,3.836.060,1.939.244,x,x
19.599,34.194,3.835.580,1.939.256,x,x
19.701,34.409,3.840.236,1.939.260,x,x
19.803,34.600,3.850.408,1.939.268,x,x
19.904,34.799,3.854.324,1.939.284,x,x
20.006,35.030,3.838.880,1.939.284,x,x
20.107,35.277,3.838.712,1.939.304,x,x
20.209,35.468,3.841.908,1.939.324,x,x
20.311,35.634,3.847.664,1.939.356,x,x
20.412,35.850,3.843.916,1.939.372,x,x
20.514,36.032,3.845.340,1.939.388,x,x
20.615,36.263,3.840.188,1.939.388,x,x
20.717,36.422,3.835.316,1.939.416,x,x
20.818,36.618,3.836.232,1.939.420,x,x
20.920,36.816,3.837.788,1.939.444,x,x
21.022,37.017,3.838.300,1.939.456,x,x
21.123,37.216,3.839.648,1.939.476,x,x
21.225,37.391,3.842.072,1.939.508,x,x
21.326,37.591,3.841.480,1.939.516,x,x
21.428,37.735,3.848.440,1.939.532,x,x
21.529,37.940,3.836.044,1.939.544,x,x
21.631,38.129,3.838.504,1.939.544,x,x
21.732,38.261,3.836.272,1.939.592,x,x
21.834,38.467,3.840.184,1.939.592,x,x
21.936,38.652,3.842.404,1.939.616,x,x
22.037,38.843,3.844.976,1.939.632,x,x
22.139,39.038,3.840.036,1.939.644,x,x
22.240,39.206,3.835.712,1.939.672,x,x
22.342,39.367,3.850.820,1.939.672,x,x
22.443,39.549,3.836.860,1.939.708,x,x
22.545,39.778,3.836.524,1.939.724,x,x
22.647,40.000,3.839.292,1.939.724,x,x
22.748,40.175,3.838.516,1.939.748,x,x
22.850,40.331,3.836.064,1.939.788,x,x
22.951,40.567,3.838.796,1.939.788,x,x
23.053,40.746,3.836.132,1.939.808,x,x
23.154,40.933,3.836.352,1.939.840,x,x
23.256,41.109,3.836.416,1.939.848,x,x
23.357,41.257,3.840.252,1.939.880,x,x
23.459,41.436,3.846.512,1.939.912,x,x
23.561,41.618,3.846.072,1.939.948,x,x
23.662,41.797,3.842.092,1.939.960,x,x
23.764,42.001,3.842.136,1.939.988,x,x
23.865,42.159,3.836.224,1.940.032,x,x
23.967,42.384,3.838.348,1.940.032,x,x
24.068,42.562,3.838.864,1.940.044,x,x
24.170,42.759,3.839.088,1.940.060,x,x
24.272,42.917,3.839.264,1.940.072,x,x
24.373,43.033,3.836.720,1.940.104,x,x
24.475,43.216,3.840.784,1.940.108,x,x
24.576,43.399,3.837.932,1.940.124,x,x
24.678,43.543,3.846.384,1.940.164,x,x
24.780,43.658,3.841.440,1.940.180,x,x
24.881,43.842,3.838.704,1.940.200,x,x
24.983,44.015,3.844.356,1.940.216,x,x
25.084,44.164,3.842.372,1.940.228,x,x
25.186,44.315,3.840.624,1.940.256,x,x
25.287,44.502,3.841.952,1.940.288,x,x
25.389,44.722,3.844.300,1.940.300,x,x
25.491,44.973,3.845.612,1.940.320,x,x
25.592,45.173,3.836.476,1.940.332,x,x
25.694,45.416,3.843.160,1.940.332,x,x
25.795,45.617,3.842.092,1.940.356,x,x
25.897,45.797,3.839.088,1.940.372,x,x
25.998,45.965,3.836.040,1.940.392,x,x
26.100,46.172,3.836.224,1.940.412,x,x
26.202,46.395,3.840.248,1.940.416,x,x
26.303,46.569,3.839.616,1.940.432,x,x
26.405,46.740,3.837.716,1.940.456,x,x
26.506,46.934,3.839.252,1.940.472,x,x
26.608,47.138,3.836.984,1.940.504,x,x
26.709,47.346,3.839.456,1.940.504,x,x
26.811,47.564,3.841.048,1.940.524,x,x
26.912,47.772,3.837.888,1.940.536,x,x
27.014,47.995,3.847.684,1.940.556,x,x
27.115,48.187,3.842.548,1.940.572,x,x
27.217,48.379,3.839.296,1.940.588,x,x
27.319,48.518,3.839.128,1.940.600,x,x
