elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.540.428,71.764,x,x
101,1.934,2.607.604,69.811,x,x
212,4.378,2.616.028,72.117,x,x
314,5.537,2.617.916,73.187,x,x
416,7.207,2.621.680,74.439,x,x
518,9.615,2.619.056,76.437,x,x
619,10.798,2.620.200,77.388,x,x
721,12.734,2.624.076,79.098,x,x
823,14.318,2.628.196,80.789,x,x
925,16.412,2.634.568,82.078,x,x
1.027,17.725,2.623.988,68.662,x,x
1.128,20.387,2.625.556,70.754,x,x
1.230,21.760,2.626.928,71.587,x,x
1.331,23.754,2.629.012,73.090,x,x
1.433,25.742,2.626.700,72.047,x,x
1.535,27.468,2.632.236,73.538,x,x
1.636,29.188,2.628.796,72.029,x,x
1.738,31.006,2.627.336,70.106,x,x
1.839,32.944,2.628.644,70.485,x,x
1.941,34.771,2.630.108,71.679,x,x
2.042,37.164,2.626.904,66.940,x,x
2.144,38.567,2.627.952,67.825,x,x
2.246,40.506,2.630.404,69.229,x,x
2.347,42.444,2.628.812,69.127,x,x
2.449,43.621,2.629.804,68.199,x,x
2.551,46.184,2.630.596,70.442,x,x
2.652,47.372,2.628.908,68.961,x,x
2.754,49.618,2.628.620,67.842,x,x
2.855,51.684,2.629.324,68.460,x,x
2.956,53.567,2.629.148,69.090,x,x
3.057,55.218,2.629.380,69.024,x,x
3.159,56.773,2.628.424,68.631,x,x
3.260,59.334,2.629.512,70.389,x,x
3.362,60.907,2.629.040,69.771,x,x
3.463,62.383,2.632.012,71.071,x,x
3.565,64.726,2.629.488,70.752,x,x
3.667,65.992,2.631.108,71.776,x,x
3.768,68.482,2.630.624,73.855,x,x
3.870,69.402,2.631.892,72.286,x,x
3.971,71.871,2.632.812,74.299,x,x
4.072,73.101,2.631.212,70.360,x,x
4.174,75.498,2.630.892,72.319,x,x
4.275,76.690,2.630.544,70.647,x,x
4.377,78.992,2.631.088,72.520,x,x
4.478,80.235,2.630.860,70.765,x,x
4.580,82.536,2.632.040,72.714,x,x
4.681,83.756,2.631.336,70.894,x,x
4.783,86.335,2.633.068,72.900,x,x
4.884,87.517,2.630.840,71.053,x,x
4.986,90.254,2.631.804,73.077,x,x
5.087,91.287,2.632.872,71.138,x,x
5.189,93.892,2.632.448,73.267,x,x
5.290,94.874,2.631.488,71.344,x,x
5.392,97.256,2.630.624,70.105,x,x
5.493,99.052,2.631.024,70.732,x,x
5.595,100.926,2.631.344,71.178,x,x
5.696,102.677,2.630.884,71.140,x,x
5.798,104.466,2.632.568,70.916,x,x
5.899,106.673,2.633.768,72.687,x,x
6.001,108.117,2.634.284,72.218,x,x
6.102,109.555,2.635.144,73.481,x,x
6.204,111.808,2.635.064,73.051,x,x
6.306,113.216,2.637.600,74.177,x,x
6.407,113.216,2.637.600,74.177,x,x
6.508,113.216,2.637.600,74.177,x,x
6.610,113.216,2.637.600,74.177,x,x
6.711,113.216,2.637.600,74.177,x,x
6.813,113.216,2.637.600,74.177,x,x
6.914,113.216,2.637.600,74.177,x,x
7.015,113.216,2.637.600,74.177,x,x
7.117,113.216,2.637.600,74.177,x,x
7.218,113.216,2.637.600,74.177,x,x
7.320,113.216,2.637.600,74.177,x,x
7.421,113.699,2.638.344,75.234,x,x
7.523,113.860,2.639.760,75.234,x,x
7.624,113.860,2.639.760,75.234,x,x
7.725,113.860,2.639.760,75.234,x,x
7.827,113.860,2.639.760,75.234,x,x
7.928,113.860,2.639.760,75.234,x,x
8.030,114.451,2.635.896,70.084,x,x
8.131,114.661,2.639.544,70.091,x,x
8.232,114.813,2.637.548,66.144,x,x
8.334,115.139,2.638.976,66.433,x,x
8.435,115.139,2.638.976,66.433,x,x
8.537,115.319,2.640.776,66.440,x,x
8.638,115.564,2.635.488,66.716,x,x
8.739,115.564,2.635.488,66.716,x,x
8.841,115.564,2.635.488,66.716,x,x
8.942,115.667,2.635.320,66.725,x,x
9.043,116.130,2.636.488,66.823,x,x
9.145,116.316,2.637.564,67.018,x,x
9.246,116.316,2.637.564,67.018,x,x
9.347,116.316,2.637.564,67.018,x,x
9.449,116.316,2.637.564,67.018,x,x
9.550,116.477,2.636.576,67.026,x,x
9.651,117.041,2.635.324,68.236,x,x
9.753,117.153,2.636.800,68.236,x,x
9.854,117.153,2.636.800,68.236,x,x
9.956,117.153,2.636.800,68.236,x,x
10.057,117.153,2.636.800,68.236,x,x
10.158,117.153,2.636.800,68.236,x,x
10.260,117.247,2.636.924,68.244,x,x
10.361,117.733,2.636.476,66.971,x,x
10.462,118.248,2.640.888,67.628,x,x
10.564,118.248,2.640.888,67.628,x,x
10.665,118.248,2.640.888,67.628,x,x
10.766,118.248,2.640.888,67.628,x,x
10.868,118.248,2.640.888,67.628,x,x
10.969,118.248,2.640.888,67.628,x,x
11.070,118.248,2.640.888,67.628,x,x
11.172,118.402,2.638.636,67.644,x,x
11.273,119.023,2.634.808,67.648,x,x
11.374,119.253,2.635.608,68.201,x,x
11.476,119.253,2.635.608,68.201,x,x
11.577,119.253,2.635.608,68.201,x,x
11.678,119.253,2.635.608,68.201,x,x
11.780,119.253,2.635.608,68.201,x,x
11.881,119.253,2.635.608,68.201,x,x
11.982,119.253,2.635.608,68.201,x,x
12.084,119.253,2.635.608,68.201,x,x
12.185,119.253,2.635.608,68.201,x,x
12.286,119.253,2.635.608,68.201,x,x
12.388,119.826,2.638.200,69.107,x,x
12.489,120.422,2.638.560,70.438,x,x
12.590,120.422,2.638.560,70.438,x,x
12.692,120.422,2.638.560,70.438,x,x
12.793,120.422,2.638.560,70.438,x,x
12.894,120.422,2.638.560,70.438,x,x
12.996,120.422,2.638.560,70.438,x,x
13.097,120.422,2.638.560,70.438,x,x
13.198,120.422,2.638.560,70.438,x,x
13.300,120.422,2.638.560,70.438,x,x
13.401,120.422,2.638.560,70.438,x,x
13.502,120.422,2.638.560,70.438,x,x
13.604,120.775,2.638.908,70.483,x,x
13.705,121.044,2.636.288,66.913,x,x
13.807,121.744,2.636.220,68.554,x,x
13.908,121.754,2.636.220,68.554,x,x
14.009,121.754,2.636.220,68.554,x,x
14.110,121.754,2.636.220,68.554,x,x
14.212,121.754,2.636.220,68.554,x,x
14.313,121.754,2.636.220,68.554,x,x
14.414,121.754,2.636.220,68.554,x,x
14.516,121.754,2.636.220,68.554,x,x
14.617,121.754,2.636.220,68.554,x,x
14.718,121.754,2.636.220,68.554,x,x
14.820,121.754,2.636.220,68.554,x,x
14.921,121.897,2.636.356,68.820,x,x
15.022,122.043,2.636.536,68.829,x,x
15.124,122.419,2.637.280,68.962,x,x
15.225,122.663,2.638.064,69.379,x,x
15.326,122.663,2.638.064,69.379,x,x
15.428,122.663,2.638.064,69.379,x,x
15.529,123.171,2.636.976,66.962,x,x
15.630,123.729,2.636.000,67.241,x,x
15.732,123.729,2.636.000,67.241,x,x
15.833,123.729,2.636.000,67.241,x,x
15.934,123.729,2.636.000,67.241,x,x
16.036,123.993,2.636.056,67.267,x,x
16.137,124.421,2.637.432,67.543,x,x
16.238,124.456,2.638.620,67.543,x,x
16.340,124.456,2.638.620,67.543,x,x
16.441,124.456,2.638.620,67.543,x,x
16.542,124.456,2.638.620,67.543,x,x
16.644,124.456,2.638.620,67.543,x,x
16.745,125.099,2.638.100,68.098,x,x
16.846,125.549,2.639.696,68.882,x,x
16.948,125.549,2.639.696,68.882,x,x
17.049,125.549,2.639.696,68.882,x,x
17.150,125.549,2.639.696,68.882,x,x
17.251,125.549,2.639.696,68.882,x,x
17.353,125.549,2.639.696,68.882,x,x
17.454,125.918,2.637.816,68.889,x,x
17.555,126.186,2.636.548,67.274,x,x
17.657,126.597,2.635.548,68.160,x,x
17.758,126.597,2.635.548,68.160,x,x
17.859,126.597,2.635.548,68.160,x,x
17.961,126.597,2.635.548,68.160,x,x
18.062,126.597,2.635.548,68.160,x,x
18.163,126.597,2.635.548,68.160,x,x
18.264,126.597,2.635.548,68.160,x,x
18.366,126.597,2.635.548,68.160,x,x
18.467,127.192,2.635.380,66.852,x,x
18.568,127.661,2.637.848,68.495,x,x
18.670,127.661,2.637.848,68.495,x,x
18.771,127.661,2.637.848,68.495,x,x
18.872,127.661,2.637.848,68.495,x,x
18.973,127.661,2.637.848,68.495,x,x
19.075,127.661,2.637.848,68.495,x,x
19.176,127.661,2.637.848,68.495,x,x
19.277,127.661,2.637.848,68.495,x,x
19.379,127.661,2.637.848,68.495,x,x
19.480,127.726,2.637.388,68.503,x,x
19.581,127.955,2.635.544,67.238,x,x
19.682,128.592,2.636.636,68.899,x,x
19.784,128.599,2.637.016,68.899,x,x
19.885,128.599,2.637.016,68.899,x,x
19.986,128.599,2.637.016,68.899,x,x
20.088,128.599,2.637.016,68.899,x,x
20.189,128.599,2.637.016,68.899,x,x
20.290,128.599,2.637.016,68.899,x,x
