elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.363.368,1.850.180,x,x
100,637,4.365.424,1.850.232,x,x
201,1.103,4.365.512,1.850.292,x,x
301,1.598,4.365.580,1.850.340,x,x
401,2.232,4.365.660,1.850.388,x,x
502,2.753,4.365.716,1.850.456,x,x
602,3.168,4.365.776,1.850.496,x,x
702,3.809,4.365.832,1.850.540,x,x
803,4.446,4.365.896,1.850.596,x,x
903,5.027,4.365.952,1.850.652,x,x
1.003,5.549,4.366.040,1.850.728,x,x
1.104,5.992,4.366.088,1.850.764,x,x
1.204,6.656,4.366.144,1.850.820,x,x
1.304,7.193,4.366.200,1.850.876,x,x
1.405,7.852,4.366.252,1.850.920,x,x
1.505,8.464,4.366.308,1.850.976,x,x
1.605,9.017,4.366.360,1.851.028,x,x
1.706,9.571,4.366.408,1.851.080,x,x
1.806,10.078,4.366.456,1.851.128,x,x
1.906,10.689,4.366.524,1.851.192,x,x
2.007,11.232,4.366.564,1.851.232,x,x
2.107,11.852,4.366.636,1.851.300,x,x
2.207,12.501,4.366.692,1.851.352,x,x
2.307,12.928,4.366.732,1.851.412,x,x
2.408,13.548,4.366.784,1.851.448,x,x
2.508,13.973,4.366.840,1.851.504,x,x
2.608,14.490,4.366.888,1.851.548,x,x
2.709,15.225,4.366.932,1.851.596,x,x
2.809,15.673,4.366.996,1.851.652,x,x
2.909,16.307,4.367.048,1.851.704,x,x
3.010,16.958,4.367.104,1.851.760,x,x
3.110,17.422,4.367.156,1.851.812,x,x
3.210,18.193,4.367.208,1.851.864,x,x
3.310,18.741,4.367.268,1.851.920,x,x
3.411,19.376,4.367.332,1.851.984,x,x
3.511,20.003,4.367.384,1.852.036,x,x
3.611,20.644,4.367.428,1.852.080,x,x
3.712,21.222,4.367.480,1.852.132,x,x
3.812,21.722,4.367.544,1.852.196,x,x
3.912,22.433,4.367.592,1.852.248,x,x
4.013,23.072,4.367.660,1.852.312,x,x
4.113,23.764,4.367.700,1.852.356,x,x
4.213,24.268,4.367.744,1.852.400,x,x
4.314,24.795,4.367.800,1.852.452,x,x
4.414,25.305,4.367.844,1.852.500,x,x
4.514,25.720,4.367.900,1.852.552,x,x
4.615,26.498,4.367.964,1.852.616,x,x
4.715,27.051,4.368.000,1.852.656,x,x
4.815,27.682,4.368.052,1.852.708,x,x
4.916,28.147,4.368.104,1.852.756,x,x
5.016,28.842,4.368.156,1.852.808,x,x
5.116,29.388,4.368.220,1.852.864,x,x
5.217,30.040,4.368.268,1.852.916,x,x
5.317,30.625,4.368.324,1.852.972,x,x
5.417,31.309,4.368.376,1.853.020,x,x
5.518,31.972,4.368.444,1.853.088,x,x
5.618,32.510,4.368.484,1.853.132,x,x
5.718,32.924,4.368.540,1.853.184,x,x
5.819,33.416,4.368.596,1.853.240,x,x
5.919,33.848,4.368.644,1.853.312,x,x
6.019,34.512,4.368.696,1.853.344,x,x
6.120,35.022,4.368.752,1.853.396,x,x
6.220,35.566,4.368.800,1.853.444,x,x
6.320,36.224,4.368.860,1.853.504,x,x
6.421,36.881,4.368.908,1.853.556,x,x
6.521,37.552,4.368.964,1.853.608,x,x
6.622,38.193,4.369.016,1.853.660,x,x
6.722,38.889,4.369.072,1.853.716,x,x
6.822,39.519,4.369.140,1.853.780,x,x
6.923,40.122,4.369.180,1.853.824,x,x
7.023,40.609,4.369.232,1.853.876,x,x
7.123,41.002,4.369.280,1.853.924,x,x
7.224,41.562,4.369.328,1.853.972,x,x
7.324,41.965,4.369.384,1.854.024,x,x
7.424,42.571,4.369.440,1.854.080,x,x
7.525,43.359,4.369.488,1.854.132,x,x
7.625,44.016,4.369.536,1.854.200,x,x
