start_ns,end_ns
1718014,3914745
4368324,7157379
9313871,13176803
10718779,13744137
10979770,14437637
13807477,15097982
16586461,18909291
16848992,16890353
17602655,19994463
24296722,25872999
29462971,30315366
29947983,32410354
30337489,32725501
30739741,30976455
31024899,32581993
32822568,33009461
36206659,36553420
36225387,37996722
38306769,40889117
38855211,40428928
42087107,43691957
43412680,43721484
45633529,46249829
47256903,47675837
47978631,48671951
49146075,50328710
50170203,51668142
52280439,54171986
53269742,55251673
54266266,55513746
55525362,56873103
56306775,57066756
57080113,58223901
57315980,58056019
58564279,58642307
59043565,60307980
59789158,60398361
59918350,60736810
60660661,62543802
61181725,61586668
63385098,64042687
65199053,67522951
65369788,66710827
66293206,67792554
66620922,67894649
66713164,67658292
69308717,69508080
70101172,71806468
71097460,72153677
74049720,74089648
74467217,74821917
74941839,75994710
76468394,76543139
78598397,78835096
79621128,80855621
80171659,80251487
80601186,81029229
80682551,81122596
83328637,83553002
83711140,84970412
90140706,90702925
93244760,93551517
93397509,94150879
93536316,94273533
94275259,94487113
95401044,95806937
97137172,97770925
97626268,98596374
97787696,98482905
98614827,99458085
100465811,101320850
101312672,103055358
101313110,106359303
101667032,101969414
106488193,107283506
106711891,107581956
107306802,108410753
108541843,108973529
109578771,110644028
110001170,114188432
110862681,111063742
117194979,118059807
117993415,118944040
118453191,119051538
118779662,119389706
122403076,123308304
123449191,123642768
125389245,126116125
126296630,126911464
129874276,130652396
130382547,130711633
130750136,130902543
131205583,131703516
131566899,131892194
131914637,134289766
132104879,132327658
132713324,133291461
134551519,134700622
135345935,135623525
135695300,136078936
137387944,138354141
137631674,138188290
138147695,138761372
138727714,139453230
139370690,139687106
141922631,143566454
144620389,145254196
144708480,144958130
144989669,145383530
146344255,147479583
148316771,149044306
148870701,149147625
149149017,149336877
150823888,151259879
152930710,153661001
153530398,153968974
153857623,154155700
154493195,154616839
156221777,158820447
156331331,156886894
159209281,160046683
160646363,160943366
160946015,161069534
160958848,161133805
161195762,161729400
163760319,163874139
163860165,164868667
164006739,164454293
165103277,165354816
165400965,166495746
165636673,166532288
165962376,166230114
166653147,166838794
167082462,167325580
167282340,167451091
167445627,167890759
167445976,167898652
167834216,168512344
168171823,169005880
169031488,169394677
169166004,169421214
169423512,169887846
169564914,169777538
172153700,172855793
173046609,173363600
173842350,174597845
174304655,174631404
174393618,174631364
175149679,175776936
178149559,178176908
179277592,179510087
181612382,181950282
181811067,182262196
183225827,185071435
183352074,183734832
184462152,185209600
184778992,184911540
185136424,185698623
185186749,185410253
185420528,185750837
188303245,188441786
188659267,189099817
189225232,189825374
189337861,190024806
189718930,190742490
191947071,192866628
191947194,192404482
192744483,193329880
193010033,193555247
193527537,193881863
193957526,194315244
193975031,194574913
194414643,194960554
194468152,194903477
194473099,194820585
194515482,194895455
194587722,195191287
195059609,195124915
195187461,195714709
196711770,197260250
196885087,197167385
198992161,199384463
199453822,199620752
199672692,200093055
200277800,201350208
200302391,201585039
201194425,202176792
202219636,202505871
203487642,203775489
203789239,204287133
203937906,204316289
203994496,204441447
204742756,204776317
205585439,205803472
205888078,206304829
206506515,206616667
206510640,206574807
211002536,211592244
211027487,211434600
211224977,212141691
211984425,212661543
212625529,212980826
213554619,213886909
213864139,214153125
213891454,214364270
214793364,215117953
214828054,215370331
214877632,215030023
215658207,216087415
215736333,216723361
216787717,217069348
217382262,217628809
218255342,218555450
218299385,218593994
218776358,218908330
219972003,220496347
221706320,221989920
222605882,222975026
222721242,223106038
222909953,223027989
223048335,223254374
223895423,224355749
223968055,224319229
224389277,224903256
224914940,225277203
225594352,225978205
226108523,226358146
226406503,226890132
226581976,226861331
226692577,227209463
226863390,226878242
227210889,227662055
227498856,227979699
228339847,228957016
229641620,229820555
230166196,230487437
230186674,230327543
230201545,230527363
230302084,230837247
230744259,230984168
231486326,232034968
231665469,231987111
232408810,233224181
234290930,234742010
234386194,234935195
234604929,235086794
234638576,234768926
235543322,235818115
235707547,235824399
236283461,236317460
236291459,236708579
236295942,236483092
236828680,237130113
237096354,238023431
237313548,238022174
237985912,238506753
238685929,238918836
238698682,238753101
238735411,238948557
242120866,242272574
242121150,242444679
242755939,243020003
243043325,243392682
243434110,243605185
244050111,244326446
244120163,244735730
244322172,245015097
244651545,245073033
245375673,245677798
245590356,245843586
245936346,246249628
246012789,246448885
246092819,246227031
246750043,247030664
247059020,247543760
247274279,247593523
247354066,247377002
247459697,247709009
247606416,247777650
247686279,248036985
248051870,248611983
248060046,248252059
248112849,248204625
248631934,249230303
249155435,249570082
250078409,250648620
250525170,250891008
250749288,251118922
250873874,251115136
251144386,251757786
251714003,251834686
252189688,252427732
252416814,252770445
252497891,252580172
252625389,253036312
252636162,253213808
253114284,253369490
253550970,254282604
254759935,255126452
254862204,255108164
255086581,255782052
255890015,256177712
256122467,257303072
256612722,256991892
257285048,257722997
257744266,258721310
257760775,258458072
259854486,260335042
261774163,261900340
261792063,262302581
261995185,262456956
263683512,264352072
265191416,265336153
265265520,265715829
265421180,266196704
267100543,267310684
267526858,267709084
269754114,270051689
269765298,269902505
269925447,270206372
270280214,270588875
271170555,271394038
271393601,271656131
271438882,272037283
271564855,272126924
272509033,273230813
272661074,273397996
275146665,275382415
275973282,276246528
275997699,276507861
278258365,278802342
278428166,278855862
