elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.621.244,1.982.140,x,x
101,3.812,2.622.512,1.982.624,x,x
202,8.166,2.622.920,1.983.032,x,x
304,12.583,2.623.312,1.983.428,x,x
405,17.005,2.623.712,1.983.828,x,x
507,21.367,2.624.108,1.984.232,x,x
609,25.683,2.624.580,1.984.692,x,x
710,30.007,2.625.020,1.985.120,x,x
812,34.392,2.625.388,1.985.492,x,x
913,38.708,2.625.776,1.985.892,x,x
1.015,43.035,2.626.244,1.986.380,x,x
1.117,47.380,2.626.744,1.986.832,x,x
1.218,51.731,2.627.104,1.987.228,x,x
1.320,56.051,2.627.592,1.987.696,x,x
1.421,60.341,2.628.092,1.988.212,x,x
1.523,64.767,2.628.524,1.988.632,x,x
1.625,69.159,2.628.916,1.989.028,x,x
1.726,73.554,2.629.400,1.989.500,x,x
1.828,77.920,2.629.816,1.989.920,x,x
1.929,82.210,2.630.188,1.990.284,x,x
2.031,86.526,2.630.640,1.990.752,x,x
2.133,90.904,2.631.092,1.991.168,x,x
2.234,95.212,2.631.516,1.991.608,x,x
2.336,99.565,2.631.964,1.992.052,x,x
2.437,103.906,2.632.388,1.992.484,x,x
2.539,108.244,2.632.856,1.992.956,x,x
2.641,112.522,2.633.260,1.993.360,x,x
2.742,116.849,2.633.680,1.993.768,x,x
2.844,121.143,2.634.116,1.994.208,x,x
2.945,125.478,2.634.512,1.994.616,x,x
3.047,129.880,2.634.996,1.995.092,x,x
3.149,134.232,2.635.412,1.995.508,x,x
3.250,138.599,2.635.856,1.995.952,x,x
3.352,142.865,2.636.256,1.996.340,x,x
3.453,147.255,2.636.720,1.996.832,x,x
3.555,151.598,2.637.128,1.997.220,x,x
3.657,155.944,2.637.572,1.997.672,x,x
3.758,160.242,2.638.028,1.998.132,x,x
3.860,164.603,2.638.540,1.998.636,x,x
3.961,168.942,2.638.960,1.999.048,x,x
4.063,173.379,2.639.360,1.999.468,x,x
4.165,177.722,2.639.760,1.999.856,x,x
4.266,182.072,2.640.204,2.000.316,x,x
4.368,186.420,2.640.616,2.000.724,x,x
4.469,190.781,2.641.008,2.001.120,x,x
4.571,195.095,2.641.468,2.001.580,x,x
4.673,199.405,2.641.968,2.002.080,x,x
4.774,203.593,2.646.208,2.002.536,x,o
4.876,206.748,2.647.384,2.003.676,x,x
4.977,211.105,2.647.668,2.003.984,x,x
5.079,215.504,2.648.076,2.004.424,x,x
5.181,219.796,2.648.520,2.004.836,x,x
5.282,224.145,2.648.924,2.005.260,x,x
5.384,228.514,2.649.400,2.005.724,x,x
5.486,232.946,2.649.808,2.006.120,x,x
5.587,237.381,2.650.188,2.006.520,x,x
5.689,241.771,2.650.632,2.006.948,x,x
5.790,246.193,2.651.096,2.007.404,x,x
5.892,250.566,2.651.492,2.007.832,x,x
5.994,254.951,2.652.000,2.008.316,x,x
6.095,259.362,2.652.428,2.008.772,x,x
6.197,263.771,2.652.856,2.009.184,x,x
6.298,268.154,2.653.292,2.009.616,x,x
6.400,272.596,2.653.716,2.010.028,x,x
6.502,277.005,2.654.116,2.010.444,x,x
6.603,281.388,2.654.548,2.010.884,x,x
6.705,285.799,2.654.988,2.011.312,x,x
6.806,290.202,2.655.404,2.011.736,x,x
6.908,294.612,2.655.832,2.012.160,x,x
7.010,298.943,2.656.280,2.012.616,x,x
7.111,303.368,2.656.748,2.013.096,x,x
7.213,307.701,2.657.196,2.013.524,x,x
7.314,312.121,2.657.572,2.013.904,x,x
7.416,316.576,2.658.068,2.014.388,x,x
7.518,320.982,2.658.480,2.014.812,x,x
7.619,325.380,2.658.948,2.015.280,x,x
7.721,329.750,2.659.396,2.015.712,x,x
7.822,334.146,2.659.812,2.016.140,x,x
7.924,338.531,2.660.244,2.016.596,x,x
8.026,342.938,2.660.676,2.017.000,x,x
8.127,347.286,2.661.124,2.017.440,x,x
8.229,351.701,2.661.560,2.017.892,x,x
8.330,356.099,2.661.984,2.018.320,x,x
8.432,360.410,2.662.384,2.018.700,x,x
8.534,364.771,2.662.824,2.019.156,x,x
8.635,369.136,2.663.248,2.019.576,x,x
8.737,373.486,2.663.648,2.019.976,x,x
8.838,377.940,2.664.064,2.020.388,x,x
8.940,382.356,2.664.484,2.020.804,x,x
9.042,386.747,2.664.968,2.021.280,x,x
9.143,391.094,2.665.368,2.021.692,x,x
9.245,395.481,2.665.800,2.022.124,x,x
9.346,399.852,2.666.276,2.022.608,x,x
9.448,404.235,2.666.740,2.023.064,x,x
9.549,408.651,2.667.140,2.023.476,x,x
9.651,413.020,2.667.556,2.023.892,x,x
9.753,417.437,2.668.020,2.024.340,x,x
9.854,421.850,2.668.484,2.024.800,x,x
9.956,426.246,2.668.936,2.025.268,x,x
10.057,430.626,2.669.340,2.025.672,x,x
10.159,435.038,2.669.768,2.026.104,x,x
10.261,439.537,2.670.172,2.026.496,x,x
10.362,443.973,2.670.620,2.026.944,x,x
