elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.574.168,1.935.856,x,x
101,122,2.578.504,1.935.860,x,x
202,268,2.579.392,1.935.872,x,x
303,460,2.580.048,1.935.912,x,x
405,631,2.578.268,1.935.944,x,x
506,800,2.578.720,1.935.980,x,x
607,985,2.580.812,1.935.992,x,x
709,1.133,2.580.452,1.936.016,x,x
810,1.283,2.580.176,1.936.052,x,x
912,1.437,2.581.508,1.936.076,x,x
1.013,1.615,2.580.540,1.936.092,x,x
1.114,1.789,2.578.644,1.936.104,x,x
1.216,1.927,2.579.728,1.936.124,x,x
1.317,2.102,2.580.508,1.936.152,x,x
1.418,2.242,2.579.516,1.936.164,x,x
1.520,2.407,2.579.760,1.936.204,x,x
1.621,2.563,2.579.344,1.936.216,x,x
1.723,2.718,2.579.276,1.936.216,x,x
1.824,2.881,2.582.592,1.936.236,x,x
1.925,3.046,2.581.104,1.936.256,x,x
2.027,3.190,2.578.312,1.936.280,x,x
2.128,3.360,2.579.260,1.936.292,x,x
2.230,3.511,2.579.456,1.936.312,x,x
2.331,3.679,2.580.536,1.936.316,x,x
2.432,3.849,2.581.692,1.936.336,x,x
2.534,4.027,2.580.304,1.936.364,x,x
2.635,4.190,2.581.608,1.936.376,x,x
2.737,4.357,2.585.412,1.936.388,x,x
2.838,4.529,2.583.492,1.936.400,x,x
2.939,4.671,2.580.920,1.936.428,x,x
3.041,4.810,2.582.684,1.936.432,x,x
3.142,4.972,2.580.048,1.936.460,x,x
3.244,5.157,2.583.876,1.936.468,x,x
3.345,5.286,2.581.020,1.936.472,x,x
3.446,5.430,2.578.108,1.936.476,x,x
3.548,5.593,2.580.724,1.936.492,x,x
3.649,5.771,2.580.468,1.936.492,x,x
3.751,5.949,2.578.812,1.936.520,x,x
3.852,6.143,2.582.420,1.936.532,x,x
3.953,6.305,2.580.436,1.936.544,x,x
4.055,6.450,2.579.828,1.936.568,x,x
4.156,6.632,2.582.076,1.936.580,x,x
4.258,6.798,2.581.688,1.936.600,x,x
4.359,6.955,2.583.364,1.936.620,x,x
4.460,7.113,2.579.772,1.936.644,x,x
4.562,7.270,2.581.652,1.936.656,x,x
4.663,7.407,2.580.248,1.936.660,x,x
4.764,7.573,2.580.280,1.936.680,x,x
4.866,7.731,2.579.996,1.936.692,x,x
4.967,7.868,2.580.884,1.936.700,x,x
5.069,8.019,2.580.508,1.936.712,x,x
5.170,8.179,2.579.916,1.936.728,x,x
5.271,8.333,2.580.068,1.936.740,x,x
5.373,8.538,2.584.564,1.936.756,x,x
5.474,8.697,2.579.740,1.936.756,x,x
5.576,8.883,2.581.304,1.936.776,x,x
5.677,9.037,2.579.732,1.936.792,x,x
5.778,9.192,2.579.472,1.936.804,x,x
5.880,9.341,2.578.900,1.936.828,x,x
5.981,9.523,2.579.568,1.936.836,x,x
6.083,9.688,2.580.040,1.936.844,x,x
6.184,9.866,2.580.160,1.936.852,x,x
6.285,10.024,2.580.560,1.936.864,x,x
6.387,10.202,2.579.140,1.936.868,x,x
6.488,10.374,2.581.844,1.936.880,x,x
6.590,10.533,2.580.528,1.936.896,x,x
6.691,10.694,2.585.880,1.936.908,x,x
6.792,10.860,2.582.436,1.936.936,x,x
6.894,11.019,2.582.044,1.936.956,x,x
6.995,11.209,2.583.068,1.936.968,x,x
7.097,11.375,2.584.548,1.936.984,x,x
7.198,11.533,2.580.748,1.937.000,x,x
7.299,11.704,2.581.608,1.937.028,x,x
7.401,11.881,2.581.740,1.937.048,x,x
7.502,12.050,2.584.736,1.937.080,x,x
7.604,12.215,2.580.744,1.937.100,x,x
7.705,12.374,2.579.788,1.937.116,x,x
7.806,12.550,2.583.452,1.937.132,x,x
7.908,12.715,2.578.680,1.937.144,x,x
8.009,12.887,2.580.268,1.937.156,x,x
8.110,13.055,2.582.264,1.937.160,x,x
8.212,13.209,2.583.292,1.937.184,x,x
8.313,13.369,2.581.172,1.937.196,x,x
8.415,13.538,2.580.636,1.937.204,x,x
8.516,13.708,2.579.340,1.937.212,x,x
8.617,13.846,2.583.132,1.937.228,x,x
8.719,14.010,2.587.392,1.937.244,x,x
8.820,14.181,2.579.760,1.937.248,x,x
8.922,14.302,2.581.836,1.937.268,x,x
9.023,14.444,2.581.824,1.937.296,x,x
9.125,14.620,2.582.528,1.937.300,x,x
9.226,14.809,2.581.792,1.937.324,x,x
9.327,14.971,2.584.292,1.937.332,x,x
9.429,15.151,2.581.584,1.937.344,x,x
9.530,15.314,2.580.776,1.937.372,x,x
9.632,15.461,2.580.080,1.937.372,x,x
9.733,15.605,2.581.500,1.937.384,x,x
9.834,15.758,2.579.840,1.937.400,x,x
9.936,15.906,2.580.712,1.937.416,x,x
10.037,16.097,2.582.920,1.937.424,x,x
10.138,16.257,2.581.700,1.937.440,x,x
10.240,16.443,2.583.064,1.937.464,x,x
10.341,16.633,2.578.896,1.937.468,x,x
10.443,16.797,2.581.248,1.937.484,x,x
10.544,16.955,2.580.668,1.937.508,x,x
10.646,17.116,2.581.604,1.937.532,x,x
10.747,17.270,2.581.428,1.937.532,x,x
10.848,17.434,2.581.780,1.937.540,x,x
10.950,17.605,2.579.304,1.937.552,x,x
11.051,17.765,2.581.680,1.937.568,x,x
11.152,17.949,2.584.352,1.937.576,x,x
11.254,18.123,2.579.944,1.937.604,x,x
11.355,18.276,2.585.528,1.937.624,x,x
11.457,18.450,2.578.528,1.937.632,x,x
11.558,18.614,2.579.508,1.937.656,x,x
11.659,18.761,2.581.904,1.937.656,x,x
11.761,18.898,2.581.248,1.937.676,x,x
11.862,19.066,2.580.336,1.937.692,x,x
11.964,19.219,2.583.880,1.937.708,x,x
12.065,19.389,2.579.140,1.937.728,x,x
12.166,19.539,2.582.316,1.937.756,x,x
12.268,19.705,2.581.064,1.937.768,x,x
12.369,19.864,2.581.436,1.937.788,x,x
12.470,20.018,2.582.044,1.937.804,x,x
12.572,20.187,2.583.380,1.937.804,x,x
12.673,20.347,2.580.060,1.937.832,x,x
12.774,20.517,2.583.664,1.937.852,x,x
12.876,20.678,2.579.620,1.937.868,x,x
12.977,20.837,2.580.592,1.937.876,x,x
13.079,20.967,2.583.052,1.937.880,x,x
13.180,21.124,2.586.528,1.937.888,x,x
13.281,21.280,2.581.204,1.937.908,x,x
13.383,21.444,2.580.796,1.937.924,x,x
13.484,21.612,2.579.628,1.937.944,x,x
13.586,21.773,2.584.060,1.937.968,x,x
13.687,21.953,2.580.656,1.937.992,x,x
13.788,22.120,2.586.024,1.938.008,x,x
13.890,22.281,2.579.444,1.938.016,x,x
13.991,22.443,2.581.592,1.938.032,x,x
14.092,22.586,2.583.460,1.938.048,x,x
14.194,22.743,2.582.340,1.938.060,x,x
14.295,22.915,2.581.268,1.938.084,x,x
14.397,23.095,2.583.020,1.938.116,x,x
14.498,23.226,2.581.176,1.938.132,x,x
14.599,23.397,2.583.336,1.938.140,x,x
14.701,23.563,2.579.936,1.938.156,x,x
14.802,23.744,2.582.576,1.938.180,x,x
14.904,23.900,2.579.476,1.938.184,x,x
15.005,24.056,2.579.312,1.938.200,x,x
15.106,24.191,2.579.824,1.938.216,x,x
15.208,24.330,2.582.116,1.938.232,x,x
15.309,24.473,2.580.040,1.938.252,x,x
15.410,24.642,2.583.060,1.938.260,x,x
15.511,24.791,2.583.956,1.938.280,x,x
15.613,24.956,2.582.372,1.938.296,x,x
15.714,25.111,2.580.760,1.938.316,x,x
15.816,25.291,2.589.564,1.938.332,x,x
15.917,25.463,2.582.624,1.938.352,x,x
16.018,25.631,2.580.608,1.938.364,x,x
16.120,25.800,2.581.360,1.938.376,x,x
16.221,25.941,2.580.932,1.938.396,x,x
16.323,26.124,2.581.060,1.938.408,x,x
16.424,26.274,2.584.912,1.938.428,x,x
16.525,26.432,2.581.524,1.938.444,x,x
16.627,26.587,2.584.912,1.938.468,x,x
16.728,26.754,2.583.316,1.938.492,x,x
16.830,26.919,2.584.088,1.938.500,x,x
16.931,27.072,2.582.580,1.938.516,x,x
17.032,27.214,2.581.076,1.938.532,x,x
17.134,27.358,2.586.268,1.938.556,x,x
17.235,27.515,2.586.340,1.938.556,x,x
17.337,27.683,2.582.412,1.938.576,x,x
17.438,27.854,2.581.604,1.938.592,x,x
17.539,28.004,2.582.540,1.938.612,x,x
17.641,28.160,2.585.380,1.938.632,x,x
17.742,28.327,2.588.160,1.938.648,x,x
17.843,28.503,2.580.892,1.938.652,x,x
17.945,28.655,2.584.708,1.938.676,x,x
18.046,28.823,2.582.328,1.938.680,x,x
18.148,28.994,2.580.312,1.938.696,x,x
18.249,29.129,2.585.148,1.938.712,x,x
18.350,29.299,2.580.096,1.938.712,x,x
18.452,29.460,2.581.428,1.938.728,x,x
18.553,29.593,2.581.904,1.938.740,x,x
18.654,29.764,2.583.976,1.938.764,x,x
18.756,29.899,2.583.352,1.938.776,x,x
18.857,30.048,2.582.644,1.938.800,x,x
18.958,30.204,2.582.888,1.938.816,x,x
19.060,30.345,2.586.340,1.938.824,x,x
19.161,30.515,2.581.784,1.938.856,x,x
19.262,30.687,2.584.228,1.938.872,x,x
19.364,30.848,2.582.140,1.938.880,x,x
19.465,30.977,2.581.740,1.938.900,x,x
19.567,31.112,2.581.296,1.938.920,x,x
19.668,31.271,2.580.788,1.938.932,x,x
19.769,31.424,2.583.632,1.938.948,x,x
19.871,31.591,2.580.736,1.938.964,x,x
19.972,31.743,2.584.796,1.938.988,x,x
20.074,31.906,2.581.780,1.939.012,x,x
20.175,32.062,2.581.720,1.939.024,x,x
20.276,32.219,2.582.428,1.939.036,x,x
20.378,32.376,2.582.336,1.939.048,x,x
20.479,32.519,2.583.856,1.939.072,x,x
20.580,32.673,2.581.756,1.939.084,x,x
20.682,32.829,2.582.208,1.939.104,x,x
20.783,33.000,2.582.964,1.939.116,x,x
20.885,33.146,2.580.036,1.939.116,x,x
20.986,33.295,2.580.896,1.939.132,x,x
21.087,33.453,2.583.064,1.939.136,x,x
21.189,33.626,2.584.544,1.939.144,x,x
21.290,33.812,2.586.364,1.939.152,x,x
21.392,33.984,2.581.708,1.939.176,x,x
21.493,34.115,2.580.468,1.939.188,x,x
21.594,34.290,2.585.140,1.939.216,x,x
21.696,34.420,2.583.412,1.939.232,x,x
21.797,34.594,2.581.548,1.939.244,x,x
21.898,34.761,2.580.960,1.939.260,x,x
22.000,34.924,2.586.112,1.939.276,x,x
22.101,35.101,2.586.448,1.939.300,x,x
22.202,35.262,2.583.784,1.939.304,x,x
22.304,35.437,2.586.828,1.939.360,x,x
22.405,35.593,2.581.888,1.939.364,x,x
22.507,35.732,2.584.340,1.939.372,x,x
22.608,35.895,2.580.628,1.939.392,x,x
22.709,36.054,2.585.008,1.939.400,x,x
22.811,36.196,2.583.904,1.939.428,x,x
22.912,36.347,2.582.048,1.939.448,x,x
23.013,36.530,2.582.716,1.939.452,x,x
23.115,36.701,2.583.180,1.939.464,x,x
23.216,36.878,2.582.488,1.939.476,x,x
23.318,37.055,2.583.940,1.939.500,x,x
23.419,37.213,2.581.556,1.939.516,x,x
23.520,37.347,2.581.820,1.939.516,x,x
23.622,37.517,2.582.904,1.939.528,x,x
23.723,37.666,2.583.968,1.939.544,x,x
23.825,37.833,2.581.168,1.939.572,x,x
23.926,37.969,2.584.420,1.939.576,x,x
24.027,38.151,2.585.948,1.939.608,x,x
24.129,38.327,2.581.800,1.939.612,x,x
24.230,38.490,2.584.368,1.939.628,x,x
24.331,38.652,2.583.128,1.939.632,x,x
24.433,38.835,2.585.160,1.939.652,x,x
24.534,38.997,2.585.772,1.939.668,x,x
24.636,39.175,2.585.260,1.939.672,x,x
24.737,39.333,2.584.188,1.939.676,x,x
24.838,39.496,2.582.680,1.939.700,x,x
24.940,39.667,2.581.244,1.939.724,x,x
25.041,39.804,2.583.220,1.939.728,x,x
25.142,39.984,2.585.132,1.939.760,x,x
25.244,40.147,2.583.948,1.939.768,x,x
25.345,40.304,2.581.672,1.939.800,x,x
25.446,40.456,2.585.288,1.939.816,x,x
25.548,40.644,2.581.992,1.939.836,x,x
25.649,40.795,2.586.504,1.939.840,x,x
25.751,40.952,2.581.604,1.939.864,x,x
25.852,41.112,2.583.076,1.939.872,x,x
25.953,41.260,2.581.604,1.939.888,x,x
26.055,41.407,2.582.148,1.939.896,x,x
26.156,41.561,2.583.356,1.939.916,x,x
26.258,41.729,2.585.276,1.939.948,x,x
26.359,41.896,2.585.300,1.939.968,x,x
26.460,42.039,2.583.008,1.939.996,x,x
26.562,42.220,2.586.080,1.940.016,x,x
26.663,42.368,2.582.276,1.940.036,x,x
26.765,42.515,2.582.352,1.940.036,x,x
26.866,42.662,2.583.068,1.940.052,x,x
26.967,42.803,2.585.232,1.940.064,x,x
27.069,42.949,2.584.084,1.940.068,x,x
27.170,43.114,2.584.756,1.940.080,x,x
27.272,43.237,2.582.532,1.940.092,x,x
27.373,43.418,2.581.912,1.940.108,x,x
27.475,43.575,2.583.140,1.940.112,x,x
27.576,43.735,2.583.376,1.940.124,x,x
27.677,43.916,2.587.648,1.940.148,x,x
27.779,44.069,2.582.764,1.940.164,x,x
27.880,44.203,2.585.728,1.940.180,x,x
27.981,44.368,2.581.552,1.940.192,x,x
28.083,44.540,2.583.840,1.940.216,x,x
28.184,44.697,2.583.400,1.940.220,x,x
28.285,44.828,2.585.300,1.940.240,x,x
28.387,44.990,2.585.188,1.940.256,x,x
28.488,45.169,2.585.040,1.940.288,x,x
28.590,45.361,2.584.588,1.940.308,x,x
28.691,45.518,2.584.160,1.940.332,x,x
28.792,45.671,2.584.960,1.940.348,x,x
28.894,45.837,2.582.464,1.940.372,x,x
28.995,46.008,2.583.380,1.940.388,x,x
29.096,46.148,2.586.756,1.940.404,x,x
29.198,46.324,2.584.596,1.940.416,x,x
29.299,46.488,2.582.712,1.940.440,x,x
29.401,46.639,2.586.036,1.940.456,x,x
29.502,46.816,2.583.944,1.940.472,x,x
29.603,46.964,2.585.168,1.940.492,x,x
29.705,47.116,2.583.828,1.940.504,x,x
29.806,47.276,2.585.620,1.940.536,x,x
