elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.289.648,71.725,x,x
101,6.407,1.355.152,69.712,x,x
202,13.786,1.356.344,70.944,x,x
304,21.124,1.357.176,73.031,x,x
405,28.624,1.357.872,74.802,x,x
507,36.100,1.359.108,76.252,x,x
609,43.287,1.359.416,74.750,x,x
711,50.526,1.359.812,76.050,x,x
812,57.795,1.359.888,77.689,x,x
914,65.091,1.360.264,79.715,x,x
1.016,72.449,1.372.408,81.966,x,x
1.118,79.679,1.362.156,70.773,x,x
1.219,87.124,1.363.120,72.381,x,x
1.321,94.487,1.363.612,72.800,x,x
1.422,101.849,1.363.420,71.748,x,x
1.524,109.187,1.364.692,74.124,x,x
1.625,116.402,1.363.072,68.585,x,x
1.727,123.432,1.365.348,70.941,x,x
1.829,130.596,1.364.596,69.533,x,x
1.930,137.750,1.363.696,68.596,x,x
2.032,144.983,1.363.952,69.502,x,x
2.133,152.200,1.364.272,70.396,x,x
2.235,159.324,1.364.528,71.284,x,x
2.336,166.602,1.364.784,71.830,x,x
2.438,173.799,1.364.852,71.634,x,x
2.539,181.072,1.365.124,73.478,x,x
2.641,188.197,1.366.064,73.726,x,x
2.742,195.123,1.363.860,68.807,x,x
2.844,201.987,1.364.452,67.925,x,x
2.945,208.994,1.364.708,68.865,x,x
3.047,216.027,1.364.900,69.570,x,x
3.148,222.967,1.365.156,69.988,x,x
3.250,229.850,1.363.980,7.571,x,x
3.350,236.967,1.365.976,72.427,x,x
3.452,244.043,1.366.232,72.661,x,x
3.553,251.116,1.365.596,71.936,x,x
3.655,258.230,1.366.704,74.229,x,x
3.756,265.358,1.366.260,73.070,x,x
3.858,271.988,1.365.540,68.054,x,x
3.959,278.862,1.366.076,69.098,x,x
4.061,285.786,1.366.328,69.643,x,x
4.162,292.762,1.366.456,69.983,x,x
4.263,299.764,1.366.712,71.537,x,x
4.365,306.696,1.366.840,72.434,x,x
4.466,313.651,1.366.904,71.759,x,x
4.568,320.559,1.367.096,73.559,x,x
4.669,327.481,1.365.304,70.412,x,x
4.771,334.566,1.365.432,72.627,x,x
4.872,341.422,1.368.856,73.875,x,x
4.973,347.444,1.365.772,69.156,x,x
5.075,352.785,1.367.868,70.428,x,x
5.176,358.052,1.367.932,72.142,x,x
5.278,363.328,1.367.932,71.302,x,x
5.379,368.667,1.368.208,72.664,x,x
5.480,373.980,1.368.336,72.141,x,x
5.582,379.374,1.368.484,73.440,x,x
5.683,384.670,1.368.544,73.025,x,x
5.785,389.965,1.369.472,73.985,x,x
5.886,395.356,1.369.464,73.738,x,x
5.987,400.742,1.367.772,72.146,x,x
6.089,406.039,1.367.916,71.194,x,x
6.190,411.397,1.368.504,71.971,x,x
6.292,416.638,1.369.032,73.019,x,x
6.393,421.965,1.369.560,73.764,x,x
6.494,427.082,1.367.844,67.409,x,x
6.596,432.109,1.368.420,69.579,x,x
6.697,436.912,1.370.488,70.863,x,x
6.798,442.016,1.370.488,72.303,x,x
6.900,447.131,1.370.680,72.047,x,x
7.001,452.470,1.370.880,73.362,x,x
7.102,457.718,1.368.824,69.678,x,x
7.204,462.873,1.369.208,70.496,x,x
7.305,468.143,1.369.288,71.056,x,x
7.406,473.534,1.369.360,71.362,x,x
7.508,478.909,1.369.812,73.300,x,x
7.609,483.986,1.370.504,73.780,x,x
7.710,489.165,1.369.692,72.927,x,x
7.812,494.533,1.370.800,75.102,x,x
7.913,499.837,1.370.772,73.890,x,x
8.014,505.001,1.369.180,68.302,x,x
8.116,510.116,1.369.956,69.605,x,x
8.217,515.369,1.370.276,70.372,x,x
8.318,520.493,1.370.564,71.169,x,x
8.420,525.763,1.370.756,71.236,x,x
8.521,530.686,1.371.252,71.065,x,x
8.622,535.843,1.371.044,73.157,x,x
8.723,540.897,1.371.476,72.455,x,x
8.825,546.092,1.371.604,74.225,x,x
8.926,551.266,1.369.148,70.475,x,x
9.027,556.424,1.369.652,71.435,x,x
9.128,561.522,1.369.976,71.978,x,x
9.230,566.707,1.369.248,72.219,x,x
9.331,571.940,1.370.520,74.190,x,x
9.432,577.092,1.370.788,74.681,x,x
9.533,582.167,1.368.684,67.951,x,x
9.635,587.106,1.369.348,70.240,x,x
9.736,592.281,1.369.512,71.027,x,x
9.837,597.424,1.369.512,73.449,x,x
9.938,602.577,1.369.640,74.488,x,x
10.039,607.656,1.369.640,76.181,x,x
10.141,612.766,1.369.768,78.158,x,x
10.242,617.866,1.370.108,79.391,x,x
10.343,622.997,1.370.388,81.349,x,x
10.444,628.121,1.370.516,83.165,x,x
10.546,633.446,1.370.856,84.465,x,x
10.647,638.570,1.371.204,86.480,x,x
10.748,643.723,1.371.000,88.205,x,x
10.849,649.079,1.371.340,89.567,x,x
10.951,654.059,1.371.688,91.623,x,x
11.052,659.064,1.371.992,88.884,x,x
11.153,663.961,1.372.204,90.579,x,x
11.254,669.073,1.372.460,92.565,x,x
11.356,674.127,1.372.828,94.111,x,x
11.457,679.319,1.373.040,95.713,x,x
11.558,684.526,1.373.380,98.163,x,x
11.660,689.709,1.373.508,99.378,x,x
11.761,696.637,1.399.928,100.996,x,x
11.862,704.608,1.400.948,102.594,x,x
11.964,712.623,1.401.352,104.868,x,x
12.065,720.218,1.375.752,76.523,x,x
12.166,727.868,1.376.772,78.107,x,x
12.266,735.685,1.373.940,75.612,x,x
12.367,743.258,1.371.948,70.679,x,x
12.467,750.911,1.373.576,72.119,x,x
12.568,758.620,1.375.176,74.604,x,x
12.668,766.390,1.375.312,75.969,x,x
12.769,774.158,1.375.200,74.939,x,x
12.870,782.009,1.375.400,76.432,x,x
12.970,789.864,1.375.400,78.427,x,x
13.071,797.723,1.375.536,80.592,x,x
13.171,805.614,1.375.672,82.174,x,x
13.272,813.453,1.375.672,83.989,x,x
13.372,821.120,1.372.856,79.032,x,x
13.473,828.766,1.373.048,80.586,x,x
13.574,836.401,1.373.048,82.604,x,x
13.674,844.064,1.373.184,85.029,x,x
13.775,851.808,1.373.320,86.558,x,x
13.875,859.533,1.373.456,88.191,x,x
13.976,867.227,1.373.456,90.782,x,x
14.077,875.013,1.373.592,92.112,x,x
14.177,882.841,1.387.208,93.590,x,x
14.278,890.879,1.393.672,95.842,x,x
14.378,898.697,1.372.744,71.711,x,x
14.479,906.448,1.372.824,73.908,x,x
14.580,914.195,1.372.960,75.491,x,x
14.680,922.030,1.373.096,76.960,x,x
14.781,929.900,1.373.160,79.479,x,x
14.881,937.822,1.373.344,80.418,x,x
14.982,945.883,1.381.052,80.828,x,x
15.082,953.973,1.381.244,81.252,x,x
15.183,962.047,1.381.436,81.687,x,x
15.283,970.070,1.381.500,82.055,x,x
15.384,977.895,1.372.612,69.430,x,x
15.484,985.864,1.372.740,69.818,x,x
15.585,993.705,1.372.868,70.216,x,x
15.686,1.001.682,1.372.964,70.611,x,x
15.786,1.009.764,1.372.964,70.998,x,x
15.887,1.017.728,1.372.964,71.390,x,x
15.987,1.025.845,1.372.964,71.825,x,x
16.088,1.034.013,1.373.028,72.268,x,x
16.188,1.042.114,1.373.028,72.673,x,x
16.289,1.050.245,1.373.028,73.067,x,x
16.389,1.058.126,1.373.160,69.709,x,x
16.490,1.065.968,1.373.224,70.097,x,x
16.590,1.073.925,1.373.224,70.514,x,x
16.691,1.081.938,1.373.288,70.904,x,x
16.791,1.089.941,1.373.288,71.330,x,x
16.892,1.098.027,1.373.288,71.744,x,x
16.992,1.106.095,1.373.288,72.139,x,x
17.093,1.114.218,1.373.288,72.541,x,x
17.194,1.122.383,1.373.288,72.988,x,x
17.294,1.130.552,1.373.288,73.695,x,x
17.395,1.138.383,1.373.380,70.049,x,x
17.495,1.146.380,1.373.484,70.512,x,x
17.596,1.154.265,1.373.484,70.908,x,x
17.696,1.162.260,1.373.484,71.284,x,x
17.797,1.170.409,1.373.484,71.728,x,x
17.897,1.178.525,1.373.548,72.126,x,x
17.998,1.186.591,1.373.548,72.551,x,x
18.099,1.194.694,1.373.548,72.954,x,x
18.199,1.202.823,1.373.548,73.372,x,x
18.300,1.210.769,1.373.636,70.012,x,x
18.400,1.218.749,1.373.700,70.405,x,x
18.501,1.226.654,1.373.764,70.810,x,x
18.601,1.234.724,1.373.808,71.205,x,x
18.702,1.242.764,1.373.808,71.624,x,x
18.802,1.250.782,1.373.808,72.058,x,x
18.903,1.258.806,1.373.808,72.464,x,x
19.004,1.266.842,1.373.808,72.845,x,x
19.104,1.274.876,1.373.808,73.250,x,x
19.205,1.283.041,1.373.808,73.687,x,x
19.305,1.291.059,1.373.892,70.312,x,x
19.406,1.298.935,1.373.956,70.692,x,x
19.506,1.306.925,1.373.956,71.139,x,x
19.607,1.314.991,1.373.956,71.531,x,x
19.707,1.323.039,1.374.020,71.947,x,x
19.808,1.331.102,1.374.068,72.346,x,x
19.908,1.339.195,1.374.068,72.772,x,x
20.009,1.347.331,1.374.068,73.151,x,x
20.110,1.355.366,1.374.068,73.538,x,x
20.210,1.363.543,1.374.068,73.966,x,x
20.311,1.371.513,1.374.212,70.614,x,x
20.411,1.379.432,1.374.212,71.037,x,x
20.512,1.387.381,1.374.276,71.410,x,x
20.612,1.395.350,1.374.276,71.782,x,x
20.713,1.403.392,1.374.276,72.215,x,x
20.813,1.411.464,1.374.328,72.620,x,x
20.914,1.419.559,1.374.328,73.018,x,x
21.015,1.427.560,1.374.328,73.413,x,x
21.115,1.435.696,1.374.328,73.850,x,x
21.215,1.443.839,1.374.328,74.287,x,x
21.316,1.451.797,1.374.532,70.934,x,x
21.417,1.459.751,1.374.588,71.339,x,x
21.517,1.467.703,1.374.588,71.748,x,x
21.618,1.475.675,1.374.588,72.111,x,x
21.718,1.483.759,1.374.588,72.517,x,x
21.819,1.491.884,1.374.588,72.940,x,x
21.919,1.499.981,1.374.588,73.360,x,x
22.020,1.508.071,1.374.588,73.771,x,x
22.121,1.516.209,1.374.588,74.241,x,x
