elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.374.936,163.058,x,x
100,1.057,1.415.324,115.480,x,x
200,2.323,1.420.176,115.553,x,x
301,3.552,1.421.224,115.623,x,x
401,4.945,1.422.480,115.681,x,x
501,6.165,1.422.668,115.756,x,x
602,7.474,1.422.708,115.816,x,x
702,8.797,1.423.132,115.881,x,x
802,10.134,1.423.132,115.945,x,x
903,11.430,1.423.452,116.009,x,x
1.003,12.724,1.423.648,116.075,x,x
1.104,13.992,1.423.648,116.142,x,x
1.204,15.256,1.423.852,116.208,x,x
1.304,16.549,1.423.856,116.274,x,x
1.405,17.823,1.423.856,116.339,x,x
1.505,19.094,1.424.260,116.405,x,x
1.605,20.436,1.424.320,116.467,x,x
1.706,21.819,1.424.380,116.531,x,x
1.806,23.248,1.424.456,116.590,x,x
1.906,24.492,1.424.960,116.663,x,x
2.007,25.786,1.425.448,116.730,x,x
2.107,26.939,1.425.504,116.789,x,x
2.207,28.241,1.425.644,116.849,x,x
2.308,29.409,1.425.712,116.918,x,x
2.408,30.702,1.425.776,116.981,x,x
2.508,31.912,1.425.852,117.049,x,x
2.609,33.236,1.426.004,117.113,x,x
2.709,34.539,1.426.124,117.178,x,x
2.810,35.814,1.426.192,117.248,x,x
2.910,37.038,1.426.260,117.317,x,x
3.010,38.318,1.426.332,117.385,x,x
3.111,39.672,1.426.388,117.441,x,x
3.211,41.062,1.426.452,117.503,x,x
3.311,42.364,1.426.716,117.573,x,x
3.412,43.604,1.426.836,117.645,x,x
3.512,44.861,1.426.904,117.709,x,x
3.612,46.193,1.427.236,117.766,x,x
3.713,47.585,1.427.300,117.827,x,x
3.813,48.810,1.427.892,117.901,x,x
3.913,50.196,1.427.956,117.960,x,x
4.014,51.520,1.428.024,118.028,x,x
4.114,52.875,1.428.096,118.093,x,x
4.214,54.038,1.428.168,118.165,x,x
4.315,55.429,1.428.224,118.224,x,x
4.415,56.812,1.428.612,118.289,x,x
4.515,58.132,1.428.844,118.355,x,x
4.616,59.459,1.428.904,118.423,x,x
4.716,60.737,1.428.968,118.494,x,x
4.816,61.987,1.429.028,118.564,x,x
4.917,63.130,1.429.088,118.634,x,x
5.017,64.305,1.429.152,118.704,x,x
5.117,65.602,1.429.208,118.765,x,x
5.218,66.880,1.429.264,118.828,x,x
5.318,68.196,1.429.324,118.890,x,x
5.419,69.467,1.429.392,118.958,x,x
5.519,70.679,1.430.008,119.026,x,x
5.619,71.904,1.430.396,119.092,x,x
5.720,73.247,1.430.520,119.156,x,x
5.820,74.593,1.430.580,119.225,x,x
5.920,75.953,1.430.796,119.292,x,x
6.021,77.338,1.430.808,119.356,x,x
6.121,78.558,1.430.816,119.431,x,x
6.221,79.849,1.430.824,119.494,x,x
6.322,81.170,1.430.832,119.557,x,x
6.422,82.438,1.430.840,119.624,x,x
6.522,83.646,1.430.868,119.681,x,x
6.623,84.995,1.430.908,119.738,x,x
6.723,86.210,1.430.964,119.807,x,x
6.823,86.956,1.430.996,119.848,x,x
6.924,87.300,1.431.256,119.867,x,x
7.024,87.800,1.431.276,119.893,x,x
7.124,88.095,1.431.292,119.913,x,x
7.225,88.651,1.431.312,119.940,x,x
7.325,89.148,1.432.028,119.964,x,x
7.426,89.432,1.432.040,119.987,x,x
7.526,90.003,1.432.060,120.008,x,x
7.626,90.491,1.432.408,120.038,x,x
7.727,90.984,1.432.620,120.057,x,x
7.827,91.470,1.432.836,120.078,x,x
7.927,91.984,1.432.856,120.104,x,x
8.028,92.415,1.433.024,120.134,x,x
8.128,92.795,1.433.544,120.154,x,x
8.228,93.324,1.433.568,120.181,x,x
8.329,93.997,1.434.044,120.209,x,x
8.429,94.492,1.434.664,120.232,x,x
8.529,94.888,1.434.800,120.260,x,x
8.630,95.347,1.434.852,120.283,x,x
8.730,95.693,1.434.884,120.307,x,x
8.830,96.101,1.434.916,120.333,x,x
8.931,96.670,1.434.936,120.355,x,x
9.031,97.167,1.435.032,120.380,x,x
9.132,97.737,1.435.516,120.409,x,x
9.232,98.114,1.435.544,120.432,x,x
9.332,98.734,1.435.572,120.456,x,x
9.433,99.259,1.435.588,120.478,x,x
9.533,99.829,1.435.616,120.507,x,x
9.633,100.320,1.436.952,120.531,x,x
9.734,100.739,1.436.980,120.557,x,x
9.834,101.240,1.437.004,120.579,x,x
9.934,101.750,1.437.028,120.605,x,x
10.035,102.240,1.437.056,120.632,x,x
10.135,102.818,1.437.084,120.657,x,x
10.236,103.323,1.437.108,120.682,x,x
10.336,103.827,1.437.876,120.707,x,x
10.436,104.307,1.437.948,120.731,x,x
10.537,104.942,1.437.976,120.758,x,x
10.637,105.495,1.438.008,120.786,x,x
10.737,105.948,1.438.036,120.813,x,x
10.838,106.408,1.438.060,120.834,x,x
10.938,106.877,1.438.080,120.859,x,x
11.038,107.368,1.438.104,120.885,x,x
11.139,107.928,1.438.136,120.913,x,x
11.239,108.252,1.438.160,120.938,x,x
11.339,108.609,1.438.184,120.961,x,x
11.440,109.012,1.438.212,120.990,x,x
11.540,109.493,1.438.236,121.012,x,x
11.640,109.913,1.438.840,121.029,x,x
11.741,110.283,1.439.600,121.050,x,x
11.841,110.738,1.439.624,121.073,x,x
11.941,111.096,1.439.728,121.087,x,x
12.042,111.534,1.439.752,121.110,x,x
12.142,112.016,1.439.776,121.134,x,x
12.243,112.593,1.439.808,121.160,x,x
12.343,113.076,1.441.184,121.181,x,x
12.443,113.548,1.441.204,121.202,x,x
12.544,114.032,1.441.224,121.223,x,x
12.644,114.526,1.441.240,121.244,x,x
12.744,114.912,1.441.252,121.266,x,x
12.845,115.533,1.441.272,121.284,x,x
12.945,116.072,1.441.280,121.304,x,x
13.045,116.716,1.442.488,121.330,x,x
13.146,117.197,1.443.504,121.349,x,x
13.246,117.638,1.443.524,121.376,x,x
13.346,118.228,1.444.028,121.403,x,x
13.447,118.747,1.444.044,121.424,x,x
13.547,119.161,1.444.064,121.447,x,x
13.648,119.649,1.444.084,121.471,x,x
13.748,120.200,1.444.100,121.496,x,x
13.848,120.788,1.444.112,121.519,x,x
13.949,121.342,1.444.656,121.539,x,x
14.049,121.840,1.445.060,121.564,x,x
14.149,122.404,1.445.084,121.593,x,x
14.250,122.886,1.445.644,121.614,x,x
14.350,123.328,1.445.668,121.642,x,x
14.451,123.861,1.445.680,121.663,x,x
14.551,124.311,1.445.704,121.689,x,x
14.651,124.840,1.445.720,121.712,x,x
14.752,125.472,1.445.740,121.738,x,x
14.852,125.903,1.445.756,121.762,x,x
14.952,126.359,1.445.776,121.782,x,x
15.053,126.997,1.445.792,121.805,x,x
15.153,127.472,1.445.820,121.830,x,x
15.253,127.917,1.445.832,121.852,x,x
15.354,128.556,1.445.856,121.877,x,x
15.454,129.038,1.445.876,121.900,x,x
15.554,129.439,1.445.896,121.926,x,x
15.655,129.980,1.445.924,121.954,x,x
15.755,130.552,1.445.952,121.980,x,x
15.856,130.931,1.445.976,122.004,x,x
15.956,131.386,1.445.996,122.029,x,x
16.057,131.908,1.446.008,122.054,x,x
16.157,132.464,1.446.032,122.076,x,x
16.257,132.889,1.446.056,122.100,x,x
16.358,133.383,1.446.084,122.126,x,x
16.458,133.977,1.446.292,122.152,x,x
16.558,134.462,1.446.312,122.178,x,x
16.659,135.002,1.446.324,122.204,x,x
16.759,135.467,1.446.888,122.228,x,x
16.859,136.114,1.447.440,122.251,x,x
16.960,136.835,1.447.448,122.275,x,x
17.060,137.252,1.447.452,122.301,x,x
17.160,137.661,1.447.460,122.325,x,x
17.261,138.237,1.447.468,122.352,x,x
17.361,138.698,1.447.472,122.374,x,x
17.462,139.189,1.447.476,122.397,x,x
17.562,139.638,1.447.484,122.422,x,x
17.662,140.107,1.447.488,122.442,x,x
17.763,140.712,1.447.492,122.467,x,x
17.863,141.079,1.447.500,122.499,x,x
17.964,141.506,1.447.508,122.521,x,x
18.064,142.054,1.447.516,122.545,x,x
18.164,142.594,1.447.524,122.574,x,x
18.265,143.203,1.447.528,122.597,x,x
18.365,143.789,1.447.536,122.625,x,x
18.465,144.245,1.447.544,122.653,x,x
18.566,144.764,1.447.552,122.676,x,x
18.666,145.211,1.447.560,122.705,x,x
18.766,145.839,1.447.564,122.727,x,x
18.867,146.346,1.447.568,122.753,x,x
18.967,146.828,1.447.572,122.775,x,x
19.068,147.246,1.447.576,122.804,x,x
19.168,147.876,1.447.580,122.823,x,x
19.268,148.286,1.447.580,122.846,x,x
19.369,148.652,1.447.592,122.869,x,x
19.469,149.067,1.447.608,122.894,x,x
19.569,149.389,1.447.616,122.913,x,x
19.670,149.703,1.447.628,122.938,x,x
19.770,150.071,1.447.640,122.956,x,x
19.870,150.607,1.447.708,122.980,x,x
19.971,151.196,1.448.328,123.003,x,x
20.071,151.685,1.448.340,123.024,x,x
20.171,152.119,1.448.352,123.049,x,x
20.272,152.500,1.448.368,123.077,x,x
20.372,152.871,1.448.376,123.100,x,x
20.472,153.540,1.448.392,123.126,x,x
20.573,154.009,1.448.408,123.151,x,x
20.673,154.582,1.448.420,123.175,x,x
20.774,155.024,1.448.428,123.202,x,x
20.874,155.447,1.448.432,123.233,x,x
