elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.385.812,163.062,x,x
100,4.328,1.421.576,115.663,x,x
201,10.075,1.422.448,115.959,x,x
301,15.929,1.422.956,116.237,x,x
401,21.805,1.423.520,116.579,x,x
502,27.647,1.423.824,116.881,x,x
602,33.484,1.424.268,117.183,x,x
702,39.359,1.424.496,117.474,x,x
803,45.088,1.424.956,117.753,x,x
903,50.930,1.425.304,118.066,x,x
1.003,56.717,1.425.592,118.353,x,x
1.104,62.563,1.425.896,118.651,x,x
1.204,68.389,1.426.296,118.924,x,x
1.305,74.187,1.426.692,119.221,x,x
1.405,80.122,1.426.984,119.549,x,x
1.505,86.011,1.427.388,119.854,x,x
1.606,91.919,1.427.716,120.177,x,x
1.706,97.707,1.428.040,120.465,x,x
1.806,103.583,1.428.508,120.788,x,x
1.907,109.412,1.428.792,121.071,x,x
2.007,115.234,1.429.104,121.378,x,x
2.107,120.977,1.429.408,121.673,x,x
2.208,126.706,1.429.996,121.967,x,x
2.308,132.512,1.430.508,122.255,x,x
2.409,138.358,1.430.908,122.540,x,x
2.509,144.263,1.431.224,122.865,x,x
2.609,150.116,1.431.504,123.173,x,x
2.710,155.935,1.431.820,123.512,x,x
2.810,161.753,1.432.100,123.789,x,x
2.910,167.534,1.432.408,124.094,x,x
3.011,173.312,1.432.588,125.399,x,x
3.111,179.027,1.432.588,128.722,x,x
3.211,184.721,1.328.576,64.229,x,x
3.312,190.179,1.328.772,65.539,x,x
3.412,195.621,1.328.796,67.821,x,x
3.513,201.126,1.328.828,69.118,x,x
3.613,206.605,1.328.884,71.450,x,x
3.714,212.083,1.328.964,73.762,x,x
3.814,217.545,1.329.212,76.088,x,x
3.914,223.021,1.330.540,77.394,x,x
4.015,228.567,1.330.936,79.745,x,x
4.115,234.069,1.331.416,82.105,x,x
4.215,239.576,1.331.880,84.431,x,x
4.316,245.089,1.332.476,85.716,x,x
4.416,250.553,1.332.880,88.057,x,x
4.517,256.047,1.335.228,90.384,x,x
4.617,261.498,1.335.672,91.690,x,x
4.717,266.960,1.336.120,94.022,x,x
4.818,272.512,1.336.556,96.379,x,x
4.918,278.067,1.337.004,98.712,x,x
5.018,283.586,1.337.984,100.028,x,x
5.119,289.140,1.338.548,102.375,x,x
5.219,294.677,1.340.912,104.685,x,x
5.320,300.247,1.341.320,107.032,x,x
5.420,305.736,1.341.668,108.354,x,x
5.520,311.268,1.341.956,110.674,x,x
5.621,316.770,1.342.336,113.043,x,x
5.721,322.334,1.346.460,115.383,x,x
5.821,327.815,1.346.752,116.695,x,x
5.922,333.314,1.347.044,119.003,x,x
6.022,338.835,1.347.332,121.340,x,x
6.123,344.303,1.347.648,123.634,x,x
6.223,349.877,1.348.004,124.946,x,x
6.323,355.383,1.348.580,127.280,x,x
6.424,360.918,1.349.184,129.630,x,x
6.524,366.528,1.349.800,132.002,x,x
6.625,372.032,1.360.312,135.378,x,x
6.725,377.568,1.360.588,137.101,x,x
6.825,383.173,1.360.868,137.378,x,x
6.926,388.683,1.361.092,137.629,x,x
7.026,394.175,1.361.396,137.896,x,x
7.126,399.771,1.361.688,138.184,x,x
7.227,405.377,1.361.996,138.491,x,x
7.327,410.946,1.362.268,138.760,x,x
7.428,416.425,1.362.608,139.051,x,x
7.528,421.991,1.362.920,139.361,x,x
7.628,427.458,1.363.184,139.648,x,x
7.729,433.006,1.363.504,139.966,x,x
7.829,438.546,1.363.804,140.256,x,x
7.930,444.108,1.364.148,140.551,x,x
8.030,449.616,1.364.220,140.844,x,x
8.130,455.181,1.364.232,141.116,x,x
8.231,458.243,1.364.912,141.250,x,x
8.331,461.954,1.344.040,78.083,x,x
8.431,467.895,1.344.072,78.363,x,x
8.532,473.964,1.344.360,78.685,x,x
8.632,480.044,1.344.764,78.993,x,x
8.732,486.162,1.345.036,79.278,x,x
8.833,492.370,1.345.364,79.607,x,x
8.933,498.560,1.345.688,79.925,x,x
9.034,504.717,1.346.036,80.229,x,x
9.134,510.944,1.346.416,80.559,x,x
9.234,517.185,1.346.764,80.887,x,x
9.335,523.407,1.347.124,81.243,x,x
9.435,529.579,1.347.436,81.553,x,x
9.535,535.801,1.347.772,81.886,x,x
9.635,541.967,1.348.040,82.183,x,x
9.736,548.179,1.348.148,82.485,x,x
9.836,554.374,1.348.464,82.805,x,x
9.937,560.550,1.348.780,83.116,x,x
10.037,566.654,1.349.100,83.424,x,x
10.137,572.839,1.349.432,83.750,x,x
10.237,579.045,1.349.740,84.059,x,x
10.338,585.225,1.349.908,84.373,x,x
10.438,591.373,1.350.160,84.682,x,x
10.539,597.453,1.350.444,84.961,x,x
10.639,603.611,1.350.784,85.298,x,x
10.739,609.751,1.351.112,85.634,x,x
10.840,615.957,1.351.432,85.945,x,x
10.940,622.106,1.351.756,86.266,x,x
11.040,628.284,1.352.096,86.603,x,x
11.141,634.418,1.352.396,86.896,x,x
11.241,640.595,1.352.828,87.199,x,x
11.341,646.724,1.353.152,87.511,x,x
11.442,652.849,1.353.480,87.837,x,x
11.542,659.036,1.353.792,88.148,x,x
11.642,665.254,1.354.392,88.483,x,x
11.743,671.403,1.354.696,88.794,x,x
11.843,677.631,1.355.032,89.127,x,x
11.943,683.826,1.355.188,89.457,x,x
12.044,689.912,1.355.256,89.739,x,x
12.144,696.111,1.355.292,90.045,x,x
12.244,702.351,1.355.428,90.383,x,x
12.345,708.528,1.355.692,90.715,x,x
12.445,714.729,1.355.980,91.034,x,x
12.545,720.857,1.356.296,91.342,x,x
12.646,727.074,1.356.624,91.663,x,x
12.746,733.266,1.356.956,91.969,x,x
12.846,739.436,1.357.276,92.284,x,x
12.947,745.572,1.357.576,92.585,x,x
13.047,751.760,1.357.896,92.899,x,x
13.147,757.972,1.358.212,93.212,x,x
13.248,764.209,1.358.384,93.527,x,x
13.348,770.401,1.358.640,93.825,x,x
13.449,776.505,1.358.884,94.094,x,x
13.549,782.670,1.359.172,94.429,x,x
13.649,788.883,1.359.588,94.740,x,x
13.750,795.083,1.359.892,95.040,x,x
13.850,801.304,1.360.172,95.324,x,x
13.950,807.439,1.360.432,95.618,x,x
14.051,813.653,1.360.764,95.981,x,x
14.151,819.738,1.361.068,96.294,x,x
14.251,825.957,1.361.456,96.639,x,x
14.352,832.135,1.361.884,96.969,x,x
14.452,838.336,1.362.424,97.292,x,x
14.552,844.509,1.362.752,97.618,x,x
14.653,850.623,1.363.116,97.927,x,x
14.753,856.828,1.363.432,98.231,x,x
14.853,863.005,1.363.716,98.513,x,x
14.954,869.217,1.364.060,98.852,x,x
15.054,875.451,1.364.388,99.178,x,x
15.154,881.620,1.364.680,99.465,x,x
15.255,887.773,1.364.976,99.761,x,x
15.355,893.916,1.365.312,100.088,x,x
15.455,900.133,1.365.696,100.446,x,x
15.556,906.324,1.366.012,100.760,x,x
15.656,912.518,1.366.304,101.045,x,x
15.756,918.665,1.366.644,101.364,x,x
15.857,924.748,1.366.972,101.683,x,x
15.957,930.957,1.367.288,101.998,x,x
16.057,937.111,1.367.580,102.311,x,x
16.158,943.294,1.367.704,102.648,x,x
16.258,949.523,1.367.788,102.952,x,x
16.358,955.704,1.367.860,103.281,x,x
16.459,961.787,1.367.932,103.587,x,x
16.559,967.955,1.368.124,103.910,x,x
16.659,974.094,1.368.328,104.223,x,x
16.760,980.318,1.368.656,104.556,x,x
16.860,986.569,1.368.972,104.866,x,x
16.960,992.724,1.369.332,105.222,x,x
17.061,998.915,1.369.668,105.557,x,x
17.161,1.005.083,1.369.992,105.872,x,x
17.262,1.011.325,1.370.328,106.209,x,x
17.362,1.017.549,1.370.656,106.536,x,x
17.462,1.023.777,1.371.028,106.903,x,x
17.563,1.029.984,1.371.352,107.224,x,x
17.663,1.036.210,1.371.672,107.538,x,x
17.763,1.042.405,1.372.044,107.907,x,x
17.864,1.048.661,1.372.380,108.235,x,x
17.964,1.054.947,1.372.728,108.583,x,x
18.064,1.061.123,1.373.032,108.884,x,x
18.165,1.067.229,1.373.368,109.211,x,x
18.265,1.073.381,1.373.708,109.553,x,x
18.365,1.079.569,1.374.024,109.864,x,x
18.466,1.085.703,1.374.336,110.172,x,x
18.566,1.091.834,1.374.628,110.463,x,x
18.666,1.097.996,1.374.956,110.786,x,x
18.767,1.104.178,1.375.264,111.087,x,x
18.867,1.110.261,1.375.596,111.419,x,x
18.967,1.116.448,1.375.960,111.777,x,x
19.068,1.122.663,1.376.252,112.065,x,x
19.168,1.128.837,1.376.576,112.390,x,x
19.268,1.135.030,1.376.800,112.693,x,x
19.369,1.141.186,1.376.972,112.985,x,x
19.469,1.147.374,1.377.228,113.286,x,x
19.569,1.153.577,1.377.528,113.623,x,x
19.670,1.159.773,1.377.832,113.936,x,x
19.770,1.165.892,1.378.164,114.261,x,x
19.870,1.172.087,1.378.476,114.569,x,x
19.971,1.178.312,1.378.768,114.858,x,x
20.071,1.184.528,1.379.084,115.177,x,x
20.171,1.190.785,1.379.400,115.487,x,x
20.272,1.197.001,1.379.744,115.827,x,x
20.372,1.203.194,1.380.068,116.147,x,x
20.472,1.209.358,1.380.388,116.455,x,x
20.573,1.215.592,1.380.724,116.792,x,x
20.673,1.221.782,1.381.040,117.102,x,x
20.773,1.228.021,1.381.400,117.437,x,x
20.874,1.234.302,1.381.728,117.764,x,x
20.974,1.240.432,1.382.052,118.086,x,x
21.074,1.246.624,1.382.392,118.421,x,x
21.175,1.252.794,1.382.724,118.750,x,x
21.275,1.259.000,1.383.048,119.070,x,x
21.375,1.265.233,1.383.460,119.390,x,x
21.476,1.271.451,1.383.804,119.686,x,x
21.576,1.277.746,1.384.200,120.026,x,x
21.676,1.283.964,1.384.568,120.341,x,x
21.777,1.290.224,1.384.936,120.702,x,x
21.877,1.296.396,1.385.264,121.027,x,x
21.977,1.302.553,1.385.576,121.340,x,x
22.078,1.308.760,1.385.892,121.657,x,x
22.178,1.314.913,1.386.208,121.966,x,x
22.279,1.321.133,1.386.532,122.292,x,x
22.379,1.327.340,1.386.884,122.625,x,x
22.479,1.333.558,1.387.220,122.957,x,x
22.580,1.339.764,1.387.568,123.300,x,x
22.680,1.345.884,1.387.904,123.634,x,x
22.780,1.351.964,1.388.100,123.930,x,x
22.881,1.358.205,1.388.432,124.259,x,x
22.981,1.364.421,1.388.796,124.562,x,x
23.081,1.370.584,1.389.140,124.879,x,x
23.181,1.376.803,1.389.440,125.191,x,x
23.282,1.383.072,1.389.768,125.516,x,x
23.382,1.389.293,1.390.076,125.818,x,x
23.482,1.395.522,1.390.392,126.132,x,x
23.583,1.401.693,1.390.708,126.446,x,x
23.683,1.407.921,1.391.172,126.783,x,x
23.783,1.414.070,1.391.500,127.088,x,x
23.884,1.420.288,1.391.808,127.394,x,x
23.984,1.426.500,1.392.116,127.684,x,x
24.085,1.432.632,1.392.400,132.020,x,x
24.185,1.438.807,1.392.728,132.349,x,x
24.285,1.444.902,1.393.020,68.053,x,x
24.386,1.450.993,1.393.068,68.340,x,x
24.486,1.457.123,1.393.068,68.644,x,x
24.586,1.463.291,1.393.068,68.960,x,x
24.687,1.469.483,1.393.068,69.307,x,x
24.787,1.475.600,1.393.068,69.631,x,x
24.888,1.481.742,1.393.068,69.955,x,x
24.988,1.487.903,1.393.068,70.278,x,x
25.088,1.493.919,1.393.068,70.560,x,x
25.189,1.499.947,1.393.068,70.840,x,x
25.289,1.506.072,1.393.068,71.135,x,x
25.389,1.512.131,1.393.068,71.427,x,x
25.490,1.518.273,1.393.068,71.742,x,x
25.590,1.524.377,1.393.068,72.034,x,x
25.690,1.530.452,1.393.068,72.324,x,x
25.791,1.536.560,1.393.068,72.621,x,x
25.891,1.542.667,1.393.068,72.970,x,x
25.991,1.548.837,1.393.068,73.300,x,x
26.092,1.554.980,1.393.068,73.582,x,x
26.192,1.561.080,1.393.068,73.878,x,x
26.292,1.567.225,1.393.068,74.175,x,x
26.393,1.573.361,1.393.068,74.496,x,x
26.493,1.579.444,1.393.068,74.815,x,x
26.593,1.585.573,1.393.072,75.159,x,x
26.694,1.591.633,1.393.108,75.469,x,x
26.794,1.597.718,1.393.108,75.772,x,x
26.894,1.603.856,1.393.196,76.067,x,x
26.995,1.609.964,1.393.196,76.362,x,x
27.095,1.616.004,1.393.196,76.643,x,x
27.196,1.622.158,1.393.212,76.978,x,x
27.296,1.628.237,1.393.212,77.276,x,x
27.396,1.634.299,1.393.212,77.588,x,x
27.497,1.640.360,1.393.212,77.898,x,x
27.597,1.646.425,1.393.212,78.198,x,x
27.697,1.652.531,1.393.212,78.535,x,x
27.798,1.658.631,1.393.212,78.827,x,x
27.898,1.664.787,1.393.212,79.164,x,x
27.998,1.670.865,1.393.212,79.478,x,x
28.099,1.676.955,1.393.212,79.788,x,x
28.199,1.683.115,1.393.292,80.108,x,x
28.299,1.689.271,1.393.292,80.448,x,x
28.400,1.695.433,1.393.292,80.782,x,x
28.500,1.701.615,1.393.292,81.096,x,x
28.600,1.707.807,1.393.292,81.450,x,x
28.701,1.713.905,1.393.292,81.764,x,x
28.801,1.719.995,1.393.292,82.072,x,x
28.901,1.726.111,1.393.292,82.390,x,x
29.002,1.732.236,1.393.292,82.691,x,x
29.102,1.738.323,1.393.308,82.977,x,x
29.202,1.744.437,1.393.308,83.283,x,x
29.303,1.750.554,1.393.308,83.624,x,x
29.403,1.756.695,1.393.308,83.932,x,x
29.504,1.762.759,1.393.308,84.257,x,x
29.604,1.768.862,1.393.308,84.549,x,x
29.704,1.774.963,1.393.308,84.864,x,x
29.805,1.781.034,1.393.308,85.175,x,x
29.905,1.787.124,1.393.308,85.455,x,x
30.005,1.793.185,1.393.308,85.735,x,x
