start_ns,end_ns
1345153,2034195
2267391,2537429
2345578,3214906
3671964,4306241
6322142,6694628
6791715,6960597
6982690,7123452
6988102,7158395
7281398,7794625
10756367,11127141
11042808,11359267
11750087,11869548
11881169,12046562
12819753,13420258
13229789,13706395
13934874,14567128
13962168,14053789
14067112,14623123
14111152,14378319
14470310,14543170
15013282,15285509
15056986,15762573
15128811,15209023
15219332,15291956
16255291,16291449
16800869,16832579
19408269,19729715
19877940,19927601
19939033,20120714
20053630,20502592
20447438,20619546
20612807,20733338
21241439,21755902
22488210,22587318
22734844,22883837
24555288,24894328
25855481,26414552
25882651,26297069
29425667,29455804
29611098,29915081
29980565,30028362
30457327,30560525
31829881,31920008
31943282,32057882
32747760,32791850
34153798,34269923
34229655,34590037
34468151,34607426
34694570,34935545
35590580,35784807
35787725,35857884
36742469,36848697
37251261,37535860
38043148,38372544
38204034,38361088
38367369,38444484
38686673,38791591
39817730,39956028
40103070,40204156
40246689,40361155
40854114,40955744
40994280,41156407
41008296,41155741
42163003,42258327
42340240,42661189
42492685,42723848
43726299,43765599
43807554,44035556
44847171,44886856
44879555,44981904
44889147,45114486
44993966,45026736
45072028,45228614
45297520,45580262
45963224,46115652
46006507,46056596
46383348,46479389
46700579,46880645
47281663,47328110
48433233,48496738
48572669,48631841
48969338,49109059
49425976,49520534
49480611,49719757
49795959,49898082
50461008,50572758
50465521,50550675
50871958,51144411
51118913,51201092
51633596,51733497
51816879,52006555
53070055,53228922
53408732,53450152
53595777,53772592
53828273,53864389
54123009,54393569
54486291,54651222
54880163,54910592
54931090,55174352
55844430,56092758
56085668,56142983
57188403,57218624
57415338,57465491
57609019,57808491
57619300,57657917
58383038,58550240
58602183,58893779
58622307,58655371
58738679,58933801
58815274,58907832
59112478,59384692
59655605,59963259
59990513,60155714
60344247,60593046
60956879,61150057
61010501,61223458
61375043,61453168
61407511,61571353
61559044,61744093
61604873,61627599
61746318,61841456
62364947,62604372
63144182,63402075
63646862,63868528
63919844,63941053
64544676,64849529
65406366,65473384
65744344,65893260
66043629,66251408
66355735,66549097
67177639,67268984
67749714,67990790
68047157,68310299
68342895,68570774
68467898,68485341
68579505,68724031
68728311,68812690
68837018,68906535
69092887,69118953
69247951,69422483
69780876,69908269
70174115,70233508
70262743,70360442
70361405,70426393
70593164,70833165
70715900,70868082
70913313,70938342
70969828,71070394
71002714,71054711
71022385,71202576
71217464,71349201
71369149,71446968
71817774,72027515
73079617,73161788
73454007,73529617
74642873,74764426
75627653,75755017
76296014,76496658
76435786,76706058
76455821,76660566
76899803,76964016
77028470,77052605
77055816,77146971
77361365,77396121
77788146,78002057
77995753,78050591
80357405,80466145
80490545,80569062
80507304,80765765
80558383,80724400
80967520,81028408
82522602,82571924
83114274,83375441
83137644,83387302
83245040,83291037
83447882,83593276
83737353,83839626
85610588,85751069
85639220,85856913
86446966,86721089
86520933,86546206
87075885,87266925
87250021,87320506
87407736,87472858
87458712,87544885
88276828,88435416
88416762,88449753
89216913,89328436
90179896,90422686
90958059,91198587
91728231,91822478
92027830,92260860
92441654,92598436
92560916,92801694
92600535,92756883
92670798,92887781
93220862,93437186
93246603,93338562
93533067,93622833
93685912,93752749
93888071,94106302
94120063,94197614
94213715,94290485
94300028,94370510
94310188,94477446
