elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.477.868,171.272,x,x
103,66,1.659.420,167.495,x,x
205,147,1.765.748,167.501,x,x
308,264,1.838.992,167.508,x,x
412,395,1.865.048,167.521,x,x
515,512,1.876.812,167.528,x,x
619,631,1.891.348,167.536,x,x
723,747,1.912.320,167.544,x,x
826,875,1.937.192,167.551,x,x
930,1.011,1.956.860,167.556,x,x
1.033,1.095,1.969.704,167.563,x,x
1.137,1.219,1.968.976,167.570,x,x
1.241,1.342,1.969.560,167.583,x,x
1.344,1.453,1.980.444,167.590,x,x
1.448,1.533,1.988.796,167.590,x,x
1.551,1.611,2.039.548,167.595,x,x
1.655,1.680,2.048.912,167.602,x,x
1.758,1.854,2.049.796,167.602,x,x
1.862,2.001,2.054.332,167.684,x,x
1.966,2.127,2.054.616,163.840,x,x
2.069,2.238,2.059.984,163.848,x,x
2.173,2.342,2.069.140,163.856,x,x
2.276,2.453,2.070.424,163.863,x,x
2.380,2.563,2.078.304,163.870,x,x
2.484,2.654,2.079.712,163.870,x,x
2.587,2.762,2.089.348,163.877,x,x
2.691,2.878,2.089.460,163.889,x,x
2.794,2.972,2.089.460,163.896,x,x
2.898,3.088,2.098.624,163.896,x,x
3.002,3.204,2.103.160,163.912,x,x
3.105,3.309,2.104.528,163.912,x,x
3.209,3.417,2.120.452,163.919,x,x
3.312,3.513,2.118.916,163.925,x,x
3.416,3.620,2.118.916,163.925,x,x
3.520,3.748,2.118.568,163.932,x,x
3.623,3.881,2.118.260,163.940,x,x
3.727,3.995,2.115.532,163.946,x,x
3.830,4.118,2.115.160,163.946,x,x
3.934,4.230,2.113.684,163.953,x,x
4.037,4.367,2.112.448,163.959,x,x
4.141,4.477,2.116.896,163.966,x,x
4.245,4.581,2.131.068,163.974,x,x
4.348,4.691,2.131.176,163.974,x,x
4.452,4.828,2.135.176,163.981,x,x
4.555,4.987,2.135.368,163.988,x,x
4.659,5.091,2.135.368,163.995,x,x
4.763,5.181,2.147.740,164.000,x,x
4.866,5.277,2.147.740,164.006,x,x
4.970,5.400,2.147.740,164.014,x,x
5.074,5.530,2.147.740,164.020,x,x
5.177,5.636,2.147.740,164.026,x,x
5.281,5.769,2.146.836,164.033,x,x
5.384,5.901,2.146.836,164.044,x,x
5.488,6.032,2.146.836,164.052,x,x
5.591,6.146,2.146.836,164.059,x,x
5.695,6.247,2.146.836,164.059,x,x
5.799,6.359,2.148.992,164.897,x,x
5.902,6.457,2.147.796,164.071,x,x
6.006,6.562,2.150.024,164.077,x,x
6.109,6.664,2.150.204,164.083,x,x
6.212,6.806,2.150.220,164.091,x,x
6.315,6.920,2.148.052,164.097,x,x
6.419,7.018,2.147.060,164.103,x,x
6.523,7.121,2.147.060,164.110,x,x
6.626,7.215,2.139.460,164.110,x,x
6.730,7.286,2.166.096,164.110,x,x
6.833,7.411,2.168.116,164.117,x,x
6.937,7.513,2.170.864,164.124,x,x
7.040,7.609,2.165.060,164.131,x,x
7.144,7.710,2.161.584,164.131,x,x
7.247,7.828,2.161.584,164.138,x,x
7.351,7.925,2.166.116,164.143,x,x
7.455,8.027,2.165.844,164.148,x,x
7.558,8.124,2.168.476,164.149,x,x
7.662,8.232,2.168.676,164.162,x,x
7.765,8.329,2.175.424,164.162,x,x
7.869,8.454,2.185.932,164.174,x,x
7.972,8.586,2.188.612,164.182,x,x
8.076,8.704,2.188.196,164.182,x,x
8.179,8.799,2.188.196,164.182,x,x
8.283,8.932,2.193.168,164.193,x,x
8.386,9.070,2.193.188,164.203,x,x
8.490,9.179,2.193.188,164.210,x,x
8.594,9.306,2.193.188,164.210,x,x
8.697,9.455,2.193.188,164.223,x,x
8.801,9.596,2.193.188,164.223,x,x
8.904,9.732,2.193.188,164.238,x,x
9.008,9.867,2.192.768,164.238,x,x
9.111,9.986,2.192.768,164.245,x,x
9.215,10.124,2.192.768,164.252,x,x
9.318,10.239,2.192.932,164.259,x,x
9.422,10.365,2.190.332,164.268,x,x
9.526,10.499,2.189.012,164.275,x,x
9.629,10.597,2.186.852,164.279,x,x
9.733,10.710,2.192.128,164.280,x,x
9.836,10.827,2.198.660,164.285,x,x
9.940,10.922,2.201.592,164.292,x,x
10.043,11.041,2.201.592,164.292,x,x
10.147,11.158,2.194.352,164.292,x,x
10.250,11.263,2.194.352,164.299,x,x
10.354,11.397,2.194.068,165.773,x,x
10.458,11.500,2.192.748,164.324,x,x
10.561,11.633,2.194.092,164.331,x,x
10.665,11.770,2.194.092,164.338,x,x
10.768,11.896,2.193.716,164.344,x,x
10.872,12.038,2.198.136,164.350,x,x
10.975,12.169,2.201.424,164.352,x,x
11.079,12.331,2.202.052,164.364,x,x
11.182,12.472,2.201.580,164.371,x,x
11.286,12.582,2.201.580,164.378,x,x
11.389,12.721,2.201.580,164.385,x,x
11.493,12.835,2.201.580,164.385,x,x
11.596,12.991,2.200.448,164.391,x,x
11.700,13.128,2.200.448,164.398,x,x
11.804,13.243,2.200.448,164.406,x,x
11.907,13.407,2.200.448,164.420,x,x
12.011,13.522,2.200.448,164.428,x,x
12.114,13.682,2.197.824,164.428,x,x
12.218,13.813,2.194.220,164.439,x,x
12.321,13.960,2.194.220,164.454,x,x
12.425,14.118,2.194.220,164.454,x,x
12.528,14.250,2.194.220,164.461,x,x
12.632,14.356,2.184.128,164.467,x,x
12.736,14.509,2.184.156,164.467,x,x
12.839,14.636,2.184.156,164.472,x,x
12.943,14.742,2.189.036,164.479,x,x
13.046,14.822,2.200.912,164.479,x,x
13.150,14.922,2.202.144,164.485,x,x
13.253,15.039,2.202.144,164.485,x,x
13.357,15.181,2.202.144,164.497,x,x
13.460,15.319,2.198.524,164.497,x,x
13.564,15.495,2.198.524,164.504,x,x
13.667,15.617,2.197.780,164.512,x,x
13.771,15.749,2.194.764,160.742,x,x
13.875,15.865,2.194.828,160.748,x,x
13.978,15.974,2.188.708,160.755,x,x
14.082,16.052,2.188.708,160.762,x,x
14.185,16.157,2.188.708,160.768,x,x
14.289,16.259,2.188.708,160.775,x,x
14.392,16.392,2.188.708,160.783,x,x
14.496,16.510,2.188.716,160.797,x,x
14.600,16.635,2.185.968,160.797,x,x
14.703,16.783,2.185.968,160.803,x,x
14.807,16.896,2.185.968,160.810,x,x
14.910,17.025,2.187.896,160.810,x,x
15.014,17.166,2.191.708,160.818,x,x
15.117,17.281,2.191.708,160.825,x,x
15.221,17.393,2.191.708,160.832,x,x
15.324,17.518,2.191.960,160.840,x,x
15.428,17.598,2.191.580,160.848,x,x
15.532,17.695,2.179.096,160.848,x,x
15.635,17.789,2.179.096,160.854,x,x
15.739,17.904,2.179.096,160.861,x,x
15.842,18.010,2.179.376,160.866,x,x
15.945,18.105,2.179.548,160.873,x,x
16.048,18.263,2.180.376,160.880,x,x
16.152,18.383,2.174.652,160.888,x,x
16.255,18.519,2.174.188,160.903,x,x
16.359,18.671,2.173.364,160.910,x,x
16.462,18.813,2.173.364,160.919,x,x
16.566,18.931,2.173.364,161.154,x,x
16.669,19.085,2.173.184,162.782,x,x
16.773,19.225,2.168.108,160.943,x,x
16.876,19.380,2.168.176,161.874,x,x
16.980,19.542,2.166.716,160.971,x,x
17.083,19.694,2.168.380,162.823,x,x
17.187,19.789,2.167.976,162.672,x,x
17.290,19.913,2.172.304,162.078,x,x
17.394,20.006,2.173.684,161.654,x,x
17.497,20.124,2.173.344,161.227,x,x
17.600,20.234,2.175.620,162.885,x,x
17.704,20.348,2.175.856,162.903,x,x
17.807,20.479,2.176.212,162.919,x,x
17.910,20.620,2.175.752,162.807,x,x
18.014,20.731,2.175.436,162.224,x,x
18.117,20.877,2.174.936,161.594,x,x
18.220,21.000,2.176.036,162.975,x,x
18.323,21.119,2.176.080,162.991,x,x
18.426,21.216,2.176.188,163.008,x,x
18.529,21.336,2.175.692,162.400,x,x
18.632,21.444,2.175.480,161.687,x,x
18.735,21.570,2.176.120,163.046,x,x
18.838,21.701,2.176.300,163.071,x,x
18.941,21.799,2.176.340,163.088,x,x
19.044,21.894,2.178.100,164.951,x,x
19.147,21.992,2.178.272,164.797,x,x
19.249,22.126,2.176.664,164.490,x,x
19.352,22.252,2.176.396,164.123,x,x
19.455,22.363,2.176.244,163.754,x,x
19.558,22.476,2.175.908,163.297,x,x
19.660,22.583,2.183.008,165.033,x,x
19.763,22.717,2.183.000,165.307,x,x
19.866,22.873,2.180.352,164.406,x,x
19.968,22.993,2.178.784,163.408,x,x
20.071,23.139,2.179.864,165.087,x,x
20.174,23.285,2.180.448,165.104,x,x
20.276,23.415,2.180.548,164.908,x,x
20.379,23.547,2.179.500,164.173,x,x
20.481,23.675,2.177.560,165.403,x,x
20.583,23.798,2.177.428,165.423,x,x
20.686,23.895,2.178.736,159.543,x,x
20.788,23.972,2.178.932,159.550,x,x
20.891,24.095,2.179.000,159.565,x,x
20.993,24.234,2.179.000,159.571,x,x
21.095,24.320,2.179.000,159.571,x,x
21.198,24.423,2.179.000,159.584,x,x
21.300,24.527,2.180.892,161.426,x,x
21.402,24.672,2.180.324,159.611,x,x
21.505,24.812,2.180.900,159.620,x,x
21.607,24.934,2.180.496,159.620,x,x
21.709,25.030,2.180.696,155.851,x,x
21.812,25.139,2.180.760,155.858,x,x
21.914,25.272,2.180.760,155.873,x,x
22.016,25.411,2.180.184,155.880,x,x
22.119,25.545,2.180.184,155.887,x,x
22.221,25.671,2.179.556,155.893,x,x
22.323,25.743,2.179.556,155.900,x,x
22.426,25.841,2.179.556,155.907,x,x
22.528,25.921,2.179.164,155.907,x,x
22.630,26.015,2.179.164,155.920,x,x
22.733,26.130,2.176.292,155.927,x,x
22.835,26.244,2.176.292,155.927,x,x
22.937,26.375,2.176.292,155.941,x,x
23.040,26.492,2.176.292,155.941,x,x
23.142,26.629,2.176.528,152.172,x,x
23.245,26.752,2.176.556,152.178,x,x
23.347,26.843,2.176.556,152.185,x,x
23.449,26.967,2.176.556,152.191,x,x
23.552,27.109,2.176.556,152.200,x,x
23.654,27.238,2.176.556,152.214,x,x
23.756,27.377,2.176.048,152.220,x,x
23.859,27.484,2.176.048,152.220,x,x
23.961,27.607,2.176.048,152.228,x,x
24.063,27.726,2.176.048,152.243,x,x
24.166,27.847,2.176.048,152.249,x,x
24.268,27.966,2.176.048,152.249,x,x
24.371,28.122,2.176.048,152.257,x,x
24.473,28.249,2.176.048,152.269,x,x
24.575,28.414,2.176.048,152.277,x,x
24.678,28.556,2.176.048,152.285,x,x
24.780,28.657,2.176.048,152.292,x,x
24.882,28.792,2.176.048,152.299,x,x
24.985,28.946,2.176.048,154.420,x,x
25.087,29.091,2.175.284,152.309,x,x
25.190,29.224,2.176.052,152.316,x,x
25.292,29.340,2.176.052,152.325,x,x
25.394,29.478,2.176.052,152.512,x,x
25.497,29.587,2.176.052,154.459,x,x
25.599,29.708,2.176.936,152.346,x,x
25.701,29.834,2.184.184,152.353,x,x
25.803,29.979,2.184.308,152.362,x,x
25.906,30.142,2.183.668,152.370,x,x
26.008,30.282,2.183.296,152.377,x,x
26.110,30.410,2.180.716,152.385,x,x
26.213,30.505,2.196.308,152.393,x,x
26.315,30.663,2.196.456,152.393,x,x
26.417,30.792,2.196.456,152.406,x,x
26.520,30.933,2.197.644,153.080,x,x
26.622,31.047,2.201.036,154.533,x,x
26.724,31.145,2.206.004,150.764,x,x
26.827,31.264,2.206.272,150.770,x,x
26.929,31.387,2.206.272,150.776,x,x
27.031,31.512,2.206.272,150.783,x,x
27.134,31.630,2.206.272,150.794,x,x
27.236,31.750,2.214.716,150.801,x,x
27.338,31.865,2.216.948,150.801,x,x
27.441,31.993,2.221.308,150.807,x,x
27.543,32.138,2.220.664,150.815,x,x
27.645,32.221,2.235.084,150.815,x,x
27.748,32.344,2.236.104,150.824,x,x
27.850,32.423,2.236.108,150.831,x,x
27.953,32.495,2.236.108,150.837,x,x
28.055,32.625,2.236.108,150.844,x,x
28.157,32.787,2.234.440,150.851,x,x
28.260,32.880,2.231.796,150.860,x,x
28.362,33.002,2.231.796,150.867,x,x
28.464,33.121,2.231.796,150.867,x,x
28.567,33.236,2.231.248,150.875,x,x
28.669,33.357,2.231.248,150.889,x,x
28.771,33.503,2.231.248,150.897,x,x
28.874,33.624,2.231.248,150.903,x,x
28.976,33.741,2.231.248,150.903,x,x
29.078,33.875,2.231.248,150.911,x,x
29.181,34.004,2.230.528,151.183,x,x
29.283,34.104,2.230.728,147.150,x,x
29.385,34.229,2.230.792,147.150,x,x
29.488,34.336,2.231.384,147.156,x,x
29.590,34.451,2.230.156,147.164,x,x
29.692,34.583,2.229.792,147.164,x,x
29.795,34.741,2.228.132,147.171,x,x
29.897,34.865,2.228.132,147.171,x,x
30.000,35.003,2.228.132,147.177,x,x
