elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,10.675.924,216.725,x,x
1.023,51.628,10.807.308,216.725,x,x
2.046,106.789,10.821.872,216.725,x,x
3.071,162.376,10.829.756,216.725,x,x
4.095,218.411,10.831.516,216.725,x,x
5.125,273.280,10.832.056,216.725,x,x
6.154,327.233,10.832.168,216.726,x,x
7.185,378.264,10.832.304,216.726,x,x
8.217,431.040,10.832.312,216.726,x,x
9.256,483.279,10.832.408,216.726,x,x
10.294,536.080,10.832.464,216.726,x,x
11.332,588.134,10.832.472,216.726,x,x
12.373,638.084,10.832.488,216.726,x,x
13.397,689.021,10.832.488,216.726,x,x
14.438,740.712,10.832.504,216.726,x,x
15.479,792.000,10.832.504,216.726,x,x
16.523,842.896,10.832.504,216.726,x,x
17.564,892.926,10.832.504,216.726,x,x
18.605,944.105,10.832.528,216.726,x,x
19.643,995.009,10.832.528,216.726,x,x
20.680,1.045.937,10.832.528,216.726,x,x
21.720,1.096.100,10.832.528,216.726,x,x
22.759,1.144.993,10.832.528,216.726,x,x
23.801,1.196.308,10.832.528,216.726,x,x
24.841,1.247.680,10.832.532,216.726,x,x
25.880,1.298.908,10.832.532,216.726,x,x
26.918,1.348.490,10.832.532,216.726,x,x
27.957,1.399.148,10.832.532,216.726,x,x
29.000,1.449.958,10.832.532,216.726,x,x
30.040,1.500.544,10.832.532,216.726,x,x
31.078,1.551.828,10.832.532,216.726,x,x
32.120,1.600.626,10.832.532,216.726,x,x
33.160,1.651.620,10.832.532,216.727,x,x
34.200,1.702.276,10.832.532,216.727,x,x
35.237,1.753.317,10.832.532,216.727,x,x
36.278,1.804.316,10.832.532,216.727,x,x
37.320,1.852.876,10.832.532,216.727,x,x
38.358,1.903.494,10.832.532,216.727,x,x
39.398,1.954.128,10.832.536,216.727,x,x
40.436,2.004.568,10.832.536,216.727,x,x
41.473,2.055.463,10.832.536,216.727,x,x
42.513,2.103.717,10.832.536,216.727,x,x
43.538,2.153.560,10.832.536,216.727,x,x
44.564,2.203.648,10.832.536,216.727,x,x
45.601,2.253.832,10.832.536,216.727,x,x
46.639,2.304.442,10.832.536,216.727,x,x
47.679,2.352.888,10.832.536,216.727,x,x
48.716,2.403.096,10.832.536,216.727,x,x
49.754,2.454.116,10.832.536,216.727,x,x
50.792,2.504.835,10.832.536,216.727,x,x
51.831,2.555.737,10.832.536,216.727,x,x
52.869,2.603.417,10.832.536,216.727,x,x
53.907,2.653.466,10.832.536,216.727,x,x
54.949,2.703.936,10.832.536,216.727,x,x
55.989,2.754.429,10.832.536,216.727,x,x
57.026,2.804.810,10.832.536,216.727,x,x
58.066,2.853.016,10.832.536,216.727,x,x
59.104,2.903.514,10.832.536,216.727,x,x
60.142,2.949.501,10.832.536,216.728,x,x
61.182,2.996.711,10.832.536,216.728,x,x
62.222,3.046.640,10.832.536,216.728,x,x
63.264,3.094.876,10.832.536,216.728,x,x
64.305,3.145.260,10.832.536,216.728,x,x
65.342,3.195.681,10.832.536,216.728,x,x
66.384,3.246.105,10.832.536,216.728,x,x
67.424,3.292.952,10.832.536,216.728,x,x
68.467,3.340.544,10.832.536,216.728,x,x
69.504,3.390.948,10.832.536,216.728,x,x
70.542,3.441.136,10.832.536,216.728,x,x
71.583,3.491.188,10.832.536,216.728,x,x
72.621,3.541.372,10.832.536,216.728,x,x
