elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,10.754.700,216.725,x,x
1.023,45.296,10.884.800,216.725,x,x
2.045,93.633,10.899.932,216.725,x,x
3.069,144.705,10.909.488,216.725,x,x
4.093,195.144,10.913.304,216.725,x,x
5.126,243.997,10.916.912,216.725,x,x
6.154,292.598,10.917.476,216.725,x,x
7.184,339.632,10.917.976,216.725,x,x
8.217,386.540,10.920.512,216.725,x,x
9.260,433.568,10.920.988,216.725,x,x
10.307,479.617,10.926.576,216.725,x,x
11.337,526.324,10.927.028,216.726,x,x
12.392,573.192,10.927.472,216.726,x,x
13.431,618.464,10.927.904,216.726,x,x
14.459,664.144,10.928.324,216.726,x,x
15.489,709.466,10.928.740,216.726,x,x
16.521,754.248,10.929.132,216.726,x,x
17.555,799.067,10.929.524,216.726,x,x
18.590,845.002,10.929.916,216.726,x,x
19.633,890.518,10.930.300,216.726,x,x
20.667,935.757,10.930.672,216.726,x,x
21.704,980.420,10.931.040,216.726,x,x
22.741,1.025.167,10.941.648,216.726,x,x
23.786,1.070.692,10.942.008,216.726,x,x
24.822,1.115.832,10.942.360,216.726,x,x
25.846,1.160.680,10.942.700,216.726,x,x
26.871,1.204.892,10.943.032,216.726,x,x
27.907,1.250.128,10.943.364,216.726,x,x
28.944,1.295.379,10.943.692,216.726,x,x
29.980,1.340.572,10.944.016,216.726,x,x
31.017,1.385.744,10.944.340,216.726,x,x
32.053,1.430.140,10.944.652,216.726,x,x
33.090,1.474.826,10.944.960,216.726,x,x
34.127,1.519.639,10.945.268,216.726,x,x
35.163,1.564.720,10.945.568,216.726,x,x
36.200,1.609.525,10.945.868,216.726,x,x
37.237,1.654.112,10.946.160,216.726,x,x
38.273,1.698.908,10.946.456,216.727,x,x
39.310,1.743.776,10.946.736,216.727,x,x
40.346,1.788.924,10.947.020,216.727,x,x
41.383,1.833.781,10.947.296,216.727,x,x
42.420,1.877.776,10.947.568,216.727,x,x
43.456,1.922.160,10.947.832,216.727,x,x
44.493,1.966.936,10.948.100,216.727,x,x
45.530,2.011.839,10.948.364,216.727,x,x
46.566,2.056.686,10.948.624,216.727,x,x
47.603,2.101.015,10.948.876,216.727,x,x
48.640,2.145.549,10.949.124,216.727,x,x
49.676,2.190.572,10.949.368,216.727,x,x
50.713,2.236.035,10.949.620,216.727,x,x
51.750,2.280.736,10.949.864,216.727,x,x
52.786,2.324.936,10.950.096,216.727,x,x
53.823,2.369.601,10.950.328,216.727,x,x
54.860,2.414.468,10.950.560,216.727,x,x
55.897,2.459.276,10.950.788,216.727,x,x
56.933,2.504.290,10.951.016,216.727,x,x
57.970,2.548.672,10.951.232,216.727,x,x
58.995,2.592.628,10.951.448,216.727,x,x
60.032,2.637.268,10.951.668,216.727,x,x
61.068,2.681.274,10.972.360,216.727,x,x
62.105,2.726.051,10.972.576,216.727,x,x
63.141,2.770.085,10.972.780,216.727,x,x
64.178,2.814.800,10.972.984,216.727,x,x
65.215,2.859.388,10.973.184,216.728,x,x
66.252,2.904.216,10.973.388,216.728,x,x
67.288,2.948.937,10.973.588,216.728,x,x
68.325,2.992.700,10.973.784,216.728,x,x
69.369,3.037.746,10.973.980,216.728,x,x
70.405,3.082.440,10.974.168,216.728,x,x
71.442,3.126.908,10.974.352,216.728,x,x
72.488,3.171.816,10.974.540,216.728,x,x
73.525,3.215.745,10.974.724,216.728,x,x
74.559,3.260.300,10.974.908,216.728,x,x
75.594,3.304.612,10.975.088,216.728,x,x
76.630,3.349.058,10.975.264,216.728,x,x
77.667,3.393.752,10.975.436,216.728,x,x
78.704,3.437.441,10.975.604,216.728,x,x
79.741,3.481.821,10.975.776,216.728,x,x
80.777,3.526.524,10.975.944,216.728,x,x
81.814,3.571.056,10.976.112,216.728,x,x
82.851,3.615.622,10.976.276,216.728,x,x
83.897,3.657.344,10.976.432,216.728,x,x
84.931,3.701.071,10.976.592,216.728,x,x
85.972,3.746.072,10.976.752,216.728,x,x
87.006,3.790.517,10.976.908,216.728,x,x
88.042,3.834.224,10.977.060,216.728,x,x
89.079,3.878.181,10.977.212,216.728,x,x
90.116,3.922.132,10.977.364,216.728,x,x
91.138,3.965.488,10.977.508,216.728,x,x
92.175,4.009.909,10.977.656,216.729,x,x
93.212,4.053.688,10.977.800,216.729,x,x
94.249,4.097.641,10.977.948,216.729,x,x
95.285,4.141.724,10.978.088,216.729,x,x
96.322,4.186.032,10.978.232,216.729,x,x
97.362,4.231.468,10.978.372,216.729,x,x
98.398,4.276.788,10.978.512,216.729,x,x
99.435,4.322.812,10.978.652,216.729,x,x
100.472,4.368.492,10.978.788,216.729,x,x
101.509,4.414.496,10.978.924,216.729,x,x
102.545,4.460.585,10.979.060,216.729,x,x
103.582,4.505.910,10.979.192,216.729,x,x
104.618,4.552.220,10.979.328,216.729,x,x
105.655,4.598.284,10.979.460,216.729,x,x
106.692,4.644.192,10.979.596,216.729,x,x
107.729,4.690.520,10.979.724,216.729,x,x
108.765,4.735.841,10.979.848,216.729,x,x
109.802,4.782.280,10.979.972,216.729,x,x
110.838,4.828.528,10.980.096,216.729,x,x
111.875,4.874.833,10.980.216,216.729,x,x
112.912,4.921.204,10.980.340,216.729,x,x
113.948,4.965.296,10.980.456,216.729,x,x
114.985,5.011.606,10.980.568,216.729,x,x
116.021,5.058.212,10.980.684,216.729,x,x
117.058,5.104.731,10.980.796,216.729,x,x
118.095,5.151.311,10.980.908,216.730,x,x
119.132,5.196.060,10.981.020,216.730,x,x
120.169,5.241.624,10.981.128,216.730,x,x
121.207,5.287.160,10.981.240,216.730,x,x
122.244,5.332.764,10.981.348,216.730,x,x
123.268,5.377.084,10.981.448,216.730,x,x
124.305,5.421.556,10.981.552,216.730,x,x
125.343,5.467.196,10.981.656,216.730,x,x
126.380,5.512.433,10.981.760,216.730,x,x
127.417,5.557.955,10.981.860,216.730,x,x
128.454,5.603.685,10.981.964,216.730,x,x
129.492,5.648.652,10.982.064,216.730,x,x
130.529,5.694.300,10.982.164,216.730,x,x
131.565,5.739.716,10.982.260,216.730,x,x
132.603,5.785.484,10.982.356,216.730,x,x
133.640,5.830.594,10.982.448,216.730,x,x
134.678,5.875.596,10.982.544,216.730,x,x
135.716,5.921.671,10.982.636,216.730,x,x
136.753,5.967.496,10.982.728,216.730,x,x
137.790,6.013.699,10.982.816,216.730,x,x
138.828,6.059.818,10.982.908,216.730,x,x
139.865,6.104.970,10.982.996,216.730,x,x
140.903,6.150.984,10.983.088,216.730,x,x
141.940,6.196.649,10.983.176,216.730,x,x
142.978,6.242.276,10.983.256,216.730,x,x
144.015,6.287.980,10.983.340,216.731,x,x
145.052,6.332.573,10.983.420,216.731,x,x
146.090,6.377.792,10.983.504,216.731,x,x
147.127,6.423.502,10.983.588,216.731,x,x
148.165,6.469.608,10.983.664,216.731,x,x
149.202,6.514.557,10.983.740,216.731,x,x
150.240,6.557.863,10.983.812,216.731,x,x
151.277,6.603.532,10.983.888,216.731,x,x
152.315,6.649.267,10.983.968,216.731,x,x
153.353,6.694.752,10.984.044,216.731,x,x
154.394,6.739.490,10.984.116,216.731,x,x
155.431,6.784.086,10.984.188,216.731,x,x
156.468,6.829.861,10.984.264,216.731,x,x
157.506,6.875.448,10.984.332,216.731,x,x
158.543,6.921.260,10.984.404,216.731,x,x
159.580,6.966.256,10.984.476,216.731,x,x
160.618,7.012.044,10.984.548,216.731,x,x
161.655,7.057.956,10.984.616,216.731,x,x
162.693,7.102.355,10.984.684,216.731,x,x
163.730,7.148.188,10.984.748,216.731,x,x
164.768,7.193.672,10.984.812,216.731,x,x
165.806,7.239.496,10.984.880,216.731,x,x
166.843,7.285.396,10.984.944,216.731,x,x
167.881,7.331.372,10.985.008,216.731,x,x
168.919,7.377.211,10.985.072,216.731,x,x
169.956,7.422.507,10.985.132,216.732,x,x
170.994,7.468.133,10.985.196,216.732,x,x
172.031,7.514.015,10.985.256,216.732,x,x
173.069,7.559.964,10.985.320,216.732,x,x
174.107,7.605.795,10.985.384,216.732,x,x
175.144,7.650.672,10.985.440,216.732,x,x
176.183,7.696.380,10.985.500,216.732,x,x
177.221,7.742.313,10.985.560,216.732,x,x
178.258,7.788.111,10.985.620,216.732,x,x
179.295,7.834.144,10.985.672,216.732,x,x
180.333,7.879.028,10.985.728,216.732,x,x
181.370,7.924.486,10.985.784,216.732,x,x
182.407,7.970.380,10.985.840,216.732,x,x
183.445,8.016.266,10.985.896,216.732,x,x
184.483,8.061.884,10.985.948,216.732,x,x
185.521,8.107.036,10.986.000,216.732,x,x
186.559,8.152.943,10.986.056,216.732,x,x
187.583,8.197.884,10.986.104,216.732,x,x
188.621,8.243.596,10.986.156,216.732,x,x
189.658,8.289.537,10.986.208,216.732,x,x
190.696,8.334.480,10.986.260,216.732,x,x
191.733,8.380.328,10.986.308,216.732,x,x
192.771,8.426.124,10.986.360,216.732,x,x
193.809,8.472.104,10.986.408,216.732,x,x
194.847,8.517.768,10.986.456,216.732,x,x
195.884,8.563.104,10.986.504,216.733,x,x
196.922,8.608.964,10.986.552,216.733,x,x
